time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,0.7807,0.7839,0.7725,0.7781,0.00939,0.0001,0.0001
2005-01-04,0.7781,0.78,0.7636,0.7649,0.009825,0.0001,0.0001
2005-01-05,0.7648,0.7682,0.7595,0.7645,0.00909,0.0001,0.0001
2005-01-06,0.7648,0.7652,0.7577,0.7608,0.00888,0.0001,0.0001
2005-01-07,0.7608,0.7669,0.7541,0.7575,0.008955,0.0001,0.0001
2005-01-10,0.7572,0.7609,0.7567,0.7575,0.008555,0.0001,0.0001
2005-01-11,0.7575,0.7641,0.7575,0.7617,0.008515,0.0001,0.0001
2005-01-12,0.7617,0.7697,0.7552,0.7669,0.008695,0.0001,0.0001
2005-01-13,0.7668,0.7687,0.7644,0.7655,0.00822,0.0001,0.0001
2005-01-14,0.7655,0.7658,0.7567,0.7591,0.00821,0.0001,0.0001
2005-01-17,0.7598,0.7619,0.7575,0.758,0.008265,0.0001,0.0001
2005-01-18,0.758,0.7589,0.7507,0.7553,0.008325,0.0001,0.0001
2005-01-19,0.7553,0.7652,0.7537,0.7606,0.00863,0.0001,0.0001
2005-01-20,0.7606,0.7623,0.7572,0.7587,0.00866,0.0001,0.0001
2005-01-21,0.7589,0.7714,0.7573,0.7694,0.008995,0.0001,0.0001
2005-01-24,0.7691,0.7719,0.7685,0.7702,0.00862,0.0001,0.0001
2005-01-25,0.7702,0.7727,0.763,0.7652,0.0088,0.0001,0.0001
2005-01-26,0.7652,0.776,0.7647,0.7751,0.008855,0.0001,0.0001
2005-01-27,0.7749,0.778,0.7731,0.7774,0.00873,0.0001,0.0001
2005-01-28,0.7773,0.7803,0.7711,0.775,0.008865,0.0001,0.0001
2005-01-31,0.7737,0.7765,0.7719,0.7757,0.008525,0.0001,0.0001
2005-02-01,0.7756,0.7763,0.7697,0.774,0.008035,0.0001,0.0001
2005-02-02,0.7742,0.7789,0.7721,0.7782,0.00794,0.0001,0.0001
2005-02-03,0.7782,0.7785,0.7673,0.7711,0.008125,0.0001,0.0001
2005-02-04,0.771,0.7758,0.7683,0.7704,0.00786,0.0001,0.0001
2005-02-07,0.7689,0.7738,0.7666,0.7675,0.00801,0.0001,0.0001
2005-02-08,0.7675,0.7678,0.7613,0.7664,0.008005,0.0001,0.0001
2005-02-09,0.7664,0.7713,0.7632,0.7707,0.007685,0.0001,0.0001
2005-02-10,0.7707,0.7839,0.7699,0.7832,0.00817,0.0001,0.0001
2005-02-11,0.7833,0.7865,0.7811,0.7861,0.007985,0.0001,0.0001
2005-02-14,0.7858,0.7891,0.7847,0.788,0.007985,0.0001,0.0001
2005-02-15,0.7879,0.7883,0.7826,0.7877,0.00786,0.0001,0.0001
2005-02-16,0.7877,0.7878,0.7787,0.7846,0.00774,0.0001,0.0001
2005-02-17,0.7845,0.7895,0.7833,0.788,0.007795,0.0001,0.0001
2005-02-18,0.7881,0.7898,0.7831,0.7884,0.007425,0.0001,0.0001
2005-02-21,0.7888,0.7905,0.7861,0.7898,0.007475,0.0001,0.0001
2005-02-22,0.79,0.7957,0.7867,0.7948,0.00744,0.0001,0.0001
2005-02-23,0.795,0.795,0.7846,0.7863,0.007395,0.0001,0.0001
2005-02-24,0.7862,0.7897,0.7844,0.7866,0.007415,0.0001,0.0001
2005-02-25,0.7866,0.7884,0.7808,0.7865,0.007335,0.0001,0.0001
2005-02-28,0.787,0.7947,0.7859,0.7918,0.007545,0.0001,0.0001
2005-03-01,0.7919,0.7933,0.7833,0.7872,0.007715,0.0001,0.0001
2005-03-02,0.7871,0.7885,0.7772,0.7829,0.00794,0.0001,0.0001
2005-03-03,0.7832,0.7851,0.7803,0.783,0.00762,0.0001,0.0001
2005-03-04,0.783,0.7935,0.7813,0.7908,0.007855,0.0001,0.0001
2005-03-07,0.7897,0.7932,0.7886,0.7924,0.007725,0.0001,0.0001
