time,open,high,low,close,Average True Range,Tick value,Tick size,CADUSD FX
2005-01-04,96.195,96.205,96.185,96.185,0.04225,12.5,0.005,0.8168
2005-01-05,96.175,96.205,96.175,96.2,0.03825,12.5,0.005,0.816
2005-01-06,96.2,96.225,96.2,96.225,0.0375,12.5,0.005,0.8095
2005-01-07,96.215,96.215,96.17,96.175,0.03475,12.5,0.005,0.8117
2005-01-10,96.185,96.185,96.15,96.15,0.0345,12.5,0.005,0.8175
2005-01-11,96.155,96.175,96.145,96.165,0.0325,12.5,0.005,0.8201
2005-01-12,96.16,96.185,96.145,96.185,0.032,12.5,0.005,0.8321
2005-01-13,96.185,96.23,96.185,96.225,0.0325,12.5,0.005,0.8317
2005-01-14,96.225,96.23,96.2,96.22,0.03175,12.5,0.005,0.8213
2005-01-17,96.225,96.235,96.215,96.235,0.03175,12.5,0.005,0.8213
2005-01-18,96.225,96.245,96.215,96.245,0.03175,12.5,0.005,0.818
2005-01-19,96.245,96.285,96.205,96.235,0.03375,12.5,0.005,0.8146
2005-01-20,96.235,96.265,96.215,96.225,0.03525,12.5,0.005,0.8102
2005-01-21,96.225,96.245,96.195,96.225,0.03575,12.5,0.005,0.8182
2005-01-24,96.205,96.245,96.205,96.225,0.0365,12.5,0.005,0.8162
2005-01-25,96.215,96.325,96.205,96.305,0.0405,12.5,0.005,0.8093
2005-01-26,96.315,96.365,96.305,96.345,0.0435,12.5,0.005,0.8115
2005-01-27,96.335,96.355,96.225,96.245,0.047,12.5,0.005,0.8082
2005-01-28,96.245,96.275,96.235,96.265,0.04775,12.5,0.005,0.8072
2005-01-31,96.235,96.265,96.235,96.255,0.0485,12.5,0.005,0.8066
2005-02-01,96.245,96.265,96.235,96.245,0.0485,12.5,0.005,0.8089
2005-02-02,96.245,96.265,96.235,96.235,0.0485,12.5,0.005,0.8075
2005-02-03,96.215,96.235,96.205,96.215,0.04875,12.5,0.005,0.8059
2005-02-04,96.265,96.285,96.235,96.265,0.0495,12.5,0.005,0.8004
2005-02-07,96.245,96.255,96.235,96.235,0.04925,12.5,0.005,0.7966
2005-02-08,96.245,96.245,96.185,96.185,0.05075,12.5,0.005,0.8022
2005-02-09,96.185,96.235,96.175,96.225,0.05175,12.5,0.005,0.8015
2005-02-10,96.225,96.245,96.195,96.215,0.052,12.5,0.005,0.805
2005-02-11,96.205,96.245,96.185,96.195,0.0535,12.5,0.005,0.8086
2005-02-14,96.195,96.235,96.185,96.235,0.055,12.5,0.005,0.8112
2005-02-15,96.225,96.265,96.215,96.225,0.056,12.5,0.005,0.8127
2005-02-16,96.225,96.255,96.175,96.185,0.056,12.5,0.005,0.8085
2005-02-17,96.175,96.185,96.115,96.175,0.057,12.5,0.005,0.8131
2005-02-18,96.175,96.175,96.125,96.145,0.057,12.5,0.005,0.8122
2005-02-21,96.145,96.195,96.135,96.175,0.058,12.5,0.005,0.811
2005-02-22,96.215,96.265,96.215,96.255,0.0565,12.5,0.005,0.8163
2005-02-23,96.255,96.255,96.205,96.215,0.056,12.5,0.005,0.8031
2005-02-24,96.185,96.205,96.165,96.165,0.052,12.5,0.005,0.8072
