time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,0.8317,0.833,0.8248,0.8281,0.00895,0.0001,0.0001
2005-01-04,0.8283,0.8292,0.815,0.8168,0.00903,0.0001,0.0001
2005-01-05,0.8167,0.8195,0.8112,0.816,0.008585,0.0001,0.0001
2005-01-06,0.816,0.8169,0.8069,0.8095,0.008635,0.0001,0.0001
2005-01-07,0.8095,0.8173,0.8076,0.8117,0.00875,0.0001,0.0001
2005-01-10,0.8111,0.8205,0.8104,0.8175,0.008785,0.0001,0.0001
2005-01-11,0.8175,0.8235,0.817,0.8201,0.00866,0.0001,0.0001
2005-01-12,0.82,0.8371,0.8187,0.8321,0.00904,0.0001,0.0001
2005-01-13,0.832,0.8338,0.8291,0.8317,0.00877,0.0001,0.0001
2005-01-14,0.8317,0.8318,0.8185,0.8213,0.009015,0.0001,0.0001
2005-01-17,0.8213,0.825,0.8206,0.8213,0.00898,0.0001,0.0001
2005-01-18,0.8215,0.8215,0.8151,0.818,0.008995,0.0001,0.0001
2005-01-19,0.8178,0.8218,0.8124,0.8146,0.008825,0.0001,0.0001
2005-01-20,0.8145,0.8152,0.8086,0.8102,0.008785,0.0001,0.0001
2005-01-21,0.81,0.8207,0.8096,0.8182,0.009105,0.0001,0.0001
2005-01-24,0.8186,0.8235,0.815,0.8162,0.008895,0.0001,0.0001
2005-01-25,0.8162,0.8185,0.8057,0.8093,0.00927,0.0001,0.0001
2005-01-26,0.8091,0.8139,0.8072,0.8115,0.00924,0.0001,0.0001
2005-01-27,0.8114,0.8122,0.8044,0.8082,0.009225,0.0001,0.0001
2005-01-28,0.8081,0.8085,0.8018,0.8072,0.00919,0.0001,0.0001
2005-01-31,0.8066,0.809,0.8033,0.8066,0.009065,0.0001,0.0001
2005-02-01,0.8066,0.8097,0.8038,0.8089,0.00865,0.0001,0.0001
2005-02-02,0.8088,0.8124,0.8053,0.8075,0.00859,0.0001,0.0001
2005-02-03,0.8075,0.8081,0.8025,0.8059,0.00837,0.0001,0.0001
2005-02-04,0.8058,0.8087,0.7997,0.8004,0.008335,0.0001,0.0001
2005-02-07,0.8003,0.8007,0.7948,0.7966,0.008125,0.0001,0.0001
2005-02-08,0.7967,0.803,0.7951,0.8022,0.008195,0.0001,0.0001
2005-02-09,0.802,0.8026,0.7984,0.8015,0.007485,0.0001,0.0001
2005-02-10,0.8015,0.8073,0.7959,0.805,0.00782,0.0001,0.0001
2005-02-11,0.8049,0.8092,0.8039,0.8086,0.00742,0.0001,0.0001
2005-02-14,0.8089,0.8137,0.8072,0.8112,0.007525,0.0001,0.0001
2005-02-15,0.8111,0.8139,0.8078,0.8127,0.00751,0.0001,0.0001
2005-02-16,0.8128,0.8133,0.8029,0.8085,0.00756,0.0001,0.0001
2005-02-17,0.8085,0.8153,0.8081,0.8131,0.00759,0.0001,0.0001
2005-02-18,0.8131,0.8146,0.8105,0.8122,0.00724,0.0001,0.0001
2005-02-21,0.8119,0.8144,0.809,0.811,0.007085,0.0001,0.0001
2005-02-22,0.8109,0.8175,0.8096,0.8163,0.00684,0.0001,0.0001
2005-02-23,0.8163,0.8165,0.8024,0.8031,0.00721,0.0001,0.0001
2005-02-24,0.8031,0.8074,0.8002,0.8072,0.00718,0.0001,0.0001
2005-02-25,0.807,0.8077,0.8027,0.8075,0.007095,0.0001,0.0001
2005-02-28,0.8071,0.8143,0.8068,0.8105,0.007185,0.0001,0.0001
2005-03-01,0.8105,0.8112,0.8032,0.8056,0.00729,0.0001,0.0001
2005-03-02,0.8059,0.8077,0.8023,0.8071,0.007205,0.0001,0.0001
2005-03-03,0.8071,0.8075,0.8003,0.804,0.007285,0.0001,0.0001
2005-03-04,0.804,0.8137,0.8028,0.8119,0.00738,0.0001,0.0001
