time,open,high,low,close,MA 50,MA 20,ATR,Tick value,Tick size
2005-03-22T01:00:00Z,214.75,215.5,214,214,206.12,217.7125,3.65948298565913,6.25,0.125
2005-03-23T01:00:00Z,214,214,210.25,210.75,206.2,217.9625,3.66400883637618,6.25,0.125
2005-03-24T01:00:00Z,210.75,210.75,209.5,210.5,206.275,218.2,3.54330839455737,6.25,0.125
2005-03-28T01:00:00Z,210,212.75,209.25,212.75,206.52,218.2625,3.5411429748295,6.25,0.125
2005-03-29T01:00:00Z,212.25,213,211.75,213,206.78,217.775,3.42658582608802,6.25,0.125
2005-03-30T01:00:00Z,212.75,214,212.5,212.5,207.085,217.4375,3.33025653478362,6.25,0.125
2005-03-31T01:00:00Z,212,213,210.75,213,207.425,217.1375,3.27624370804444,6.25,0.125
2005-04-01T01:00:00Z,213.75,214.5,212.75,212.75,207.745,216.875,3.19993152264222,6.25,0.125
2005-04-04T00:00:00Z,212,213,209.75,209.75,207.985,216.5125,3.20243494651011,6.25,0.125
2005-04-05T00:00:00Z,209.75,209.75,205.5,205.5,208.155,216.125,3.2548131991846,6.25,0.125
2005-04-06T00:00:00Z,205.75,207.25,205.5,207.25,208.345,215.775,3.17957253922537,6.25,0.125
2005-04-07T00:00:00Z,207,208,205.5,205.5,208.475,215.2375,3.1455939122641,6.25,0.125
2005-04-08T00:00:00Z,205.75,206.5,204,204,208.58,214.4375,3.1133142166509,6.25,0.125
2005-04-11T00:00:00Z,204,205.75,204,205.75,208.78,213.4875,3.04514850581835,6.25,0.125
2005-04-12T00:00:00Z,206,208,206,206.75,209,212.775,3.00539108052744,6.25,0.125
2005-04-13T00:00:00Z,206.5,206.75,205.75,205.75,209.175,211.6375,2.90512152650106,6.25,0.125
2005-04-14T00:00:00Z,206.5,207.5,206,207.5,209.385,210.7375,2.84736545017601,6.25,0.125
2005-04-15T00:00:00Z,207.25,208.25,206.25,206.25,209.605,209.875,2.80499717766721,6.25,0.125
2005-04-18T00:00:00Z,206.25,206.25,204.25,204.25,209.79,209.1,2.76474731878385,6.25,0.125
2005-04-19T00:00:00Z,204.75,209.5,204.5,209.5,210.08,208.85,2.88900995284466,6.25,0.125
2005-04-20T00:00:00Z,209,210.75,208.75,210.75,210.37,208.6875,2.84455945520242,6.25,0.125
2005-04-21T00:00:00Z,210.5,211.5,209.5,211.25,210.7,208.7125,2.8023314824423,6.25,0.125
2005-04-22T00:00:00Z,210.75,211.25,209.25,209.25,210.985,208.65,2.76221490832019,6.25,0.125
2005-04-25T00:00:00Z,210.25,214.75,210.25,213.25,211.285,208.675,2.89910416290418,6.25,0.125
2005-04-26T00:00:00Z,212.25,213.5,212.25,213,211.58,208.675,2.81664895475897,6.25,0.125
2005-04-27T00:00:00Z,213,213.75,208.25,208.25,211.735,208.4625,2.95081650702102,6.25,0.125
2005-04-28T00:00:00Z,208.25,210,204.5,204.5,211.825,208.0375,3.07827568166997,6.25,0.125
2005-04-29T00:00:00Z,213,213.5,212.75,213.5,212.155,208.075,3.37436189758647,6.25,0.125
2005-05-02T00:00:00Z,214.25,214.25,209,209,212.35,208.0375,3.46814380270715,6.25,0.125
2005-05-03T00:00:00Z,209,209.5,205,205,212.45,208.0125,3.51973661257179,6.25,0.125
2005-05-04T00:00:00Z,205.25,206.5,205,206,212.42,207.95,3.4187497819432,6.25,0.125
2005-05-05T00:00:00Z,206.75,208,206.5,208,212.465,208.075,3.34781229284604,6.25,0.125
2005-05-06T00:00:00Z,208.5,208.75,206.5,208.25,212.515,208.2875,3.29292167820374,6.25,0.125
2005-05-09T00:00:00Z,209,210.25,207,207.75,212.44,208.3875,3.29077559429355,6.25,0.125
2005-05-10T00:00:00Z,208,208.5,207.5,208.25,212.15,208.4625,3.17623681457887,6.25,0.125
2005-05-11T00:00:00Z,208.5,209,206.5,206.5,211.895,208.5,3.14242497384993,6.25,0.125
2005-05-12T00:00:00Z,206.25,206.5,204.25,204.25,211.6,208.3375,3.09780372515743,6.25,0.125
2005-05-13T00:00:00Z,204.25,204.5,203.5,203.5,211.31,208.2,2.99291353889956,6.25,0.125
2005-05-16T00:00:00Z,204,207,204,207,211.11,208.3375,3.01826786195458,6.25,0.125
2005-05-17T00:00:00Z,207.25,207.75,206,207.5,210.995,208.2375,2.95485446885686,6.25,0.125
2005-05-18T00:00:00Z,207.5,210.75,206.75,210.75,210.925,208.2375,3.00711174541401,6.25,0.125
2005-05-19T00:00:00Z,210.75,212.5,209.5,209.5,210.79,208.15,3.00675615814331,6.25,0.125
2005-05-20T00:00:00Z,208.75,213.25,208.75,213.25,210.655,208.35,3.08141835023615,6.25,0.125
2005-05-23T00:00:00Z,214,224.5,214,224.5,210.65,208.9125,3.48984743272434,6.25,0.125
2005-05-24T00:00:00Z,223,223.5,221.25,221.25,210.655,209.325,3.47785506108812,6.25,0.125
2005-05-25T00:00:00Z,220.75,223,220.75,222.75,210.54,210.05,3.41646230803372,6.25,0.125
2005-05-26T00:00:00Z,222,225,220.75,225,210.53,211.075,3.45813919263203,6.25,0.125
2005-05-27T00:00:00Z,225,227,221.25,221.25,210.485,211.4625,3.57273223300043,6.25,0.125
2005-05-31T00:00:00Z,226,228,222,222,210.53,212.1125,3.73159562135041,6.25,0.125
2005-06-01T00:00:00Z,221.25,224.5,220.25,224.5,210.73,213.0875,3.75751584028289,6.25,0.125
2005-06-02T00:00:00Z,223,223.75,217,217,210.79,213.6375,3.94464004826874,6.25,0.125
2005-06-03T00:00:00Z,216.5,218.5,215.25,218.25,210.94,214.15,3.90990804585531,6.25,0.125
2005-06-06T00:00:00Z,220.75,224,220.75,220.75,211.145,214.775,4.00191264356254,6.25,0.125
2005-06-07T00:00:00Z,219.25,222.75,218.75,220.25,211.295,215.4,4.00181701138441,6.25,0.125
2005-06-08T00:00:00Z,218.75,219.25,216,216,211.355,215.7875,4.01422616081519,6.25,0.125
2005-06-09T00:00:00Z,213.25,215.5,212.5,215.5,211.415,216.2375,3.98851485277443,6.25,0.125
2005-06-10T00:00:00Z,215,216.5,210,210,211.355,216.525,4.11408911013571,6.25,0.125
2005-06-13T00:00:00Z,211.75,215,211.5,215,211.4,217.1,4.15838465462893,6.25,0.125
2005-06-14T00:00:00Z,213,219,212.25,219,211.585,217.7,4.28796542189748,6.25,0.125
2005-06-15T00:00:00Z,219,224.25,218.25,224.25,211.96,218.5375,4.37356715080261,6.25,0.125
2005-06-16T00:00:00Z,223.75,226.75,223.75,225.75,212.33,219.2875,4.30488879326248,6.25,0.125
2005-06-17T00:00:00Z,225.25,229,225,229,212.8,220.2625,4.28964435359935,6.25,0.125
2005-06-20T00:00:00Z,231.25,235.5,231,235.5,213.43,221.375,4.40016213591939,6.25,0.125
2005-06-21T00:00:00Z,234,235,231,232.25,213.96,221.7625,4.40515402912342,6.25,0.125
2005-06-22T00:00:00Z,232.5,237.5,229.5,229.5,214.415,222.175,4.58489632766724,6.25,0.125
2005-06-23T00:00:00Z,229,230.5,226.5,226.5,214.83,222.3625,4.55565151128388,6.25,0.125
2005-06-24T00:00:00Z,226.25,232.75,225.5,232.75,215.335,222.75,4.69036893571969,6.25,0.125
2005-06-27T00:00:00Z,233.25,233.5,221.5,221.5,215.64,222.7625,5.0558504889337,6.25,0.125
2005-06-28T00:00:00Z,222,222.25,217.5,218.5,215.925,222.5875,5.04055796448702,6.25,0.125
2005-06-29T00:00:00Z,227.75,230.75,226,226,216.255,222.6625,5.40103006626267,6.25,0.125
2005-06-30T00:00:00Z,225.75,225.75,222.25,222.25,216.485,222.925,5.31847856294954,6.25,0.125
2005-07-01T00:00:00Z,222,225.5,222,225.5,216.77,223.2875,5.22755463480206,6.25,0.125
2005-07-05T00:00:00Z,227.75,240,227,240,217.385,224.25,5.69117690306196,6.25,0.125
2005-07-06T00:00:00Z,239,243,238.5,239.75,217.915,225.225,5.63161805790886,6.25,0.125
2005-07-07T00:00:00Z,239.75,241.75,228.25,241.75,218.49,226.5125,6.02503715501342,6.25,0.125
2005-07-08T00:00:00Z,240.75,240.75,234.75,234.75,219.02,227.475,6.07378529726274,6.25,0.125
2005-07-11T00:00:00Z,229.75,235.25,226.75,235.25,219.635,228.7375,6.19509603239961,6.25,0.125
2005-07-12T00:00:00Z,236.5,237,234.5,235.5,220.075,229.7625,6.01034123077963,6.25,0.125
2005-07-13T00:00:00Z,235.5,244.75,233.5,244.75,220.79,231.05,6.27232416924064,6.25,0.125
2005-07-14T00:00:00Z,243.75,250.5,242.5,250.5,221.7,232.3625,6.35870796077861,6.25,0.125
2005-07-15T00:00:00Z,249.5,257.75,248.5,257.75,222.735,233.9625,6.50327256273968,6.25,0.125
2005-07-18T00:00:00Z,260,263.25,251.75,260,223.775,235.5125,6.7531089346027,6.25,0.125
2005-07-19T00:00:00Z,258.5,260,248.5,248.5,224.58,236.1625,6.99045348787256,6.25,0.125
2005-07-20T00:00:00Z,248,249,241.5,241.5,225.255,236.625,7.01593081347893,6.25,0.125
2005-07-21T00:00:00Z,241.75,243,234,234,225.77,236.85,7.11513427280499,6.25,0.125
2005-07-22T00:00:00Z,234.25,238,233.5,233.5,226.31,237.2,6.98437755916474,6.25,0.125
2005-07-25T00:00:00Z,233.75,234.25,230,230.5,226.835,237.0875,6.8476586812065,6.25,0.125
2005-07-26T00:00:00Z,231.5,235,230.75,234.25,227.45,237.725,6.73027574714618,6.25,0.125
2005-07-27T00:00:00Z,233.25,236.5,232,236.5,228.04,238.625,6.61876195978887,6.25,0.125
2005-07-28T00:00:00Z,236.5,241,236.5,241,228.71,239.375,6.51282386179942,6.25,0.125
2005-07-29T00:00:00Z,241,243,236.5,236.5,229.225,240.0875,6.51218266870945,6.25,0.125
2005-08-01T00:00:00Z,238,239.5,231.75,231.75,229.67,240.4,6.57407353527398,6.25,0.125
2005-08-02T00:00:00Z,233.75,235.5,232.5,232.5,230.055,240.025,6.43286985851028,6.25,0.125
2005-08-03T00:00:00Z,232.5,232.5,227,227,230.105,239.3875,6.38622636558477,6.25,0.125
2005-08-04T00:00:00Z,227,227,224.25,224.5,230.17,238.525,6.20441504730553,6.25,0.125
2005-08-05T00:00:00Z,224.5,226.25,220.5,220.5,230.125,237.8125,6.18169429494025,6.25,0.125
2005-08-08T00:00:00Z,225.75,227,222,222,230.065,237.15,6.19760958019324,6.25,0.125
2005-08-09T00:00:00Z,222.5,223,218.75,218.75,230.015,236.3125,6.10022910118358,6.25,0.125
2005-08-10T00:00:00Z,219,223,218.75,223,230.035,235.225,6.0077176461244,6.25,0.125
2005-08-11T00:00:00Z,223,225,223,225,230.045,233.95,5.80733176381818,6.25,0.125
2005-08-12T00:00:00Z,224.25,225,217.75,217.75,230.06,231.95,5.87946517562727,6.25,0.125
2005-08-15T00:00:00Z,217.25,217.5,210.5,210.5,229.905,229.475,5.94799191684591,6.25,0.125
2005-08-16T00:00:00Z,210.5,211.5,209.5,209.5,229.68,227.525,5.75059232100361,6.25,0.125
2005-08-17T00:00:00Z,209.25,213,209,213,229.535,226.1,5.66306270495343,6.25,0.125
2005-08-18T00:00:00Z,212.75,214.25,211.25,211.25,229.44,224.9625,5.52990956970576,6.25,0.125
2005-08-19T00:00:00Z,211.25,211.25,210,210.25,229.335,223.8,5.31591409122047,6.25,0.125
2005-08-22T00:00:00Z,210.75,212.5,210.25,212.5,229.385,222.9,5.16261838665945,6.25,0.125
2005-08-23T00:00:00Z,212.75,215.75,210.5,210.5,229.295,221.7125,5.16698746732648,6.25,0.125
2005-08-24T00:00:00Z,210.5,210.5,208.75,208.75,229.09,220.325,4.99613809396015,6.25,0.125
2005-08-25T00:00:00Z,208.5,208.75,206.25,206.25,228.73,218.5875,4.87133118926214,6.25,0.125
2005-08-26T00:00:00Z,206,206.5,203.75,203.75,228.29,216.95,4.76526462979904,6.25,0.125
2005-08-29T00:00:00Z,203.75,208.75,203.75,204.75,227.805,215.6,4.77700139830908,6.25,0.125
2005-08-30T00:00:00Z,218.5,219,218,218.5,227.465,214.9,5.25065132839363,6.25,0.125
2005-08-31T00:00:00Z,218.5,219.5,216.5,216.5,227.15,214.375,5.13811876197395,6.25,0.125
2005-09-01T00:00:00Z,216.5,222.25,216.5,222.25,227.005,214.2625,5.16871282387525,6.25,0.125
2005-09-02T00:00:00Z,221.75,222.75,217.25,217.25,226.82,214.1,5.18527718268149,6.25,0.125
2005-09-06T00:00:00Z,217,221.25,217,221.25,226.59,214.0625,5.13851332354741,6.25,0.125
2005-09-07T00:00:00Z,220.75,221,217.5,217.5,226.51,214,5.06908765737004,6.25,0.125
2005-09-08T00:00:00Z,217.5,218,216.25,216.25,226.465,213.6625,4.90313327450154,6.25,0.125
2005-09-09T00:00:00Z,216.25,217.25,216,216,226.265,213.2125,4.72047661077646,6.25,0.125
2005-09-12T00:00:00Z,215.75,216,211.5,211.5,226.05,212.9,4.70945278023764,6.25,0.125
2005-09-13T00:00:00Z,211,211.5,210,210,225.74,212.875,4.54898014122576,6.25,0.125
2005-09-14T00:00:00Z,209.75,210,207.75,207.75,225.095,212.7875,4.43403113416447,6.25,0.125
2005-09-15T00:00:00Z,207.5,207.75,206.25,206.5,224.43,212.4625,4.28732957745625,6.25,0.125
2005-09-16T00:00:00Z,206,206.5,206,206.25,223.72,212.2125,4.09796309858344,6.25,0.125
2005-09-19T00:00:00Z,205.75,206.5,205.5,206.25,223.15,212.0125,3.94306494365426,6.25,0.125
2005-09-20T00:00:00Z,206.25,207,206,206.75,222.58,211.725,3.79591169647155,6.25,0.125
2005-09-21T00:00:00Z,206.75,206.75,206.25,206.5,222,211.525,3.63111611164797,6.25,0.125
2005-09-22T00:00:00Z,206.5,208.25,205.5,208.25,221.27,211.5,3.58706030606557,6.25,0.125
2005-09-23T00:00:00Z,208,209,207.25,207.25,220.405,211.55,3.49520729076229,6.25,0.125
2005-09-26T00:00:00Z,206.5,207,204.5,204.5,219.34,211.5875,3.45794692622418,6.25,0.125
2005-09-27T00:00:00Z,204.5,204.5,203.25,203.25,218.205,211.5125,3.34754957991297,6.25,0.125
2005-09-28T00:00:00Z,203,203.5,203,203.25,217.3,210.75,3.20517210091732,6.25,0.125
2005-09-29T00:00:00Z,203.5,204,203.25,203.5,216.54,210.1,3.08241349587146,6.25,0.125
2005-09-30T00:00:00Z,203.25,205.5,203,205.5,215.97,209.2625,3.05329282107788,6.25,0.125
2005-10-03T00:00:00Z,205.25,208.75,205,208.75,215.475,208.8375,3.08812818002399,6.25,0.125
2005-10-04T00:00:00Z,207.75,208.25,205.75,205.75,214.98,208.0625,3.08372177102279,6.25,0.125
2005-10-05T00:00:00Z,205.75,207.75,204.75,204.75,214.39,207.425,3.07953568247165,6.25,0.125
2005-10-06T00:00:00Z,204.75,206.75,204.25,204.25,213.745,206.825,3.05055889834807,6.25,0.125
2005-10-07T00:00:00Z,204.25,205,202.5,202.5,212.975,206.15,3.02303095343066,6.25,0.125
