time,open,high,low,close,MA,MA,ATR,Tick value,Tick size
2005-03-22T01:00:00Z,627.5,631.75,627.25,627.25,567.47,631.9,13.3896293830711,12.5,0.25
2005-03-23T01:00:00Z,624,624,617,623.25,568.965,633.9375,13.2326479139175,12.5,0.25
2005-03-24T01:00:00Z,623.25,628.75,617,628.75,570.675,636.675,13.1585155182217,12.5,0.25
2005-03-28T01:00:00Z,628,631,624,625.75,572.515,637.7375,12.8505897423106,12.5,0.25
2005-03-29T01:00:00Z,623.25,626.75,622.5,624,574.265,637.8375,12.4205602551951,12.5,0.25
2005-03-30T01:00:00Z,624,641,623.5,641,576.695,639.225,12.6745322424353,12.5,0.25
2005-03-31T01:00:00Z,641,648,627.5,627.5,578.975,639.2375,13.0658056303135,12.5,0.25
2005-04-01T01:00:00Z,630,632,614,614,580.9,638.575,13.3125153487979,12.5,0.25
2005-04-04T00:00:00Z,615,618,612.5,615,582.735,637.8375,12.921889581358,12.5,0.25
2005-04-05T00:00:00Z,613.75,617.5,613,617.5,584.75,637.9125,12.5007951022901,12.5,0.25
2005-04-06T00:00:00Z,617.5,623.25,616,623.25,586.815,637.8,12.2382553471756,12.5,0.25
2005-04-07T00:00:00Z,623.5,629,623.5,623.5,588.765,637.5,11.9138425798168,12.5,0.25
2005-04-08T00:00:00Z,625.75,628,612,612,590.545,636.1375,12.1181504508259,12.5,0.25
2005-04-11T00:00:00Z,612,616.75,610,616.75,592.565,633.85,11.8497429282847,12.5,0.25
2005-04-12T00:00:00Z,618.5,624,617.5,617.5,594.635,631.925,11.6197557818704,12.5,0.25
2005-04-13T00:00:00Z,616,623.25,613.25,623.25,596.805,629.0375,11.5387679927769,12.5,0.25
2005-04-14T00:00:00Z,622.25,624.75,617,617,599.005,626.2125,11.349329593138,12.5,0.25
2005-04-15T00:00:00Z,616,618.5,613.25,616.25,601.225,623.45,11.0443631134811,12.5,0.25
2005-04-18T00:00:00Z,620,621,616.25,616.25,603.51,621.8125,10.7296449578071,12.5,0.25
2005-04-19T00:00:00Z,616.25,639,616,639,606.3,622.4375,11.3431627099167,12.5,0.25
2005-04-20T00:00:00Z,639.5,645,638.75,639,609.055,623.025,11.0885045744209,12.5,0.25
2005-04-21T00:00:00Z,639.25,645.25,634,645.25,611.89,624.125,11.0965793456999,12.5,0.25
2005-04-22T00:00:00Z,646,647.75,640.5,640.5,614.485,624.7125,10.9042503784149,12.5,0.25
2005-04-25T00:00:00Z,645,649.75,642,642,617.005,625.525,10.8215378594941,12.5,0.25
2005-04-26T00:00:00Z,640,645,640,643.5,619.36,626.5,10.5304609665194,12.5,0.25
2005-04-27T00:00:00Z,645,646.5,633.75,633.75,621.31,626.1375,10.6414379181934,12.5,0.25
2005-04-28T00:00:00Z,636,641.25,625.25,625.25,623.105,626.025,10.9093660222838,12.5,0.25
2005-04-29T00:00:00Z,625,626.25,624,626.25,624.935,626.6375,10.4763977211696,12.5,0.25
2005-05-02T00:00:00Z,622.25,627.25,617.75,627.25,626.42,627.25,10.4275778351111,12.5,0.25
2005-05-03T00:00:00Z,629.25,632,625.5,625.5,627.815,627.65,10.2311989433555,12.5,0.25
2005-05-04T00:00:00Z,624.5,628,624,624.5,628.645,627.7125,9.91963899618777,12.5,0.25
2005-05-05T00:00:00Z,626.5,629,625.5,628.75,629.57,627.975,9.64865704637838,12.5,0.25
2005-05-06T00:00:00Z,629,640,627,640,630.89,629.375,9.81622419405946,12.5,0.25
2005-05-09T00:00:00Z,640,645.75,637.75,637.75,631.555,630.425,9.72541298435649,12.5,0.25
2005-05-10T00:00:00Z,639.25,641.75,634,634,631.795,631.25,9.62664233513866,12.5,0.25
2005-05-11T00:00:00Z,634,635.5,631,633,632.19,631.7375,9.37031021838173,12.5,0.25
2005-05-12T00:00:00Z,632.75,634.5,623.5,623.5,632.115,632.0625,9.45179470746264,12.5,0.25
2005-05-13T00:00:00Z,623.25,625.25,612.75,612.75,631.825,631.8875,9.60420497208951,12.5,0.25
2005-05-16T00:00:00Z,612.75,623.5,612.5,623.5,631.7,632.25,9.67399472348503,12.5,0.25
2005-05-17T00:00:00Z,624,626,618.75,620.75,631.795,631.3375,9.55279498731078,12.5,0.25
2005-05-18T00:00:00Z,621.25,633.25,617.5,633.25,631.95,631.05,9.86265523794524,12.5,0.25
2005-05-19T00:00:00Z,633.25,638.25,629.25,629.25,631.945,630.25,9.81952247604798,12.5,0.25
2005-05-20T00:00:00Z,628.5,634,628.25,632,631.8,629.825,9.61604635224558,12.5,0.25
2005-05-23T00:00:00Z,636,645.25,636,640,631.35,629.725,9.7977440346333,12.5,0.25
2005-05-24T00:00:00Z,639.5,645.5,638.25,645.5,631.14,629.825,9.67035683290164,12.5,0.25
2005-05-25T00:00:00Z,645.5,666.5,645.5,666.5,630.85,631.4625,10.2368389912566,12.5,0.25
2005-05-26T00:00:00Z,664.25,676,663,676,630.9,634,10.3749970416937,12.5,0.25
2005-05-27T00:00:00Z,675.5,681,667.75,667.75,630.825,636.075,10.518747189609,12.5,0.25
2005-05-31T00:00:00Z,681.75,687,679.25,680.25,631.45,638.725,10.9553098301286,12.5,0.25
2005-06-01T00:00:00Z,676.75,685.25,674,685.25,632.625,641.7125,10.9700443386222,12.5,0.25
2005-06-02T00:00:00Z,684,684.25,668.5,668.5,633.45,643.9125,11.2590421216911,12.5,0.25
2005-06-03T00:00:00Z,666.75,675.25,664.5,675.25,634.49,646.2375,11.2335900156065,12.5,0.25
2005-06-06T00:00:00Z,687.5,694.5,677.75,677.75,635.47,648.125,11.6344105148262,12.5,0.25
