time,open,high,low,close,MA,MA,ATR,Tick value,Tick size
2005-03-22T01:00:00Z,343,345,342.75,344.5,316.49,344.3625,6.85519117983587,12.5,0.25
2005-03-23T01:00:00Z,342.75,343,336.75,336.75,317.07,344.975,6.89993162084407,12.5,0.25
2005-03-24T01:00:00Z,336.5,338.5,333.25,338.5,317.71,345.8375,6.81743503980187,12.5,0.25
2005-03-28T01:00:00Z,337.75,337.75,334.25,336,318.285,345.975,6.68906328781178,12.5,0.25
2005-03-29T01:00:00Z,336.25,336.75,334.5,334.5,318.825,345.4375,6.46711012342119,12.5,0.25
2005-03-30T01:00:00Z,335.5,336.5,333.5,333.5,319.545,345.2,6.29375461725013,12.5,0.25
2005-03-31T01:00:00Z,334,335,331,331,320.235,344.725,6.17906688638762,12.5,0.25
2005-04-01T01:00:00Z,331.5,332.5,322.5,322.5,320.705,343.95,6.37011354206824,12.5,0.25
2005-04-04T00:00:00Z,322.5,323.5,316.5,316.5,321.14,342.925,6.40160786496483,12.5,0.25
2005-04-05T00:00:00Z,316.5,317,311.25,311.25,321.45,341.875,6.36902747171659,12.5,0.25
2005-04-06T00:00:00Z,311.75,314.25,310.25,314.25,321.83,340.725,6.25057609813076,12.5,0.25
2005-04-07T00:00:00Z,314.25,316,314,314.25,322.175,339.4,6.03804729322422,12.5,0.25
2005-04-08T00:00:00Z,315.25,315.25,310,310,322.47,337.5,5.99864492856301,12.5,0.25
2005-04-11T00:00:00Z,310.5,313.5,310.5,313.5,322.95,335.275,5.87371268213486,12.5,0.25
2005-04-12T00:00:00Z,313.5,316.5,311,311,323.37,333.125,5.85502704802812,12.5,0.25
2005-04-13T00:00:00Z,311.25,311.25,309.75,310.5,323.76,330.25,5.63727569562671,12.5,0.25
2005-04-14T00:00:00Z,311,311.25,309,309,324.095,327.65,5.46791191084537,12.5,0.25
2005-04-15T00:00:00Z,309,309,305.25,305.25,324.435,324.5875,5.38201631530311,12.5,0.25
2005-04-18T00:00:00Z,312.5,312.75,311,311.25,324.865,322.325,5.48791549953795,12.5,0.25
2005-04-19T00:00:00Z,311,317.75,310.75,317.75,325.465,321.0875,5.56351972456105,12.5,0.25
2005-04-20T00:00:00Z,317.5,321.75,317.25,321,326.035,319.9125,5.510343738333,12.5,0.25
2005-04-21T00:00:00Z,321.25,322,320.75,320.75,326.615,319.1125,5.29732655141635,12.5,0.25
2005-04-22T00:00:00Z,320,322.25,319.25,319.25,327.2,318.15,5.18246022384553,12.5,0.25
2005-04-25T00:00:00Z,323.75,330.5,321.75,330.5,327.885,317.875,5.48583721265326,12.5,0.25
2005-04-26T00:00:00Z,330,333.5,328.5,333.5,328.665,317.825,5.46154535202059,12.5,0.25
2005-04-27T00:00:00Z,333.5,335,329.25,329.25,329.065,317.6125,5.47596808441956,12.5,0.25
2005-04-28T00:00:00Z,329.75,332.25,327.25,327.25,329.475,317.425,5.45216968019859,12.5,0.25
2005-04-29T00:00:00Z,327.5,329.25,324,326,330,317.6,5.44206119618866,12.5,0.25
2005-05-02T00:00:00Z,325,325,320.75,323.25,330.4,317.9375,5.43245813637922,12.5,0.25
2005-05-03T00:00:00Z,323.75,324.75,317.75,317.75,330.675,318.2625,5.51083522956026,12.5,0.25
2005-05-04T00:00:00Z,318,319,317,317.25,330.605,318.4125,5.33529346808225,12.5,0.25
