time,open,high,low,close,Average True Range,Tick value,Tick size
2005-02-24,2731,2766,2715,2764,,10.00,1.00
2005-02-25,2751,2770,2744,2763,,10.00,1.00
2005-02-28,2789,2854,2789,2837,,10.00,1.00
2005-03-01,2835,2859,2829,2858,,10.00,1.00
2005-03-02,2829,2830,2815,2828,,10.00,1.00
2005-03-03,2844,2847,2814,2836,,10.00,1.00
2005-03-04,2841,2870,2837,2869,,10.00,1.00
2005-03-07,2835,2894,2835,2886,,10.00,1.00
2005-03-08,2897,2909,2878,2881,,10.00,1.00
2005-03-09,2885,2885,2840,2849,,10.00,1.00
2005-03-10,2880,2885,2849,2864,,10.00,1.00
2005-03-11,2937,2952,2911,2915,,10.00,1.00
2005-03-14,2905,2911,2877,2885,,10.00,1.00
2005-03-15,2907,2909,2889,2898,,10.00,1.00
2005-03-16,2894,2943,2887,2940,,10.00,1.00
2005-03-17,2947,2962,2929,2943,,10.00,1.00
2005-03-18,2945,2964,2940,2958,,10.00,1.00
2005-03-21,2932,2944,2842,2849,,10.00,1.00
2005-03-22,2845,2859,2839,2846,,10.00,1.00
2005-03-23,2757,2759,2687,2703,,10.00,1.00
2005-03-24,2692,2700,2673,2698,50.8,10.00,1.00
2005-03-28,2677,2692,2672,2684,50.8,10.00,1.00
2005-03-29,2700,2705,2693,2697,47.3,10.00,1.00
2005-03-30,2692,2703,2688,2695,46.55,10.00,1.00
2005-03-31,2718,2740,2718,2730,46.65,10.00,1.00
2005-04-01,2757,2785,2677,2688,50.4,10.00,1.00
2005-04-04,2679,2716,2678,2709,50.6,10.00,1.00
2005-04-05,2697,2697,2676,2677,49.3,10.00,1.00
2005-04-06,2652,2682,2649,2678,49.4,10.00,1.00
2005-04-07,2677,2695,2655,2674,49.15,10.00,1.00
2005-04-08,2662,2689,2660,2685,48.8,10.00,1.00
2005-04-11,2689,2689,2655,2660,46.1,10.00,1.00
2005-04-12,2665,2681,2652,2678,45.65,10.00,1.00
2005-04-13,2677,2686,2670,2678,45.25,10.00,1.00
2005-04-14,2672,2673,2632,2640,44.75,10.00,1.00
2005-04-15,2640,2640,2617,2630,44.25,10.00,1.00
2005-04-18,2630,2652,2613,2636,45,10.00,1.00
2005-04-19,2642,2665,2641,2652,40.65,10.00,1.00
2005-04-20,2648,2675,2648,2660,41,10.00,1.00
2005-04-21,2655,2655,2634,2635,34.35,10.00,1.00
2005-04-22,2612,2612,2590,2603,35.1,10.00,1.00
2005-04-25,2592,2592,2580,2583,34.95,10.00,1.00
2005-04-26,2587,2592,2571,2573,34.95,10.00,1.00
2005-04-27,2583,2608,2582,2597,35.95,10.00,1.00
2005-04-28,2597,2602,2581,2585,34.75,10.00,1.00
2005-04-29,2600,2622,2586,2589,31.2,10.00,1.00
2005-05-02,2582,2617,2580,2600,31.15,10.00,1.00
2005-05-03,2587,2613,2585,2587,30.9,10.00,1.00
2005-05-04,2587,2602,2583,2593,30.2,10.00,1.00
2005-05-05,2587,2590,2572,2577,29.25,10.00,1.00
2005-05-06,2575,2584,2552,2581,29.4,10.00,1.00
2005-05-09,2576,2591,2573,2586,28.6,10.00,1.00
2005-05-10,2592,2600,2589,2594,27.85,10.00,1.00
2005-05-11,2592,2606,2587,2588,28,10.00,1.00
2005-05-12,2581,2586,2563,2569,26.95,10.00,1.00
2005-05-13,2554,2560,2525,2527,28,10.00,1.00
2005-05-16,2517,2551,2514,2548,27.9,10.00,1.00
2005-05-17,2545,2546,2532,2535,27.25,10.00,1.00
2005-05-18,2542,2555,2538,2550,26.9,10.00,1.00
2005-05-19,2555,2566,2532,2543,27.3,10.00,1.00
2005-05-20,2537,2547,2529,2537,25.95,10.00,1.00
2005-05-23,2554,2560,2549,2556,25.95,10.00,1.00
2005-05-24,2563,2565,2531,2533,26.6,10.00,1.00
2005-05-25,2537,2547,2524,2526,26,10.00,1.00
2005-05-26,2512,2524,2510,2512,25.75,10.00,1.00
2005-05-27,2514,2528,2509,2509,24.85,10.00,1.00
2005-05-31,2512,2522,2512,2519,23.65,10.00,1.00
2005-06-01,2519,2520,2500,2501,23.25,10.00,1.00
2005-06-02,2513,2531,2509,2524,23.8,10.00,1.00
2005-06-03,2533,2547,2525,2535,23.9,10.00,1.00
2005-06-06,2527,2538,2519,2527,23.25,10.00,1.00
2005-06-07,2531,2545,2525,2540,23.35,10.00,1.00
2005-06-08,2539,2553,2533,2535,23.65,10.00,1.00
2005-06-09,2531,2547,2513,2520,24.4,10.00,1.00
2005-06-10,2525,2525,2509,2510,23.95,10.00,1.00
2005-06-13,2506,2517,2501,2508,22.55,10.00,1.00
2005-06-14,2520,2586,2518,2583,24.6,10.00,1.00
2005-06-15,2625,2643,2607,2641,26.8,10.00,1.00
2005-06-16,2626,2630,2597,2622,28,10.00,1.00
2005-06-17,2610,2639,2608,2625,27.85,10.00,1.00
2005-06-20,2631,2636,2611,2612,28.2,10.00,1.00
2005-06-21,2619,2627,2609,2626,27.95,10.00,1.00
2005-06-22,2644,2661,2639,2650,28,10.00,1.00
2005-06-23,2648,2670,2636,2660,28.55,10.00,1.00
2005-06-24,2671,2675,2606,2612,31.2,10.00,1.00
2005-06-27,2616,2631,2592,2626,32.2,10.00,1.00
2005-06-28,2618,2619,2587,2590,33.5,10.00,1.00
2005-06-29,2571,2587,2569,2578,33.55,10.00,1.00
2005-06-30,2571,2571,2524,2533,34.75,10.00,1.00
2005-07-01,2526,2546,2526,2532,34.6,10.00,1.00
2005-07-05,2511,2529,2506,2511,34.95,10.00,1.00
2005-07-06,2501,2511,2488,2492,35.1,10.00,1.00
2005-07-07,2483,2505,2476,2478,35.55,10.00,1.00
2005-07-08,2466,2484,2458,2479,35.15,10.00,1.00
2005-07-11,2501,2501,2469,2487,35.95,10.00,1.00
2005-07-12,2500,2509,2492,2493,36.25,10.00,1.00
2005-07-13,2493,2496,2477,2485,33.3,10.00,1.00
2005-07-14,2477,2509,2477,2490,31.9,10.00,1.00
2005-07-15,2489,2498,2482,2486,30.5,10.00,1.00
2005-07-18,2496,2525,2493,2520,30.9,10.00,1.00
2005-07-19,2516,2523,2500,2506,30.8,10.00,1.00
2005-07-20,2511,2524,2482,2485,32,10.00,1.00
2005-07-21,2496,2505,2472,2488,31.9,10.00,1.00
2005-07-22,2498,2500,2479,2488,31.25,10.00,1.00
2005-07-25,2496,2521,2493,2501,29.45,10.00,1.00
2005-07-26,2501,2519,2501,2518,28.4,10.00,1.00
2005-07-27,2523,2544,2523,2539,27.75,10.00,1.00
2005-07-28,2551,2553,2525,2534,28.1,10.00,1.00
2005-07-29,2536,2561,2532,2560,26.85,10.00,1.00
2005-08-01,2560,2563,2545,2558,26.75,10.00,1.00
2005-08-02,2558,2576,2551,2573,26.7,10.00,1.00
2005-08-03,2571,2580,2561,2569,26.5,10.00,1.00
2005-08-04,2570,2579,2551,2556,26.45,10.00,1.00
2005-08-05,2538,2545,2527,2533,26.6,10.00,1.00
2005-08-08,2538,2540,2508,2511,26.6,10.00,1.00
2005-08-09,2503,2505,2478,2481,27.15,10.00,1.00
2005-08-10,2488,2491,2473,2475,27.1,10.00,1.00
2005-08-11,2458,2463,2433,2435,27.6,10.00,1.00
2005-08-12,2435,2437,2417,2421,27.8,10.00,1.00
2005-08-15,2423,2431,2413,2418,26.75,10.00,1.00
2005-08-16,2423,2435,2421,2426,26.45,10.00,1.00
2005-08-17,2429,2429,2414,2415,25.1,10.00,1.00
2005-08-18,2433,2447,2426,2441,25.05,10.00,1.00
2005-08-19,2446,2453,2418,2437,25.75,10.00,1.00
2005-08-22,2433,2460,2432,2456,25.5,10.00,1.00
2005-08-23,2463,2469,2448,2453,25.65,10.00,1.00
2005-08-24,2465,2473,2446,2455,25.7,10.00,1.00
2005-08-25,2465,2465,2441,2446,25.5,10.00,1.00
2005-08-26,2453,2477,2441,2471,25.85,10.00,1.00
2005-08-29,2473,2485,2463,2471,26.05,10.00,1.00
2005-08-30,2453,2453,2434,2449,26.65,10.00,1.00
2005-08-31,2448,2458,2439,2447,26.65,10.00,1.00
2005-09-01,2457,2543,2453,2539,30.05,10.00,1.00
2005-09-02,2583,2598,2561,2593,31.55,10.00,1.00
2005-09-06,2578,2587,2563,2583,31.45,10.00,1.00
2005-09-07,2563,2595,2555,2592,31.8,10.00,1.00
2005-09-08,2586,2613,2586,2612,32.25,10.00,1.00
2005-09-09,2618,2618,2559,2574,33.1,10.00,1.00
2005-09-12,2543,2550,2523,2526,34.65,10.00,1.00
2005-09-13,2519,2525,2483,2488,35.9,10.00,1.00
2005-09-14,2485,2503,2462,2466,37.1,10.00,1.00
2005-09-15,2454,2460,2442,2448,37.55,10.00,1.00
2005-09-16,2453,2455,2427,2428,37.35,10.00,1.00
2005-09-19,2403,2418,2399,2414,37.05,10.00,1.00
2005-09-20,2418,2431,2410,2418,36.7,10.00,1.00
2005-09-21,2428,2438,2394,2395,37.85,10.00,1.00
2005-09-22,2397,2403,2380,2385,37.65,10.00,1.00
2005-09-23,2383,2402,2381,2393,37.5,10.00,1.00
2005-09-26,2383,2384,2371,2378,36.8,10.00,1.00
2005-09-27,2373,2398,2373,2394,36.95,10.00,1.00
2005-09-28,2396,2420,2396,2416,36.4,10.00,1.00
2005-09-29,2456,2483,2436,2477,38.8,10.00,1.00
2005-09-30,2472,2487,2451,2456,35.8,10.00,1.00
2005-10-03,2436,2454,2431,2444,34.1,10.00,1.00
2005-10-04,2445,2448,2424,2426,33.8,10.00,1.00
2005-10-05,2453,2460,2428,2431,33.5,10.00,1.00
2005-10-06,2423,2451,2421,2435,33.65,10.00,1.00
2005-10-07,2428,2432,2406,2410,32.15,10.00,1.00
2005-10-10,2413,2416,2394,2399,30.7,10.00,1.00
2005-10-11,2413,2415,2394,2399,29.6,10.00,1.00
2005-10-12,2393,2401,2390,2392,28.1,10.00,1.00
2005-10-13,2395,2416,2395,2412,28.1,10.00,1.00
2005-10-14,2433,2459,2428,2451,29.05,10.00,1.00
2005-10-17,2424,2431,2408,2410,29.75,10.00,1.00
2005-10-18,2413,2435,2413,2429,29.95,10.00,1.00
2005-10-19,2438,2448,2429,2435,28.7,10.00,1.00
2005-10-20,2428,2442,2407,2410,29.3,10.00,1.00
2005-10-21,2409,2425,2399,2409,29.55,10.00,1.00
2005-10-24,2413,2455,2412,2451,30.75,10.00,1.00
2005-10-25,2443,2451,2431,2446,30.5,10.00,1.00
2005-10-26,2443,2466,2438,2461,30.6,10.00,1.00
2005-10-27,2463,2471,2450,2458,28.3,10.00,1.00
2005-10-28,2443,2446,2414,2425,28.7,10.00,1.00
2005-10-31,2410,2415,2392,2394,29.1,10.00,1.00
2005-11-01,2394,2403,2386,2400,28.75,10.00,1.00
2005-11-02,2400,2408,2391,2402,27.9,10.00,1.00
2005-11-03,2405,2410,2400,2407,26.9,10.00,1.00
2005-11-04,2388,2388,2368,2373,27.4,10.00,1.00
2005-11-07,2368,2368,2348,2349,27.55,10.00,1.00
2005-11-08,2353,2357,2344,2357,27.15,10.00,1.00
2005-11-09,2359,2366,2357,2365,27.05,10.00,1.00
2005-11-10,2367,2378,2364,2370,26.55,10.00,1.00
2005-11-11,2358,2358,2340,2341,25.7,10.00,1.00
2005-11-14,2343,2351,2337,2344,24.25,10.00,1.00
2005-11-15,2353,2370,2339,2344,24.55,10.00,1.00
2005-11-16,2354,2360,2342,2347,24.5,10.00,1.00
2005-11-17,2349,2355,2340,2353,23.5,10.00,1.00
2005-11-18,2383,2423,2381,2418,25.7,10.00,1.00
2005-11-21,2433,2436,2388,2407,25.8,10.00,1.00
2005-11-22,2398,2428,2397,2422,26.35,10.00,1.00
2005-11-23,2439,2439,2399,2406,26.95,10.00,1.00
2005-11-28,2388,2420,2383,2402,27.75,10.00,1.00
2005-11-29,2395,2409,2386,2397,26.7,10.00,1.00
2005-11-30,2397,2412,2392,2408,26.05,10.00,1.00
2005-12-01,2423,2467,2418,2458,28.15,10.00,1.00
2005-12-02,2455,2477,2453,2471,28.5,10.00,1.00
2005-12-05,2441,2453,2428,2433,30.15,10.00,1.00
2005-12-06,2426,2432,2419,2422,28.9,10.00,1.00
2005-12-07,2423,2448,2416,2443,29.25,10.00,1.00
2005-12-08,2448,2461,2435,2456,29.9,10.00,1.00
2005-12-09,2448,2459,2436,2454,30.6,10.00,1.00
2005-12-12,2463,2485,2462,2472,31.45,10.00,1.00
2005-12-13,2476,2490,2468,2473,31.05,10.00,1.00
2005-12-14,2473,2475,2441,2453,32.05,10.00,1.00
2005-12-15,2446,2467,2438,2461,31.95,10.00,1.00
2005-12-16,2463,2473,2449,2454,32.25,10.00,1.00
2005-12-19,2443,2444,2429,2432,32.75,10.00,1.00
2005-12-20,2433,2447,2420,2441,30.6,10.00,1.00
2005-12-21,2443,2453,2435,2443,29.1,10.00,1.00
2005-12-22,2455,2475,2448,2471,29.15,10.00,1.00
2005-12-23,2468,2468,2452,2456,28.1,10.00,1.00
2005-12-27,2457,2458,2435,2438,27.4,10.00,1.00
2005-12-28,2440,2468,2430,2462,28.15,10.00,1.00
2005-12-29,2463,2498,2463,2494,28.95,10.00,1.00
2005-12-30,2498,2518,2491,2497,27.35,10.00,1.00
2006-01-03,2508,2541,2506,2539,28.35,10.00,1.00
2006-01-04,2533,2547,2525,2537,27.3,10.00,1.00
2006-01-05,2518,2523,2508,2512,28.05,10.00,1.00
2006-01-06,2496,2547,2492,2544,29.2,10.00,1.00
2006-01-09,2538,2547,2494,2498,30.55,10.00,1.00
2006-01-10,2512,2521,2499,2512,30.55,10.00,1.00
2006-01-11,2516,2521,2499,2511,30.1,10.00,1.00
2006-01-12,2523,2529,2508,2520,30.05,10.00,1.00
2006-01-13,2518,2522,2508,2511,29.05,10.00,1.00
2006-01-17,2541,2573,2537,2564,30.7,10.00,1.00
2006-01-18,2578,2593,2561,2591,31.1,10.00,1.00
2006-01-19,2535,2555,2523,2546,33.25,10.00,1.00
2006-01-20,2518,2568,2513,2541,34.65,10.00,1.00
2006-01-23,2553,2559,2523,2524,35.55,10.00,1.00
2006-01-24,2503,2503,2439,2444,38.2,10.00,1.00
2006-01-25,2465,2465,2438,2458,38.6,10.00,1.00
2006-01-26,2465,2479,2449,2478,38.95,10.00,1.00
2006-01-27,2471,2487,2445,2448,39.15,10.00,1.00
2006-01-30,2438,2473,2436,2470,39.2,10.00,1.00
2006-01-31,2468,2490,2463,2477,39.2,10.00,1.00
2006-02-01,2477,2486,2456,2456,38.5,10.00,1.00
2006-02-02,2461,2463,2441,2442,38.5,10.00,1.00
2006-02-03,2454,2482,2454,2461,39.05,10.00,1.00
2006-02-06,2451,2474,2446,2462,37.7,10.00,1.00
2006-02-07,2481,2511,2474,2505,37.5,10.00,1.00
2006-02-08,2505,2517,2489,2511,37.75,10.00,1.00
2006-02-09,2508,2522,2501,2510,37.7,10.00,1.00
2006-02-10,2512,2531,2505,2510,37.95,10.00,1.00
2006-02-13,2501,2501,2476,2478,38.95,10.00,1.00
2006-02-14,2481,2494,2466,2469,37.25,10.00,1.00
2006-02-15,2471,2475,2457,2461,36.55,10.00,1.00
2006-02-16,2461,2480,2449,2453,34.7,10.00,1.00
2006-02-17,2455,2461,2450,2451,32.5,10.00,1.00
2006-02-21,2453,2456,2402,2405,33.4,10.00,1.00
2006-02-22,2411,2440,2407,2437,30.9,10.00,1.00
2006-02-23,2431,2435,2413,2415,30.75,10.00,1.00
2006-02-24,2411,2426,2411,2420,30,10.00,1.00
2006-02-27,2420,2421,2396,2398,29.15,10.00,1.00
