time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,0.8769,0.879,0.8656,0.8712,0.00888,0.0001,0.0001
2005-01-04,0.871,0.8737,0.8539,0.8565,0.009545,0.0001,0.0001
2005-01-05,0.8566,0.858,0.8505,0.8558,0.00907,0.0001,0.0001
2005-01-06,0.856,0.857,0.849,0.8513,0.009105,0.0001,0.0001
2005-01-07,0.851,0.8565,0.8412,0.8442,0.00918,0.0001,0.0001
2005-01-10,0.8444,0.8483,0.8426,0.8458,0.009035,0.0001,0.0001
2005-01-11,0.8455,0.8523,0.8448,0.8449,0.009155,0.0001,0.0001
2005-01-12,0.845,0.86,0.8442,0.8559,0.009235,0.0001,0.0001
2005-01-13,0.856,0.8572,0.8517,0.8537,0.008655,0.0001,0.0001
2005-01-14,0.8536,0.8536,0.8426,0.8476,0.00885,0.0001,0.0001
2005-01-17,0.847,0.8495,0.8447,0.8452,0.008655,0.0001,0.0001
2005-01-18,0.8453,0.8469,0.8397,0.8435,0.00878,0.0001,0.0001
2005-01-19,0.8433,0.8512,0.8404,0.8432,0.0091,0.0001,0.0001
2005-01-20,0.8432,0.845,0.8384,0.8404,0.009025,0.0001,0.0001
2005-01-21,0.8402,0.8449,0.8354,0.8436,0.00931,0.0001,0.0001
2005-01-24,0.8431,0.848,0.8422,0.8452,0.009135,0.0001,0.0001
2005-01-25,0.8455,0.8468,0.835,0.8381,0.009515,0.0001,0.0001
2005-01-26,0.8383,0.8471,0.8373,0.8447,0.009715,0.0001,0.0001
2005-01-27,0.8447,0.849,0.8413,0.8445,0.00974,0.0001,0.0001
2005-01-28,0.8445,0.8461,0.8387,0.8427,0.00955,0.0001,0.0001
2005-01-31,0.8421,0.8438,0.837,0.8411,0.00922,0.0001,0.0001
2005-02-01,0.8413,0.8422,0.8361,0.8398,0.008535,0.0001,0.0001
2005-02-02,0.8399,0.8436,0.8357,0.8382,0.008555,0.0001,0.0001
2005-02-03,0.8382,0.8389,0.8297,0.8319,0.008615,0.0001,0.0001
2005-02-04,0.8319,0.8367,0.8251,0.8255,0.00843,0.0001,0.0001
2005-02-07,0.8249,0.8257,0.8153,0.8167,0.008665,0.0001,0.0001
2005-02-08,0.8166,0.8209,0.8161,0.8185,0.00853,0.0001,0.0001
2005-02-09,0.8183,0.823,0.8172,0.8219,0.00803,0.0001,0.0001
2005-02-10,0.8218,0.8308,0.8166,0.8275,0.008465,0.0001,0.0001
2005-02-11,0.8275,0.8291,0.8251,0.826,0.00811,0.0001,0.0001
2005-02-14,0.8271,0.836,0.8269,0.8348,0.00837,0.0001,0.0001
2005-02-15,0.8347,0.8419,0.8333,0.8405,0.00844,0.0001,0.0001
2005-02-16,0.8406,0.8452,0.8368,0.8422,0.00832,0.0001,0.0001
2005-02-17,0.8422,0.8474,0.8404,0.8445,0.00834,0.0001,0.0001
2005-02-18,0.8446,0.8461,0.8404,0.8452,0.00815,0.0001,0.0001
2005-02-21,0.8438,0.8471,0.8431,0.8458,0.00806,0.0001,0.0001
2005-02-22,0.8461,0.8635,0.8446,0.8634,0.008415,0.0001,0.0001
2005-02-23,0.8633,0.8639,0.8568,0.8594,0.00828,0.0001,0.0001
2005-02-24,0.8593,0.8624,0.8531,0.8553,0.00836,0.0001,0.0001
2005-02-25,0.8555,0.861,0.8515,0.8607,0.008465,0.0001,0.0001
2005-02-28,0.8608,0.8636,0.8595,0.8596,0.00833,0.0001,0.0001
