time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-18,117.53,117.75,116.48,117.06,0,10,0.01
2005-01-19,116.94,117.08,116.38,116.55,0,10,0.01
2005-01-20,116.55,116.55,115.73,116.17,0,10,0.01
2005-01-21,116.4,117.83,116.18,117.55,0,10,0.01
2005-01-24,117.95,118.17,117.33,117.97,0,10,0.01
2005-01-25,118.06,118.83,117.7,118.95,0,10,0.01
2005-01-26,118.89,119.13,117.53,118.28,0,10,0.01
2005-01-27,118.46,119.03,118.33,118.38,0,10,0.01
2005-01-28,118.33,118.43,116.83,116.93,0,10,0.01
2005-01-31,116.43,117.83,115.81,117.88,0,10,0.01
2005-02-01,117.71,117.93,117.18,117.25,0,10,0.01
2005-02-02,117.13,117.46,116.83,116.8,0,10,0.01
2005-02-03,116.7,116.79,116.03,116.6,0,10,0.01
2005-02-04,116.77,117.03,116.43,116.65,0,10,0.01
2005-02-07,116.53,116.61,115.53,115.82,0,10,0.01
2005-02-08,115.86,115.95,115.28,115.95,0,10,0.01
2005-02-09,115.85,116.53,115.28,115.9,0,10,0.01
2005-02-10,115.88,117.48,115.73,117.36,0,10,0.01
2005-02-11,117.19,117.63,117.13,117.48,0,10,0.01
2005-02-14,117.34,118.13,117.03,117.7,0,10,0.01
2005-02-15,117.63,117.98,117.43,117.5,1.0405,10,0.01
2005-02-16,117.53,118.93,117.23,118.55,1.0905,10,0.01
2005-02-17,118.53,118.93,118.03,118.12,1.0945,10,0.01
2005-02-18,118.16,119.08,118.16,118.96,1.0595,10,0.01
2005-02-22,119.24,121.38,119.15,121.19,1.1385,10,0.01
2005-02-23,120.86,121.38,120.67,121.12,1.1175,10,0.01
2005-02-24,121.18,121.78,120.68,121.44,1.0925,10,0.01
2005-02-25,121.47,121.93,121.03,121.57,1.1,10,0.01
2005-02-28,121.71,122.28,121.38,122.03,1.065,10,0.01
2005-03-01,121.98,122.15,121.18,122.06,1.0125,10,0.01
2005-03-02,122.08,123.28,121.8,123.27,1.049,10,0.01
2005-03-03,123.23,124.68,123.07,123.59,1.098,10,0.01
2005-03-04,123.53,123.93,123.08,123.71,1.12842,10,0.01
2005-03-07,123.68,124.08,122.98,124.07,1.12737,10,0.01
2005-03-08,123.97,125.33,123.49,124.83,1.18895,10,0.01
2005-03-09,124.83,125.88,124.43,124.98,1.19947,10,0.01
2005-03-10,124.63,124.88,123.53,124.02,1.18368,10,0.01
2005-03-11,124.03,125.03,122.97,124.88,1.26579,10,0.01
2005-03-14,124.88,125.53,124.13,125.48,1.28158,10,0.01
2005-03-15,125.43,125.98,124.83,125.53,1.31316,10,0.01
2005-03-16,125.53,127.03,124.93,126.95,1.33421,10,0.01
2005-03-17,126.22,128.13,126.03,126.95,1.39737,10,0.01
2005-03-18,126.78,127.53,126.56,127.36,1.39789,10,0.01
2005-03-21,127.31,127.73,126.83,127.59,1.31789,10,0.01
2005-03-22,127.53,127.68,125.93,126.25,1.37263,10,0.01
2005-03-23,126.03,126.11,123.78,124.27,1.44474,10,0.01
2005-03-24,124.43,125.23,123.83,125.18,1.47105,10,0.01
2005-03-28,124.9,124.93,123.93,124.31,1.48947,10,0.01
2005-03-29,124.23,124.73,123.73,124.48,1.49105,10,0.01
2005-03-30,124.5,124.7,122.93,124.32,1.50632,10,0.01
2005-03-31,124.41,126.48,124.3,125.95,1.53632,10,0.01
2005-04-01,125.8,128.23,125.53,127.82,1.5945,10,0.01
2005-04-04,127.85,128.85,127.28,127.63,1.6305,10,0.01
2005-04-05,127.58,127.78,126.53,126.63,1.638,10,0.01
2005-04-06,126.62,127.53,125.83,126.42,1.631,10,0.01
2005-04-07,126.4,127.34,124.48,124.86,1.7015,10,0.01
2005-04-08,124.86,124.93,123.68,124.18,1.6915,10,0.01
2005-04-11,123.82,124.78,123.13,124.63,1.671,10,0.01
2005-04-12,124.73,125,122.83,123.06,1.7095,10,0.01
2005-04-13,122.93,122.93,121.43,121.66,1.7335,10,0.01
2005-04-14,121.73,122.53,121.13,122.31,1.6985,10,0.01
2005-04-15,122.28,122.49,121.28,121.59,1.654,10,0.01
2005-04-18,121.53,121.98,120.54,121,1.6775,10,0.01
2005-04-19,121.03,123.28,121.03,123.1,1.7465,10,0.01
2005-04-20,123.04,124.03,122.78,123.56,1.7215,10,0.01
2005-04-21,123.4,123.83,122.53,123.73,1.663,10,0.01
2005-04-22,123.76,125.43,123.73,124.92,1.678,10,0.01
2005-04-25,124.68,125.53,123.83,124.1,1.7005,10,0.01
2005-04-26,123.87,123.93,122.88,123.73,1.7115,10,0.01
2005-04-27,123.83,123.93,121.08,121.14,1.7655,10,0.01
2005-04-28,121.09,121.42,119.33,121.3,1.761,10,0.01
2005-04-29,121.34,121.81,119.03,119.25,1.765,10,0.01
2005-05-02,119.25,120.9,119.15,120.88,1.774,10,0.01
2005-05-03,120.86,120.86,119.45,119.47,1.783,10,0.01
2005-05-04,119.51,120.35,118.9,120.07,1.7705,10,0.01
2005-05-05,120.26,120.7,119.45,120.41,1.69,10,0.01
2005-05-06,120.72,120.9,119.7,120.35,1.6875,10,0.01
2005-05-09,120.5,120.7,120.05,120.66,1.6375,10,0.01
2005-05-10,120.47,121.35,120.44,120.83,1.5745,10,0.01
2005-05-11,120.59,120.67,119.45,119.55,1.562,10,0.01
2005-05-12,119.45,119.45,118.05,118.19,1.567,10,0.01
2005-05-13,118.45,118.63,117.65,118.3,1.5555,10,0.01
2005-05-16,117.85,118.15,117.1,118.02,1.5435,10,0.01
2005-05-17,118.04,118.5,117.65,118.35,1.472,10,0.01
2005-05-18,118.5,118.55,117.1,117.23,1.482,10,0.01
2005-05-19,116.94,117.9,116.92,117.01,1.466,10,0.01
2005-05-20,117.39,117.54,116.7,117.21,1.423,10,0.01
2005-05-23,116.79,117.9,116.64,117.52,1.401,10,0.01
2005-05-24,117.52,118,117.25,117.81,1.3775,10,0.01
2005-05-25,117.82,119.4,117.75,118.86,1.3175,10,0.01
2005-05-26,118.83,119.45,118.7,118.94,1.2505,10,0.01
2005-05-27,118.84,119.5,118.83,119.46,1.145,10,0.01
2005-05-31,119.12,119.8,118.7,119.83,1.1125,10,0.01
2005-06-01,119.9,122.75,119.86,122.59,1.187,10,0.01
2005-06-02,122.37,123.3,121.95,121.9,1.182,10,0.01
2005-06-03,121.82,123.45,121.7,123.34,1.207,10,0.01
2005-06-06,123.43,123.77,122.65,123.24,1.203,10,0.01
2005-06-07,123.2,123.4,122.36,122.58,1.2225,10,0.01
2005-06-08,122.42,123.75,121.5,121.54,1.2895,10,0.01
2005-06-09,121.49,123.2,121.17,123.17,1.322,10,0.01
2005-06-10,123.23,123.45,122.2,122.3,1.3095,10,0.01
2005-06-13,122.05,124.6,121.9,124.46,1.3955,10,0.01
2005-06-14,124.35,124.6,123.5,123.59,1.3905,10,0.01
2005-06-15,123.6,125,123.57,123.88,1.4195,10,0.01
2005-06-16,123.9,125.05,123.58,124.84,1.4205,10,0.01
2005-06-17,124.68,126.7,124.65,126.53,1.474,10,0.01
2005-06-20,126.4,127.45,126.1,127.3,1.4995,10,0.01
2005-06-21,127.15,127.29,126.3,126.43,1.4865,10,0.01
2005-06-22,126.3,126.9,125.3,125.54,1.529,10,0.01
2005-06-23,125.62,127.4,125.57,126.85,1.5395,10,0.01
2005-06-24,126.85,127.37,126.65,127.29,1.538,10,0.01
2005-06-27,127.6,128.5,127.55,128.13,1.565,10,0.01
2005-06-28,128.05,128.06,125.6,125.91,1.6365,10,0.01
2005-06-29,125.93,126.02,124.55,125.03,1.564,10,0.01
2005-06-30,124.95,125.7,123.8,124.44,1.5915,10,0.01
2005-07-01,124.55,127.2,124.42,126.61,1.643,10,0.01
2005-07-05,126.9,128,126.71,127.54,1.6565,10,0.01
2005-07-06,127.6,129,127.6,128.93,1.6775,10,0.01
2005-07-07,128.88,129.69,125,128.48,1.7995,10,0.01
2005-07-08,128.45,129.6,127.3,127.44,1.813,10,0.01
2005-07-11,127.2,127.27,125.9,126.88,1.8275,10,0.01
2005-07-12,127.1,128.9,126.81,128.28,1.797,10,0.01
2005-07-13,128.2,128.84,127.3,127.65,1.819,10,0.01
2005-07-14,127.55,127.7,124.91,125.5,1.887,10,0.01
2005-07-15,125.6,126.6,125.01,125.93,1.893,10,0.01
2005-07-18,125.84,126.78,124.6,125.22,1.8995,10,0.01
2005-07-19,125.12,125.65,124.72,125.49,1.8785,10,0.01
2005-07-20,125.49,126.45,124.25,124.82,1.9385,10,0.01
2005-07-21,124.95,124.97,123.3,123.93,1.942,10,0.01
2005-07-22,124.07,125.5,123.93,125.45,1.9275,10,0.01
2005-07-25,125.55,125.95,124.45,125.8,1.9665,10,0.01
2005-07-26,125.9,126.68,125.3,126,1.975,10,0.01
2005-07-27,125.95,126.5,125.4,125.91,1.9035,10,0.01
2005-07-28,126.01,126.95,125.6,126.74,1.8975,10,0.01
2005-07-29,126.73,127.85,126.61,127.37,1.8645,10,0.01
2005-08-01,127.37,129.06,127.37,128.52,1.81,10,0.01
2005-08-02,128.41,128.71,127.84,128.72,1.784,10,0.01
2005-08-03,128.66,129.2,127.56,127.73,1.793,10,0.01
