time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,75.25,75.55,74.55,74.77,0.854,5,0.01
2005-01-04,74.5,75.25,74.06,75.14,0.876,5,0.01
2005-01-05,75.4,76.35,75.15,76.27,0.902,5,0.01
2005-01-06,76.4,76.84,76.16,76.46,0.9135,5,0.01
2005-01-07,76.2,77.63,76.05,77.21,0.91,5,0.01
2005-01-10,77.05,77.95,76.75,77.89,0.923,5,0.01
2005-01-11,77.45,77.65,76.51,76.85,0.9445,5,0.01
2005-01-12,77.05,77.35,76.54,77.24,0.9415,5,0.01
2005-01-13,76.95,77.1,76.27,76.93,0.954,5,0.01
2005-01-14,76.55,76.95,76.31,76.82,0.9435,5,0.01
2005-01-18,76.55,77.45,76.45,77.36,0.9635,5,0.01
2005-01-19,77.36,78.65,77.3,78.61,0.9985,5,0.01
2005-01-20,78.55,78.96,78.1,78.23,0.967,5,0.01
2005-01-21,77.85,78.05,76.8,77.62,1.014,5,0.01
2005-01-24,77.45,77.5,76.7,77.09,1.06,5,0.01
2005-01-25,77.05,77.45,76.4,77.43,1.0735,5,0.01
2005-01-26,77.47,78,77.25,77.43,1.045,5,0.01
2005-01-27,77.2,77.75,74.48,74.51,1.162,5,0.01
2005-01-28,74.75,74.9,73.05,74,1.157,5,0.01
2005-01-31,74.35,74.75,74,74.41,1.1945,5,0.01
2005-02-01,74.85,75,74.06,74.53,1.1915,5,0.01
2005-02-02,74.65,75.15,74.4,74.92,1.1695,5,0.01
2005-02-03,74.95,75.1,73.75,73.77,1.1765,5,0.01
2005-02-04,73.65,74.1,73.46,73.85,1.1745,5,0.01
2005-02-07,74.15,74.4,73.66,73.89,1.1325,5,0.01
2005-02-08,73.89,73.99,73.64,73.71,1.09,5,0.01
2005-02-09,73.64,74.39,73.59,73.87,1.061,5,0.01
2005-02-10,74.14,75.54,74.09,75.46,1.104,5,0.01
2005-02-11,75.69,75.79,75.39,75.78,1.0755,5,0.01
2005-02-14,76.09,76.34,75.64,76.06,1.0785,5,0.01
2005-02-15,76.39,77.19,76.19,76.5,1.085,5,0.01
2005-02-16,76.69,76.84,75.85,76.42,1.067,5,0.01
2005-02-17,76.39,76.56,76,76.25,1.052,5,0.01
2005-02-18,76.34,77.19,76.25,77.07,1.0275,5,0.01
2005-02-22,77.49,79.06,77.44,79.02,1.081,5,0.01
2005-02-23,78.89,79.19,78.34,78.48,1.071,5,0.01
2005-02-24,78.09,78.79,77.39,78.34,1.1035,5,0.01
2005-02-25,78.44,80.29,77.59,79.77,1.075,5,0.01
2005-02-28,80.29,80.94,80.14,80.86,1.041,5,0.01
2005-03-01,80.29,80.79,79.29,80.18,1.082,5,0.01
2005-03-02,79.99,81.24,79.34,79.78,1.13,5,0.01
2005-03-03,79.59,80.19,78.94,80.11,1.155,5,0.01
2005-03-04,80.49,80.84,79.94,80.82,1.1325,5,0.01
2005-03-07,80.89,81.09,79.99,80.03,1.1555,5,0.01
2005-03-08,80.39,81.29,80.14,81.11,1.1815,5,0.01
2005-03-09,81.26,81.99,80.84,81.59,1.2215,5,0.01
2005-03-10,81.89,82.79,81.24,82.24,1.259,5,0.01
2005-03-11,82.24,83.39,81.74,83.24,1.258,5,0.01
2005-03-14,82.74,82.79,81.39,82.7,1.3305,5,0.01
2005-03-15,82.99,83.29,82.09,83.22,1.3555,5,0.01
2005-03-16,83.19,83.79,82.59,83.37,1.359,5,0.01
2005-03-17,82.39,82.84,80.44,80.92,1.456,5,0.01
2005-03-18,81.04,81.34,80.19,80.53,1.4855,5,0.01
2005-03-21,79.89,79.89,78.69,79.71,1.5305,5,0.01
2005-03-22,79.89,81.29,79.84,80.97,1.51,5,0.01
2005-03-23,79.99,80.56,79.34,80.17,1.549,5,0.01
2005-03-24,79.69,81.99,79.59,81.18,1.599,5,0.01
2005-03-28,81.79,84.14,81.69,83.55,1.612,5,0.01
2005-03-29,83.59,84.19,82.79,83.17,1.6235,5,0.01
2005-03-30,82.94,83.17,82.44,82.97,1.5815,5,0.01
2005-03-31,83.69,83.69,82.24,82.62,1.559,5,0.01
2005-04-01,82.89,82.94,80.14,82.39,1.6365,5,0.01
2005-04-04,82.19,82.79,81.89,82.19,1.6365,5,0.01
2005-04-05,81.99,82.09,81.54,81.64,1.614,5,0.01
2005-04-06,81.19,81.59,80.84,81.47,1.591,5,0.01
2005-04-07,81.84,82.59,81.69,81.81,1.5895,5,0.01
2005-04-08,81.59,82.99,81.11,82.8,1.606,5,0.01
2005-04-11,83.19,83.29,82.24,82.86,1.576,5,0.01
2005-04-12,82.86,83.31,82.81,83.13,1.5085,5,0.01
2005-04-13,81.91,82.71,80.91,81.23,1.5595,5,0.01
2005-04-14,81.21,81.76,81.01,81.75,1.537,5,0.01
2005-04-15,81.76,82.13,81.41,81.55,1.4265,5,0.01
2005-04-18,81.41,83.14,81.21,82.25,1.4655,5,0.01
2005-04-19,83.01,84.01,82.76,83.28,1.4615,5,0.01
2005-04-20,83.11,83.81,81.66,83.26,1.49,5,0.01
2005-04-21,83.21,83.24,81.96,82.85,1.4735,5,0.01
2005-04-22,82.81,82.81,82.16,82.53,1.388,5,0.01
2005-04-25,82.66,85.53,82.66,85.42,1.39,5,0.01
2005-04-26,84.91,85.91,84.41,85.88,1.395,5,0.01
2005-04-27,85.91,86,84.67,84.82,1.425,5,0.01
2005-04-28,84.11,85.86,83.91,85.43,1.45,5,0.01
2005-04-29,84.91,85.71,84.91,85.46,1.35,5,0.01
2005-05-02,85.86,85.89,84.31,84.99,1.384,5,0.01
2005-05-03,84.21,84.71,82.32,82.48,1.485,5,0.01
2005-05-04,81.81,82.41,80.21,82.3,1.5585,5,0.01
2005-05-05,82.66,82.81,81.01,81.67,1.5925,5,0.01
2005-05-06,81.51,82.26,81.16,81.9,1.5535,5,0.01
2005-05-09,82.71,83.61,81.91,83.42,1.5865,5,0.01
2005-05-10,83.61,84.41,83.42,84.34,1.611,5,0.01
2005-05-11,84.21,85.31,83.76,85.21,1.5775,5,0.01
2005-05-12,84.11,84.56,83.21,83.49,1.64,5,0.01
2005-05-13,83.31,83.31,81.46,82.16,1.7055,5,0.01
2005-05-16,81.51,81.56,80.41,80.42,1.6965,5,0.01
