time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,1014.25,1022,1002.5,1007,,12.5,0.25
2005-01-04,1007,1010.25,987.5,991.75,,12.5,0.25
2005-01-05,991.5,995.75,983.5,984,,12.5,0.25
2005-01-06,984,994.5,983.5,989,,12.5,0.25
2005-01-07,989.25,995.25,984.25,987,,12.5,0.25
2005-01-10,987.75,997.5,986,992.5,,12.5,0.25
2005-01-11,992,993.5,982.5,984.75,,12.5,0.25
2005-01-12,986.75,990.5,977.5,988.25,,12.5,0.25
2005-01-13,988.5,991,977,978.75,,12.5,0.25
2005-01-14,979,987.5,977.5,984.5,,12.5,0.25
2005-01-17,985.75,987.75,985.5,986.75,,12.5,0.25
2005-01-18,987,998.5,981.25,996.5,,12.5,0.25
2005-01-19,996.75,998,984,984.25,,12.5,0.25
2005-01-20,982.25,983.75,974.75,977.25,,12.5,0.25
2005-01-21,978,981.5,968,969.25,,12.5,0.25
2005-01-24,970.75,975,965,967,,12.5,0.25
2005-01-25,967,976.25,966.75,970.5,,12.5,0.25
2005-01-26,970.5,977.5,970.25,974,,12.5,0.25
2005-01-27,973.75,978.75,971,975.5,,12.5,0.25
2005-01-28,976,978.25,967,975.5,,12.5,0.25
2005-01-31,977.5,983.75,977.5,982.5,11.4,12.5,0.25
2005-02-01,982.5,991.75,980.25,990,10.8375,12.5,0.25
2005-02-02,990.5,996.75,989.75,994,10.575,12.5,0.25
2005-02-03,993,994.25,986.5,990.25,10.4125,12.5,0.25
2005-02-04,990.5,1005.25,989,1002.75,10.675,12.5,0.25
2005-02-07,1003.5,1005.75,1000.25,1001.5,10.375,12.5,0.25
2005-02-08,1001.75,1007,1000.75,1003,10.1375,12.5,0.25
2005-02-09,1002.5,1005.25,992.5,993.75,10.125,12.5,0.25
2005-02-10,993.25,1000.25,992.5,997.25,9.8125,12.5,0.25
2005-02-11,997.5,1010.75,994.5,1007.75,10.125,12.5,0.25
2005-02-14,1008.5,1009.25,1004.75,1007,10.1875,12.5,0.25
2005-02-15,1007,1014.25,1006.25,1011.5,9.725,12.5,0.25
2005-02-16,1011.25,1014.25,1004.25,1011.25,9.525,12.5,0.25
2005-02-17,1011.5,1012.75,1001.5,1001.75,9.6125,12.5,0.25
2005-02-18,1002,1004.5,998.25,1003,9.25,12.5,0.25
2005-02-22,1002,1004,984.75,985.5,9.7125,12.5,0.25
2005-02-23,985.75,994.75,984.25,993.5,9.7625,12.5,0.25
2005-02-24,993.5,1002.25,988.75,1001.5,10.075,12.5,0.25
2005-02-25,1001.5,1014,1000.5,1012.75,10.3625,12.5,0.25
2005-02-28,1012.75,1015.5,999,1004.75,10.625,12.5,0.25
2005-03-01,1005.75,1014,1003.75,1010.75,10.725,12.5,0.25
2005-03-02,1011,1017.75,1004.75,1010.25,10.8,12.5,0.25
2005-03-03,1010.5,1017.5,1005.25,1010.75,11.0625,12.5,0.25
2005-03-04,1010.75,1026.5,1010,1025,11.5,12.5,0.25
2005-03-07,1026.5,1030.5,1024,1026,11.0125,12.5,0.25
2005-03-08,1026.5,1027.25,1019.25,1021.25,11.1375,12.5,0.25
2005-03-09,1021.5,1024.75,1007.25,1007.75,11.7,12.5,0.25
2005-03-10,1007.5,1012.5,1001.75,1010.25,11.6,12.5,0.25
2005-03-11,1011.5,1014.75,998.75,1001.75,12.0125,12.5,0.25
2005-03-14,1001.75,1008.5,999.75,1008,11.6375,12.5,0.25
2005-03-15,1008.25,1012.25,997.75,998.75,12.1375,12.5,0.25
2005-03-16,998.5,1002.25,985.5,988,12.575,12.5,0.25
2005-03-17,988.5,994,986.25,990,12.4625,12.5,0.25
2005-03-18,990.25,993,982.5,986.75,12.425,12.5,0.25
2005-03-21,987.5,989.5,978.5,982.25,12.6625,12.5,0.25
2005-03-22,982.25,989.75,968,970.25,12.7875,12.5,0.25
2005-03-23,969,976.25,964.75,970.5,12.8375,12.5,0.25
2005-03-24,970.75,980.25,970.5,971.5,12.65,12.5,0.25
2005-03-28,972,979.5,972,973.5,12.375,12.5,0.25
2005-03-29,973.75,979.25,962.75,966,12.375,12.5,0.25
2005-03-30,966,981.75,965,981.5,12.7,12.5,0.25
2005-03-31,981.5,984.25,978,980,12.3625,12.5,0.25
2005-04-01,979.75,989.5,968.5,973.75,12.8,12.5,0.25
2005-04-04,973.25,978,966.75,975.75,12.5375,12.5,0.25
2005-04-05,976,983,974.5,981.25,12.6375,12.5,0.25
2005-04-06,980.75,989,980,985.25,12.6875,12.5,0.25
2005-04-07,985.25,991.75,982.25,991.25,12.2875,12.5,0.25
