time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,1.3549,1.3582,1.3386,1.3465,0.011605,0.0001,0.0001
2005-01-04,1.3466,1.3495,1.325,1.3279,0.01226,0.0001,0.0001
2005-01-05,1.3278,1.3303,1.3214,1.3262,0.013095,0.0001,0.0001
2005-01-06,1.3261,1.3282,1.3155,1.3173,0.01233,0.0001,0.0001
2005-01-07,1.3174,1.325,1.3026,1.3054,0.012405,0.0001,0.0001
2005-01-10,1.3061,1.3124,1.3052,1.3074,0.01263,0.0001,0.0001
2005-01-11,1.3074,1.3172,1.3065,1.3107,0.012305,0.0001,0.0001
2005-01-12,1.3107,1.3293,1.3083,1.3255,0.01246,0.0001,0.0001
2005-01-13,1.3255,1.3267,1.3192,1.3224,0.012605,0.0001,0.0001
2005-01-14,1.3222,1.3224,1.3057,1.3112,0.011855,0.0001,0.0001
2005-01-17,1.3105,1.3128,1.3061,1.3067,0.01224,0.0001,0.0001
2005-01-18,1.3066,1.3076,1.2995,1.302,0.01202,0.0001,0.0001
2005-01-19,1.302,1.3119,1.2964,1.301,0.012145,0.0001,0.0001
2005-01-20,1.3013,1.3024,1.2922,1.2963,0.01261,0.0001,0.0001
2005-01-21,1.2963,1.3068,1.2933,1.3039,0.01244,0.0001,0.0001
2005-01-24,1.3041,1.31,1.3029,1.306,0.0128,0.0001,0.0001
2005-01-25,1.3061,1.3076,1.2944,1.2973,0.012535,0.0001,0.0001
2005-01-26,1.2975,1.3109,1.2967,1.3073,0.012915,0.0001,0.0001
2005-01-27,1.3074,1.3125,1.301,1.3046,0.01317,0.0001,0.0001
2005-01-28,1.3044,1.3081,1.2986,1.3038,0.01329,0.0001,0.0001
2005-01-31,1.3032,1.3059,1.2976,1.3039,0.013035,0.0001,0.0001
2005-02-01,1.3038,1.3067,1.3001,1.3047,0.01247,0.0001,0.0001
2005-02-02,1.3047,1.3094,1.301,1.3027,0.011575,0.0001,0.0001
2005-02-03,1.3027,1.3038,1.294,1.2975,0.01155,0.0001,0.0001
2005-02-04,1.2976,1.3045,1.2865,1.2869,0.011405,0.0001,0.0001
2005-02-07,1.286,1.2865,1.2732,1.2757,0.011185,0.0001,0.0001
2005-02-08,1.2758,1.2798,1.2733,1.2762,0.01151,0.0001,0.0001
2005-02-09,1.2762,1.2815,1.2739,1.2805,0.0113,0.0001,0.0001
2005-02-10,1.2805,1.2907,1.2739,1.2874,0.01063,0.0001,0.0001
2005-02-11,1.2874,1.2897,1.2846,1.2866,0.011095,0.0001,0.0001
2005-02-14,1.2881,1.299,1.2878,1.2976,0.010515,0.0001,0.0001
2005-02-15,1.2977,1.3053,1.2955,1.3027,0.0108,0.0001,0.0001
2005-02-16,1.3026,1.3065,1.2959,1.3029,0.010885,0.0001,0.0001
2005-02-17,1.3029,1.309,1.3015,1.3071,0.01064,0.0001,0.0001
2005-02-18,1.307,1.3083,1.3013,1.3072,0.010505,0.0001,0.0001
2005-02-21,1.3045,1.308,1.3032,1.3069,0.01018,0.0001,0.0001
2005-02-22,1.3068,1.3262,1.3055,1.3259,0.010065,0.0001,0.0001
2005-02-23,1.326,1.3274,1.3185,1.3216,0.01044,0.0001,0.0001
2005-02-24,1.3216,1.327,1.3176,1.3198,0.010175,0.0001,0.0001
2005-02-25,1.32,1.3249,1.3146,1.3245,0.01007,0.0001,0.0001
2005-02-28,1.3244,1.328,1.3221,1.3228,0.01011,0.0001,0.0001
2005-03-01,1.3228,1.3233,1.3168,1.3188,0.00999,0.0001,0.0001
2005-03-02,1.3188,1.3189,1.3088,1.3142,0.009985,0.0001,0.0001
2005-03-03,1.3143,1.3165,1.3097,1.311,0.01007,0.0001,0.0001
2005-03-04,1.311,1.3255,1.3085,1.3237,0.00992,0.0001,0.0001
2005-03-07,1.3238,1.3248,1.3178,1.3214,0.00987,0.0001,0.0001
2005-03-08,1.3215,1.3363,1.3208,1.3344,0.009535,0.0001,0.0001
2005-03-09,1.3345,1.3423,1.3331,1.3392,0.009985,0.0001,0.0001
2005-03-10,1.3392,1.3456,1.3371,1.3418,0.010065,0.0001,0.0001
2005-03-11,1.3418,1.3482,1.339,1.3458,0.00965,0.0001,0.0001
2005-03-14,1.3462,1.3478,1.3335,1.3369,0.009855,0.0001,0.0001
2005-03-15,1.337,1.3412,1.3296,1.3307,0.00995,0.0001,0.0001
2005-03-16,1.3307,1.344,1.3292,1.3417,0.01004,0.0001,0.0001
2005-03-17,1.3416,1.3422,1.3343,1.3377,0.01025,0.0001,0.0001
2005-03-18,1.3377,1.3386,1.3264,1.3326,0.01027,0.0001,0.0001
2005-03-21,1.3316,1.3318,1.3141,1.3157,0.01053,0.0001,0.0001
2005-03-22,1.3158,1.322,1.3055,1.3087,0.011215,0.0001,0.0001
2005-03-23,1.3087,1.3088,1.296,1.2986,0.011005,0.0001,0.0001
2005-03-24,1.2987,1.3033,1.2934,1.2939,0.0112,0.0001,0.0001
2005-03-25,1.294,1.2971,1.2929,1.2959,0.011225,0.0001,0.0001
2005-03-28,1.2963,1.2964,1.2857,1.2898,0.01092,0.0001,0.0001
2005-03-29,1.2896,1.2957,1.2877,1.2922,0.01116,0.0001,0.0001
2005-03-30,1.2922,1.2985,1.2912,1.2915,0.011235,0.0001,0.0001
2005-03-31,1.2916,1.3019,1.2912,1.2964,0.011095,0.0001,0.0001
2005-04-01,1.2963,1.306,1.287,1.2914,0.01129,0.0001,0.0001
2005-04-04,1.2893,1.2905,1.2818,1.2847,0.01139,0.0001,0.0001
2005-04-05,1.2847,1.2878,1.28,1.2869,0.01152,0.0001,0.0001
2005-04-06,1.2869,1.2911,1.284,1.2871,0.011135,0.0001,0.0001
2005-04-07,1.2872,1.2941,1.2846,1.2857,0.01103,0.0001,0.0001
2005-04-08,1.2856,1.2934,1.2808,1.2932,0.01108,0.0001,0.0001
2005-04-11,1.2932,1.3004,1.2908,1.2972,0.01125,0.0001,0.0001
2005-04-12,1.2973,1.3017,1.2863,1.2922,0.011015,0.0001,0.0001
2005-04-13,1.2923,1.2955,1.285,1.2915,0.011205,0.0001,0.0001
2005-04-14,1.2917,1.2922,1.2766,1.2812,0.01099,0.0001,0.0001
2005-04-15,1.281,1.2941,1.2779,1.2924,0.011375,0.0001,0.0001
2005-04-18,1.2913,1.3045,1.2876,1.3025,0.011575,0.0001,0.0001
2005-04-19,1.3024,1.3078,1.2982,1.3064,0.011495,0.0001,0.0001
2005-04-20,1.3064,1.3104,1.2991,1.3087,0.01115,0.0001,0.0001
2005-04-21,1.3087,1.3125,1.3025,1.3047,0.011075,0.0001,0.0001
2005-04-22,1.3047,1.3094,1.3021,1.3065,0.01108,0.0001,0.0001
2005-04-25,1.307,1.307,1.2954,1.3007,0.011235,0.0001,0.0001
2005-04-26,1.3008,1.3015,1.2945,1.2985,0.01128,0.0001,0.0001
2005-04-27,1.2985,1.2994,1.2905,1.293,0.01123,0.0001,0.0001
2005-04-28,1.2931,1.2943,1.2882,1.2893,0.01131,0.0001,0.0001
2005-04-29,1.2893,1.298,1.2854,1.2873,0.01108,0.0001,0.0001
2005-05-02,1.2862,1.2875,1.2837,1.2864,0.01076,0.0001,0.0001
2005-05-03,1.2864,1.2916,1.283,1.2873,0.01047,0.0001,0.0001
2005-05-04,1.2872,1.2974,1.2868,1.2948,0.01051,0.0001,0.0001
2005-05-05,1.2947,1.299,1.2926,1.2958,0.010685,0.0001,0.0001
2005-05-06,1.2958,1.2964,1.281,1.2819,0.01053,0.0001,0.0001
2005-05-09,1.2819,1.2848,1.279,1.2842,0.01067,0.0001,0.0001
2005-05-10,1.2843,1.2891,1.2816,1.288,0.01048,0.0001,0.0001
2005-05-11,1.2881,1.2914,1.2777,1.2815,0.010085,0.0001,0.0001
2005-05-12,1.2816,1.2816,1.2685,1.2696,0.010245,0.0001,0.0001
2005-05-13,1.2695,1.2696,1.261,1.2633,0.01012,0.0001,0.0001
2005-05-16,1.2628,1.265,1.2582,1.2642,0.00974,0.0001,0.0001
2005-05-17,1.2642,1.2663,1.2595,1.2607,0.009235,0.0001,0.0001
2005-05-18,1.2607,1.269,1.2586,1.2679,0.009095,0.0001,0.0001
2005-05-19,1.2681,1.2691,1.2603,1.2644,0.00905,0.0001,0.0001
2005-05-20,1.2644,1.2655,1.2536,1.2559,0.00899,0.0001,0.0001
2005-05-23,1.2549,1.2598,1.2535,1.2578,0.00922,0.0001,0.0001
2005-05-24,1.2578,1.2629,1.2557,1.2585,0.008955,0.0001,0.0001
2005-05-25,1.2584,1.2619,1.2552,1.2601,0.008965,0.0001,0.0001
2005-05-26,1.2602,1.2614,1.2495,1.2512,0.008855,0.0001,0.0001
2005-05-27,1.2513,1.2589,1.2508,1.2586,0.009145,0.0001,0.0001
2005-05-30,1.2526,1.2546,1.2465,1.2476,0.00892,0.0001,0.0001
2005-05-31,1.2477,1.2487,1.2296,1.2304,0.009335,0.0001,0.0001
2005-06-01,1.2303,1.2341,1.216,1.218,0.00986,0.0001,0.0001
2005-06-02,1.2178,1.2298,1.2178,1.2267,0.010235,0.0001,0.0001
2005-06-03,1.2266,1.2345,1.2204,1.2236,0.010515,0.0001,0.0001
2005-06-06,1.2229,1.2295,1.222,1.2259,0.01045,0.0001,0.0001
2005-06-07,1.226,1.2315,1.2239,1.2285,0.010535,0.0001,0.0001
2005-06-08,1.2285,1.2355,1.2207,1.2234,0.01054,0.0001,0.0001
2005-06-09,1.2232,1.2257,1.2176,1.223,0.010595,0.0001,0.0001
2005-06-10,1.223,1.225,1.2107,1.2119,0.010345,0.0001,0.0001
