time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2005-01-03,5251,5297.5,5239.5,5274,41.25,12.5,0.5,1.3465
2005-01-04,5274.5,5294,5262,5262,40.25,12.5,0.5,1.3279
2005-01-05,5246,5266.5,5228,5261,40.6,12.5,0.5,1.3262
2005-01-06,5244,5292.5,5242.5,5290,41,12.5,0.5,1.3173
2005-01-07,5275,5312.5,5268,5301.5,40.85,12.5,0.5,1.3054
2005-01-10,5296,5310,5274.5,5299,38.375,12.5,0.5,1.3074
2005-01-11,5290,5300.5,5212,5227,41.15,12.5,0.5,1.3107
2005-01-12,5240.5,5243.5,5175.5,5191,42.125,12.5,0.5,1.3255
2005-01-13,5214.5,5218,5183.5,5198,42.55,12.5,0.5,1.3224
2005-01-14,5170.5,5219.5,5167.5,5204.5,43.3,12.5,0.5,1.3112
2005-01-17,5216.5,5236.5,5215,5224,43.65,12.5,0.5,1.3067
2005-01-18,5219,5246,5188,5240,42.3,12.5,0.5,1.302
2005-01-19,5244,5251.5,5218.5,5225,40.575,12.5,0.5,1.301
2005-01-20,5193,5209.5,5169.5,5177,41.575,12.5,0.5,1.2963
2005-01-21,5183,5203.5,5161.5,5175,42.325,12.5,0.5,1.3039
2005-01-24,5170,5189,5139.5,5176.5,43.55,12.5,0.5,1.306
2005-01-25,5173.5,5223,5169.5,5212,44.7,12.5,0.5,1.2973
2005-01-26,5219,5226,5183.5,5197.5,45.825,12.5,0.5,1.3073
2005-01-27,5201.5,5208.5,5164,5195,46.175,12.5,0.5,1.3046
2005-01-28,5207,5213,5166.5,5177,47.95,12.5,0.5,1.3038
2005-01-31,5211,5242.5,5206,5238,48.3,12.5,0.5,1.3039
2005-02-01,5233.5,5266,5227,5261,48.65,12.5,0.5,1.3047
2005-02-02,5266,5278.5,5257.5,5269,47.775,12.5,0.5,1.3027
2005-02-03,5276,5280.5,5250.5,5265,46.775,12.5,0.5,1.2975
2005-02-04,5274.5,5326,5271.5,5326,47.6,12.5,0.5,1.2869
2005-02-07,5326,5352,5326,5339,47.125,12.5,0.5,1.2757
2005-02-08,5345,5354,5333,5349.5,43.75,12.5,0.5,1.2762
2005-02-09,5350,5364,5321.5,5338,42.475,12.5,0.5,1.2805
2005-02-10,5342,5345.5,5314,5336,42.325,12.5,0.5,1.2874
2005-02-11,5332,5373,5332,5369.5,41.775,12.5,0.5,1.2866
2005-02-14,5370,5374.5,5348,5357,41.5,12.5,0.5,1.2976
2005-02-15,5359.5,5384.5,5352,5361.5,40.225,12.5,0.5,1.3027
2005-02-16,5369,5369,5322.5,5338.5,40.9,12.5,0.5,1.3029
2005-02-17,5345,5362.5,5333.5,5344.5,39.575,12.5,0.5,1.3071
2005-02-18,5337,5361.5,5320,5334,39.55,12.5,0.5,1.3072
2005-02-21,5339,5348,5315,5336,38.725,12.5,0.5,1.3069
2005-02-22,5321.5,5324,5274,5274,39.15,12.5,0.5,1.3259
2005-02-23,5259,5286,5248,5271,38.925,12.5,0.5,1.3216
2005-02-24,5277.5,5284,5260,5280.5,37.9,12.5,0.5,1.3198
2005-02-25,5302,5334.5,5300,5329,38.275,12.5,0.5,1.3245
2005-02-28,5332,5348,5294.5,5297,37.675,12.5,0.5,1.3228
2005-03-01,5315,5360,5306,5356.5,38.875,12.5,0.5,1.3188
2005-03-02,5345,5369,5335,5347.5,39.525,12.5,0.5,1.3142
2005-03-03,5345,5371,5322,5346.5,40.475,12.5,0.5,1.311
2005-03-04,5352,5399.5,5343,5399.5,40.25,12.5,0.5,1.3237
2005-03-07,5395,5405.5,5387.5,5396.5,39.85,12.5,0.5,1.3214
2005-03-08,5387.5,5394,5357.5,5364,40.75,12.5,0.5,1.3344
2005-03-09,5369,5398.5,5315.5,5326,42.775,12.5,0.5,1.3392
2005-03-10,5316,5335,5298.5,5331,43.025,12.5,0.5,1.3418
2005-03-11,5332,5349,5314,5318,42.725,12.5,0.5,1.3458
2005-03-14,5319.5,5341.5,5307.5,5332.5,43.1,12.5,0.5,1.3369
2005-03-15,5339.5,5361,5334,5341,42.9,12.5,0.5,1.3307
2005-03-16,5341,5353,5267.5,5279,44.85,12.5,0.5,1.3417
2005-03-17,5274,5290.5,5263.5,5273.5,44.75,12.5,0.5,1.3377
2005-03-18,5282,5305.5,5268.5,5277.5,44.525,12.5,0.5,1.3326
2005-03-21,5283,5305,5259.5,5276.5,45.15,12.5,0.5,1.3157
2005-03-22,5265.5,5300,5246.5,5300,44.725,12.5,0.5,1.3087
2005-03-23,5241,5296.5,5236.5,5295.5,46,12.5,0.5,1.2986
2005-03-24,5287.5,5326,5280.5,5319,47.075,12.5,0.5,1.2939
2005-03-29,5291.5,5323.5,5272,5310,46.95,12.5,0.5,1.2922
2005-03-30,5287.5,5335.5,5284.5,5333.5,46.825,12.5,0.5,1.2915
2005-03-31,5331.5,5340.5,5299,5306,45.75,12.5,0.5,1.2964
2005-04-01,5312.5,5358.5,5309,5309,46.675,12.5,0.5,1.2914
2005-04-04,5310.5,5322,5286,5313,46.025,12.5,0.5,1.2847
2005-04-05,5328.5,5331.5,5315.5,5331.5,44.125,12.5,0.5,1.2869
2005-04-06,5328.5,5344,5323,5334.5,44.275,12.5,0.5,1.2871
2005-04-07,5329,5367.5,5316.5,5353.5,44.875,12.5,0.5,1.2857
2005-04-08,5370.5,5374.5,5354,5359.5,41.775,12.5,0.5,1.2932
2005-04-11,5345.5,5370.5,5340.5,5363.5,41.45,12.5,0.5,1.2972
2005-04-12,5357,5362,5326.5,5328.5,41.55,12.5,0.5,1.2922
2005-04-13,5365.5,5373,5353.5,5358,42.075,12.5,0.5,1.2915
2005-04-14,5344.5,5384.5,5336.5,5348,43.05,12.5,0.5,1.2812
2005-04-15,5310,5316.5,5241.5,5242,44.1,12.5,0.5,1.2924
2005-04-18,5168,5191,5142,5161.5,47.75,12.5,0.5,1.3025
2005-04-19,5175.5,5183,5144.5,5160,47.825,12.5,0.5,1.3064
2005-04-20,5177.5,5181,5097.5,5103.5,49.725,12.5,0.5,1.3087
2005-04-21,5122,5177.5,5119,5175.5,50.75,12.5,0.5,1.3047
2005-04-22,5171.5,5192,5157,5170.5,49.325,12.5,0.5,1.3065
2005-04-25,5166,5208,5160.5,5198.5,49.425,12.5,0.5,1.3007
