time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-04,560.25,577.75,557.75,571.25,16.25,25,0.25
2005-01-05,572.75,573.25,559.75,565.25,16.125,25,0.25
2005-01-06,561.75,584.75,559.25,582.25,16.875,25,0.25
2005-01-07,580.75,588.25,575.5,581,16.7875,25,0.25
2005-01-10,581,597,580,594.25,16.65,25,0.25
2005-01-11,582.25,585,577.5,582.75,16.7875,25,0.25
2005-01-12,580.75,585.25,573,575.5,16.1125,25,0.25
2005-01-13,583.75,599,583.25,596.25,16.475,25,0.25
2005-01-14,596,600,592.5,597.25,16.325,25,0.25
2005-01-17,596,600,593.25,599.25,15.3375,25,0.25
2005-01-18,606.75,610.5,593.75,595,15.625,25,0.25
2005-01-19,598,599.25,593.5,594.75,14.6625,25,0.25
2005-01-20,593,598,587.5,590.25,14.325,25,0.25
2005-01-21,596,608.5,596,605,14.875,25,0.25
2005-01-24,612,614,601.75,607.5,14.3875,25,0.25
2005-01-25,610,619,607.25,614,14.7375,25,0.25
2005-01-26,616.5,621.5,614.75,615.5,14.4625,25,0.25
2005-01-27,615,621.25,615,618.75,13.15,25,0.25
2005-01-28,615.75,615.75,597,597.75,13.6625,25,0.25
2005-01-31,593.25,602,584.5,597.25,14.1875,25,0.25
2005-02-01,603.5,605,599,602.5,13.575,25,0.25
2005-02-02,594.5,603.5,594,597.5,13.375,25,0.25
2005-02-03,594.5,594.5,587.5,592,12.6,25,0.25
2005-02-04,594,597,591.75,592.25,12.225,25,0.25
2005-02-07,589,589.5,580.5,584,11.9625,25,0.25
2005-02-08,583,585.75,575,580.75,11.6625,25,0.25
2005-02-09,579,595,575,589.75,12.05,25,0.25
2005-02-10,589.75,603.5,588,599.25,11.65,25,0.25
2005-02-11,603,604.5,596,596.5,11.7,25,0.25
2005-02-14,594.5,604.5,590.5,592.5,12.0625,25,0.25
2005-02-15,596.5,602.5,596.5,601.75,11.725,25,0.25
2005-02-16,601,612,598.5,601.25,12.1125,25,0.25
2005-02-17,610,615,607,611.75,12.275,25,0.25
2005-02-18,609.25,618.5,607.25,613.25,11.925,25,0.25
2005-02-21,618,629,618,628.25,12.1,25,0.25
2005-02-22,627.25,647.5,624,646,12.6875,25,0.25
2005-02-23,648,654,640,647,13.0125,25,0.25
2005-02-24,654,663,648.5,659.5,13.5,25,0.25
2005-02-25,660,660,651.25,656,12.85,25,0.25
2005-02-28,658,668.25,658,664.5,12.5875,25,0.25
2005-03-01,666.25,676.75,659.75,673.5,13.05,25,0.25
2005-03-02,674.5,690,674.5,685.5,13.4,25,0.25
2005-03-03,690.5,697.5,682.75,695.25,13.6375,25,0.25
2005-03-04,688,688,672,678.25,14.5375,25,0.25
2005-03-07,678.25,678.25,672.25,676.25,14.25,25,0.25
2005-03-08,677.5,695.5,675,694,14.7375,25,0.25
2005-03-09,692.25,704.5,690,702,14.4625,25,0.25
2005-03-10,694.25,694.5,685.25,692.25,14.525,25,0.25
2005-03-11,686.5,696.5,681.25,692.5,14.8625,25,0.25
2005-03-14,692.5,695.25,683.75,689.5,14.7375,25,0.25
2005-03-15,689.5,701.5,689.5,698.5,14.8375,25,0.25
2005-03-16,694,713,693.25,713,15.15,25,0.25
2005-03-17,713.75,720.25,710,715,14.975,25,0.25
2005-03-18,710.5,716,709.5,710.25,14.7375,25,0.25
2005-03-21,711,716.75,710.5,712,14.275,25,0.25
2005-03-22,712.25,716,712,715.25,13.3,25,0.25
2005-03-23,705.75,708.5,698,700.75,13.4625,25,0.25
2005-03-24,711.5,713.5,702.5,705,13.3,25,0.25
2005-03-29,699.5,704.5,699.5,703,13.1375,25,0.25
2005-03-30,706.75,708,699.5,703.5,12.95,25,0.25
2005-03-31,716.5,737.5,715,733.25,13.8,25,0.25
2005-04-01,738.5,748,734.5,741,13.7125,25,0.25
2005-04-04,746.75,763.5,746.75,752.25,14.1,25,0.25
2005-04-05,745.5,751,740.75,747,13.5125,25,0.25
2005-04-06,740.5,744.5,735.25,740.5,13.8,25,0.25
2005-04-07,735.5,743,721.5,730.25,13.85,25,0.25
2005-04-08,718.5,720.5,696.75,706.25,14.8,25,0.25
2005-04-11,704.5,708.5,697,700.25,14.5375,25,0.25
2005-04-12,703,712.5,700.5,703.5,14.3875,25,0.25
2005-04-13,694.5,698.5,689.5,693,14.5125,25,0.25
2005-04-14,695.5,704.5,691.5,700,14.5625,25,0.25
2005-04-15,702.5,703.5,692.5,693.75,14.125,25,0.25
2005-04-18,691.5,695.5,682.75,687,14.25,25,0.25
2005-04-19,687.75,703.5,686.5,699.25,14.775,25,0.25
2005-04-20,703.5,714,701.75,706.25,15.1875,25,0.25
2005-04-21,706.75,715.5,704,708.5,15.5625,25,0.25
2005-04-22,719.25,723.5,712,718.25,15.45,25,0.25
2005-04-25,718.25,722.5,711.5,716.5,15.3625,25,0.25
2005-04-26,711.75,711.75,700.5,701,15.8875,25,0.25
2005-04-27,706.5,708,695.5,699,16.0875,25,0.25
2005-04-28,695,701.5,679.75,691.25,15.475,25,0.25
2005-04-29,697,706.75,679.5,693,16.1,25,0.25
2005-05-03,692.5,692.5,682,686,15.525,25,0.25
2005-05-04,680.5,691.25,676,689.5,15.7125,25,0.25
2005-05-05,690.5,696,676.5,680,16.1,25,0.25
2005-05-06,685.5,687,677,682.5,15.525,25,0.25
2005-05-09,682.5,682.5,671.5,672.75,14.4,25,0.25
2005-05-10,672.75,684.25,669.5,677,14.5625,25,0.25
2005-05-11,669.75,672.5,660.25,664.75,14.7875,25,0.25
2005-05-12,656,658,648.75,650.5,14.8875,25,0.25
2005-05-13,649,666.25,642.75,643.25,15.4125,25,0.25
2005-05-16,644,645,637.25,638.5,15.25,25,0.25
2005-05-17,643,646.75,640.25,643,15.025,25,0.25
2005-05-18,645.75,651.75,642,643.5,14.6625,25,0.25
2005-05-19,640.75,659.25,640.75,649.5,14.85,25,0.25
2005-05-20,655.25,656.75,647.5,652.25,14.7375,25,0.25
2005-05-23,646.75,651.5,639.5,650.25,14.625,25,0.25
2005-05-24,649,653.5,644.75,650.5,14.5125,25,0.25
2005-05-25,652.75,667.75,663.25,664,14.575,25,0.25
2005-05-26,665.75,671.75,661.5,669.75,14.4625,25,0.25
2005-05-27,668.75,669,664.25,667.75,13.65,25,0.25
2005-05-31,666.25,668.25,658.75,666.5,12.7625,25,0.25
2005-06-01,669.5,697,669.5,686.5,13.7375,25,0.25
2005-06-02,695.25,710,691,700,14.15,25,0.25
2005-06-03,696.25,711.5,696.25,702.5,13.9375,25,0.25
2005-06-06,712.75,721.25,709.25,717.75,14.375,25,0.25
2005-06-07,718.25,721.75,712.25,716.5,14.3,25,0.25
2005-06-08,713.75,726.5,699.75,712.75,14.9,25,0.25
2005-06-09,704.25,727.75,698.75,718.75,15.5125,25,0.25
2005-06-10,725,733.25,719.75,722.25,15.4375,25,0.25
2005-06-13,719.75,741.75,715,727.25,15.6,25,0.25
2005-06-14,739.25,740.25,727.75,737,15.8625,25,0.25
2005-06-15,733.25,740.25,726.25,732.75,16.15,25,0.25
2005-06-16,726.75,729,719.25,721.5,16.3375,25,0.25
2005-06-17,728.75,736.75,727.75,732,16.175,25,0.25
2005-06-20,740,740.75,730.75,734.25,16.2125,25,0.25
2005-06-21,734.25,740.5,728.75,731.75,16.1625,25,0.25
2005-06-22,728.25,735.75,720,722,16.5125,25,0.25
2005-06-23,723.25,740.75,723.25,733.75,16.5875,25,0.25
2005-06-24,737.75,743,731,731.75,16.675,25,0.25
2005-06-27,737.75,745.25,737.75,741.5,17.075,25,0.25
2005-06-28,740.75,742,724,737.5,17.5,25,0.25
2005-06-29,728.5,729.5,716.75,720.75,17.0125,25,0.25
2005-06-30,722.75,738,721.75,733,16.7,25,0.25
2005-07-01,728.75,754.25,728.75,748.25,17.2125,25,0.25
2005-07-04,749.75,755.75,748.25,752.25,16.65,25,0.25
2005-07-05,752.25,762,750.25,759.5,16.7625,25,0.25
2005-07-06,760.25,772.5,759.25,767,16.0875,25,0.25
2005-07-07,773.25,778.25,731.25,754.5,16.9875,25,0.25
2005-07-08,763.75,773.5,749.25,758.75,17.475,25,0.25
2005-07-11,738.75,745.25,735,736.25,17.325,25,0.25
2005-07-12,739.75,763.25,735.75,761.5,18.05,25,0.25
2005-07-13,764.5,767,746,747,18.4,25,0.25
2005-07-14,742.75,752.25,725.25,726.75,19.075,25,0.25
2005-07-15,738.25,741.25,723.25,733.5,19.2125,25,0.25
2005-07-18,735.75,740.5,719,723.5,19.7875,25,0.25
2005-07-19,722.5,727.75,719.75,722.5,19.6,25,0.25
2005-07-20,726.25,734.25,718,720.25,19.625,25,0.25
2005-07-21,717.5,721.5,707.25,710.5,19.4,25,0.25
2005-07-22,713.5,722.25,710.25,718.5,19.4,25,0.25
2005-07-25,718.25,722.25,712.75,719.5,19.2,25,0.25
