time,open,high ,low ,close,Average True Range,Tick value,Tick size
2005-01-03,1.9192,1.9202,1.8983,1.9044,0.018665,0.0001,0.0001
2005-01-04,1.9042,1.9084,1.8782,1.8825,0.019445,0.0001,0.0001
2005-01-05,1.8824,1.8898,1.8731,1.8829,0.02022,0.0001,0.0001
2005-01-06,1.8825,1.8857,1.8697,1.8754,0.019635,0.0001,0.0001
2005-01-07,1.8756,1.8864,1.8648,1.8712,0.01919,0.0001,0.0001
2005-01-10,1.8709,1.8793,1.8694,1.8753,0.01903,0.0001,0.0001
2005-01-11,1.8752,1.8822,1.8751,1.8782,0.018575,0.0001,0.0001
2005-01-12,1.8782,1.8938,1.8697,1.8909,0.018455,0.0001,0.0001
2005-01-13,1.8907,1.8929,1.8795,1.8825,0.01826,0.0001,0.0001
2005-01-14,1.8825,1.8828,1.8639,1.8705,0.017485,0.0001,0.0001
2005-01-17,1.87,1.8749,1.8586,1.8596,0.0176,0.0001,0.0001
2005-01-18,1.8595,1.8739,1.8527,1.8665,0.017705,0.0001,0.0001
2005-01-19,1.8666,1.8826,1.8629,1.8711,0.01756,0.0001,0.0001
2005-01-20,1.8712,1.8752,1.8638,1.872,0.01754,0.0001,0.0001
2005-01-21,1.8721,1.8808,1.8614,1.8771,0.01757,0.0001,0.0001
2005-01-24,1.8785,1.8837,1.8741,1.8808,0.017885,0.0001,0.0001
2005-01-25,1.8809,1.881,1.8627,1.8642,0.017445,0.0001,0.0001
2005-01-26,1.8643,1.8855,1.8635,1.8822,0.01761,0.0001,0.0001
2005-01-27,1.8822,1.8902,1.8795,1.8896,0.01762,0.0001,0.0001
2005-01-28,1.8897,1.8931,1.8787,1.8881,0.017475,0.0001,0.0001
2005-01-31,1.8872,1.8883,1.8789,1.8829,0.01714,0.0001,0.0001
2005-02-01,1.8829,1.8865,1.8777,1.884,0.016515,0.0001,0.0001
2005-02-02,1.8841,1.8888,1.8825,1.8859,0.015445,0.0001,0.0001
2005-02-03,1.8862,1.8916,1.877,1.8822,0.014925,0.0001,0.0001
2005-02-04,1.8821,1.8924,1.8731,1.8758,0.014855,0.0001,0.0001
2005-02-07,1.8739,1.8753,1.8548,1.8575,0.01474,0.0001,0.0001
2005-02-08,1.8572,1.8596,1.8512,1.8548,0.015295,0.0001,0.0001
2005-02-09,1.8549,1.8645,1.8524,1.8583,0.01536,0.0001,0.0001
2005-02-10,1.8583,1.8731,1.851,1.8687,0.01476,0.0001,0.0001
2005-02-11,1.8687,1.8709,1.8627,1.8686,0.015195,0.0001,0.0001
2005-02-14,1.8691,1.8918,1.8672,1.8867,0.01466,0.0001,0.0001
2005-02-15,1.8871,1.8977,1.8833,1.8972,0.015075,0.0001,0.0001
2005-02-16,1.8972,1.8972,1.8755,1.8854,0.014735,0.0001,0.0001
2005-02-17,1.8853,1.896,1.8836,1.8953,0.014835,0.0001,0.0001
2005-02-18,1.8953,1.8973,1.8894,1.8943,0.014885,0.0001,0.0001
2005-02-21,1.8932,1.8999,1.891,1.8974,0.01431,0.0001,0.0001
2005-02-22,1.8973,1.9139,1.8953,1.9118,0.014275,0.0001,0.0001
2005-02-23,1.9118,1.9133,1.9043,1.9086,0.01429,0.0001,0.0001
2005-02-24,1.9103,1.9143,1.9015,1.9096,0.01364,0.0001,0.0001
2005-02-25,1.9097,1.9198,1.9065,1.9194,0.013745,0.0001,0.0001
2005-02-28,1.9181,1.9261,1.9164,1.9211,0.01369,0.0001,0.0001
2005-03-01,1.921,1.9229,1.9173,1.9213,0.013705,0.0001,0.0001
2005-03-02,1.9215,1.9218,1.9079,1.9139,0.013545,0.0001,0.0001
2005-03-03,1.9141,1.9142,1.9059,1.9068,0.013925,0.0001,0.0001
2005-03-04,1.9055,1.9273,1.9053,1.9227,0.01361,0.0001,0.0001
2005-03-07,1.9236,1.925,1.9116,1.9145,0.013745,0.0001,0.0001
2005-03-08,1.9145,1.9326,1.913,1.9292,0.013365,0.0001,0.0001
2005-03-09,1.9292,1.932,1.9201,1.9254,0.013925,0.0001,0.0001
