time,open,high,low,close,Average True Range,Tick value,Tick size
2004-12-01,826.4,830.7,825.4,828.9,,10,0.1
2004-12-02,829,831.7,821.7,825.3,,10,0.1
2004-12-03,825.4,831.3,823.1,830.3,,10,0.1
2004-12-06,830.4,831.3,825.7,828.9,,10,0.1
2004-12-07,828.6,829.9,826.2,826.7,,10,0.1
2004-12-08,826.6,826.7,808,811.7,,10,0.1
2004-12-09,812,816,807,810.2,,10,0.1
2004-12-10,811.3,812.7,805.9,808.3,,10,0.1
2004-12-13,809.2,814.6,808.7,813.3,,10,0.1
2004-12-14,813.3,814.3,809.5,810.3,,10,0.1
2004-12-15,810.3,816.2,809.7,815.2,,10,0.1
2004-12-16,815.3,817.4,810,811.2,,10,0.1
2004-12-17,811,816.6,810.2,815.9,,10,0.1
2004-12-20,816,818.6,815.3,816.6,,10,0.1
2004-12-21,816.7,817.8,814.7,815.9,,10,0.1
2004-12-22,816.1,817.2,813.1,814.4,,10,0.1
2004-12-23,814.6,817,813.8,815.9,,10,0.1
2004-12-27,816.4,819.7,816.4,819.2,,10,0.1
2004-12-28,819.2,819.6,817,818.3,,10,0.1
2004-12-29,817.8,818.7,807.4,810,,10,0.1
2004-12-30,810.2,812.8,807.7,811.4,6.495,10,0.1
2005-01-03,811.9,811.9,798.8,802.7,6.65,10,0.1
2005-01-04,803.4,804.3,797.8,802.2,6.565,10,0.1
2005-01-05,802,802.3,798.9,800.3,6.455,10,0.1
2005-01-06,800,801.3,794.1,794.6,6.63,10,0.1
2005-01-07,795,798.8,790.1,792.5,6.13,10,0.1
2005-01-10,792.9,795.3,792.5,792.7,5.82,10,0.1
2005-01-11,792.6,796.3,792.6,795.4,5.665,10,0.1
2005-01-12,796,801.3,794.1,799.6,5.71,10,0.1
2005-01-13,799.6,800.3,796.6,798.1,5.655,10,0.1
2005-01-14,798.2,799.1,793.7,796,5.6,10,0.1
2005-01-18,795,797.2,794.4,796.5,5.37,10,0.1
2005-01-19,796.5,800.2,795.6,796.3,5.28,10,0.1
2005-01-20,796.1,796.4,793.3,795.6,5.27,10,0.1
2005-01-21,795.6,801.5,794.3,799.9,5.475,10,0.1
2005-01-24,799.9,801.1,799.6,800.2,5.345,10,0.1
2005-01-25,800.3,801,793.6,795.2,5.555,10,0.1
2005-01-26,794.9,800.9,794.6,800,5.68,10,0.1
2005-01-27,799.9,801.1,796.9,799.3,5.76,10,0.1
2005-01-28,799.5,800.6,797,799,5.375,10,0.1
2005-01-31,799.2,799.3,792.4,795,5.465,10,0.1
2005-02-01,795.2,795.5,792.3,793.8,4.97,10,0.1
2005-02-02,793.6,795.6,792.8,793.9,4.785,10,0.1
2005-02-03,793.7,794.8,787.1,789.4,5,10,0.1
2005-02-04,789.5,790.4,786.4,786.8,4.84,10,0.1
2005-02-07,786.8,788.6,784.9,786.3,4.59,10,0.1
2005-02-08,786.6,786.7,782.9,785.2,4.64,10,0.1
2005-02-09,784.9,786.2,782.4,785.4,4.645,10,0.1
2005-02-10,785.3,791,784,789.6,4.635,10,0.1
2005-02-11,789.9,794.3,788.6,792.9,4.735,10,0.1
2005-02-14,792.9,798.6,792.9,798.2,4.75,10,0.1
2005-02-15,798.4,799.6,795.9,798.2,4.795,10,0.1
2005-02-16,798,798.3,794.3,797.8,4.765,10,0.1
2005-02-17,798,800.7,796.4,799.5,4.825,10,0.1
2005-02-18,799.3,800.3,797.9,799.3,4.585,10,0.1
2005-02-22,799.2,807.3,798.3,806.7,4.96,10,0.1
2005-02-23,806.8,808.3,803.9,807,4.81,10,0.1
2005-02-24,806.6,809.1,804.4,806.6,4.73,10,0.1
2005-02-25,806.4,807.8,803.4,807,4.74,10,0.1
2005-02-28,806.8,810.2,806.8,808.5,4.73,10,0.1
2005-03-01,808.5,808.7,802.9,804.8,4.675,10,0.1
2005-03-02,804.5,805.9,800.7,804.7,4.775,10,0.1
2005-03-03,804.7,805.5,801,801.7,4.86,10,0.1
2005-03-04,801.9,807.2,801.3,806,4.77,10,0.1
2005-03-07,806.5,807.5,804.2,806.7,4.735,10,0.1
2005-03-08,806.7,812.2,806.1,812,4.855,10,0.1
2005-03-09,811.8,814.4,810.8,813.8,4.845,10,0.1
2005-03-10,813.7,814.6,811.6,814.3,4.805,10,0.1
2005-03-11,814.4,818.9,812,817.7,4.8,10,0.1
2005-03-14,817.4,817.6,811.6,812.5,4.82,10,0.1
2005-03-15,812.6,815.8,811.2,812.3,4.765,10,0.1
2005-03-16,812.7,815.6,811.5,815.1,4.785,10,0.1
2005-03-17,815.3,815.4,808.6,810,4.925,10,0.1
2005-03-18,810.3,811.3,807,810.6,4.925,10,0.1
2005-03-21,810.6,810.6,799.4,801.7,5.365,10,0.1
2005-03-22,802.3,803.3,800.6,801.9,5.05,10,0.1
2005-03-23,802,802.2,794.7,795.6,5.205,10,0.1
2005-03-24,796.2,796.8,794.5,795.1,5.085,10,0.1
2005-03-28,795.8,796.7,793.7,796.3,5.015,10,0.1
2005-03-29,796.5,797.9,795.9,796.3,4.945,10,0.1
2005-03-30,796.5,798.4,795.7,797.2,4.79,10,0.1
2005-03-31,797.3,799.1,796.2,798.8,4.675,10,0.1
2005-04-01,798.8,798.9,794.8,796,4.655,10,0.1
2005-04-04,796.1,796.6,792.4,793.7,4.57,10,0.1
2005-04-05,793.3,795.5,792.5,794.3,4.555,10,0.1
2005-04-06,794.3,797.3,794,796.9,4.415,10,0.1
2005-04-07,797,798.2,795,796.1,4.395,10,0.1
2005-04-08,796.1,797.1,794.1,796.5,4.395,10,0.1
2005-04-11,797,799.4,795.9,798.1,4.225,10,0.1
2005-04-12,798.2,800.1,796,797,4.125,10,0.1
2005-04-13,797,799.2,796.5,798.7,4.03,10,0.1
2005-04-14,798.8,799,791.2,793.3,4.215,10,0.1
2005-04-15,792.9,795.5,791.8,794.2,4.06,10,0.1
2005-04-18,794.2,797.4,792.4,796.7,4.095,10,0.1
2005-04-19,796.6,802.9,795.8,802.1,3.89,10,0.1
2005-04-20,802.3,805.1,800.7,804.4,3.975,10,0.1
2005-04-21,804.3,804.5,801.3,802.1,3.76,10,0.1
2005-04-22,802.1,804.7,801.2,803.3,3.82,10,0.1
2005-04-25,803.3,804.3,801.7,803.5,3.8,10,0.1
2005-04-26,803.5,806.8,803.4,806.7,3.87,10,0.1
2005-04-27,806.4,806.5,800.9,801.8,4.025,10,0.1
2005-04-28,801.9,803,799.9,800.1,4.035,10,0.1
2005-04-29,800.3,805.7,799.6,803.8,4.135,10,0.1
2005-05-02,803.7,803.7,797.2,798.2,4.255,10,0.1
2005-05-03,798.5,799.1,795,795.4,4.31,10,0.1
2005-05-04,795.4,798.6,795.3,797.7,4.31,10,0.1
2005-05-05,797.8,800.2,796.5,798.4,4.335,10,0.1
2005-05-06,798.4,799.7,792.2,794.6,4.56,10,0.1
2005-05-09,794.6,795.1,793.1,794.6,4.485,10,0.1
2005-05-10,794.5,796.5,794.3,795.6,4.39,10,0.1
2005-05-11,795.7,797,793.7,795.6,4.42,10,0.1
2005-05-12,795.8,795.9,788.6,789.9,4.395,10,0.1
2005-05-13,790,790.7,787,788.4,4.395,10,0.1
2005-05-16,788.2,788.7,785.9,787,4.285,10,0.1
2005-05-17,787.2,789.2,786.9,787.5,4.045,10,0.1
2005-05-18,787.7,789.7,786.5,789.6,3.985,10,0.1
2005-05-19,789.5,791,787.2,788.5,4.015,10,0.1
2005-05-20,788.5,788.8,784.5,785.4,4.055,10,0.1
2005-05-23,785.4,786.9,785.1,785.3,4.015,10,0.1
2005-05-24,785.8,787.9,784.9,786.1,3.995,10,0.1
2005-05-25,786.3,787.5,785.4,787.4,3.81,10,0.1
2005-05-26,787.4,788.5,785.5,786.5,3.805,10,0.1
2005-05-27,786.5,788.8,785.9,788.3,3.645,10,0.1
2005-05-31,787.4,787.4,781.7,784.8,3.645,10,0.1
2005-06-01,784.6,785.8,782.6,783.6,3.6,10,0.1
2005-06-02,783.7,791.7,783.1,790.7,3.865,10,0.1
2005-06-03,790.5,792.9,789.7,791.7,3.84,10,0.1
2005-06-06,791.6,795.4,790.2,794.3,3.725,10,0.1
2005-06-07,794.1,795.5,792.1,792.6,3.795,10,0.1
2005-06-08,792.6,794.6,792.3,792.5,3.8,10,0.1
2005-06-09,792.1,793,788.9,792,3.84,10,0.1
2005-06-10,791.8,796.4,790,795.2,3.795,10,0.1
2005-06-13,795.2,798.5,792.2,797,3.925,10,0.1
2005-06-14,797,797,794.2,795.2,3.925,10,0.1
2005-06-15,794.9,797.7,793.9,796.8,4,10,0.1
2005-06-16,796.8,804.4,795.9,803.8,4.265,10,0.1
2005-06-17,803.6,807.2,803,805.9,4.285,10,0.1
2005-06-20,805.7,809.1,804.4,805.9,4.305,10,0.1
2005-06-21,806,806.8,801.8,806.4,4.465,10,0.1
2005-06-22,806.6,807,803.9,805.6,4.47,10,0.1
2005-06-23,805.7,810.1,803.4,809.1,4.7,10,0.1
2005-06-24,809,811.3,805.9,807.9,4.82,10,0.1
2005-06-27,807.6,807.9,806,807.6,4.77,10,0.1
2005-06-28,807.4,807.5,803.1,803.6,4.665,10,0.1
2005-06-29,803.5,805.5,801.2,804.5,4.72,10,0.1
2005-06-30,804.4,806.2,802.6,803,4.47,10,0.1
2005-07-01,802.4,804.1,793.9,794.7,4.82,10,0.1
2005-07-05,794.3,794.4,788.5,789.8,4.87,10,0.1
2005-07-06,790,791.8,789.9,790.4,4.8,10,0.1
2005-07-07,790.6,796,788.4,790.1,5.065,10,0.1
2005-07-08,790.3,791.7,788.2,789.7,5.035,10,0.1
2005-07-11,789.9,793.3,789.7,792.2,4.895,10,0.1
2005-07-12,792.1,794.4,791.4,793,4.73,10,0.1
2005-07-13,793,793.9,789.9,790.5,4.79,10,0.1
2005-07-14,790.6,791,785.1,786.1,4.895,10,0.1
2005-07-15,785.9,787.4,784.1,787.2,4.635,10,0.1
2005-07-18,787.4,788.7,786.3,786.9,4.545,10,0.1
