time,open,high,low,close,Average True Range,Tick value,Tick size
2005-02-15,95.32,95.345,95.305,95.32,,6.25,0.005
2005-02-16,95.315,95.355,95.24,95.255,,6.25,0.005
2005-02-17,95.255,95.29,95.235,95.28,,6.25,0.005
2005-02-18,95.285,95.29,95.21,95.22,,6.25,0.005
2005-02-21,95.215,95.22,95.2,95.205,,6.25,0.005
2005-02-22,95.205,95.23,95.2,95.21,,6.25,0.005
2005-02-23,95.215,95.255,95.175,95.2,,6.25,0.005
2005-02-24,95.2,95.22,95.155,95.165,,6.25,0.005
2005-02-25,95.16,95.175,95.135,95.15,,6.25,0.005
2005-02-28,95.15,95.16,95.085,95.1,,6.25,0.005
2005-03-01,95.085,95.13,95.085,95.1,,6.25,0.005
2005-03-02,95.105,95.14,95.09,95.125,,6.25,0.005
2005-03-03,95.12,95.155,95.11,95.115,,6.25,0.005
2005-03-04,95.12,95.17,95.06,95.135,,6.25,0.005
2005-03-07,95.13,95.155,95.105,95.115,,6.25,0.005
2005-03-08,95.11,95.12,95.075,95.105,,6.25,0.005
2005-03-09,95.095,95.11,95.055,95.07,,6.25,0.005
2005-03-10,95.065,95.085,95.025,95.065,,6.25,0.005
2005-03-11,95.05,95.06,95.015,95.025,,6.25,0.005
2005-03-14,95.015,95.02,94.995,95.005,,6.25,0.005
2005-03-15,95.01,95.035,94.985,94.995,0.0575,6.25,0.005
2005-03-16,94.99,95.05,94.97,95,0.05575,6.25,0.005
2005-03-17,95.005,95.065,95.005,95.035,0.05625,6.25,0.005
2005-03-18,95.04,95.04,95,95.025,0.05425,6.25,0.005
2005-03-21,95.02,95.02,94.985,95.005,0.05525,6.25,0.005
2005-03-22,95,95.045,94.885,94.92,0.06175,6.25,0.005
2005-03-23,94.895,94.915,94.82,94.89,0.06275,6.25,0.005
2005-03-24,94.895,94.915,94.875,94.885,0.0615,6.25,0.005
2005-03-28,94.875,94.89,94.845,94.865,0.06175,6.25,0.005
2005-03-29,94.86,94.895,94.85,94.88,0.06025,6.25,0.005
2005-03-30,94.885,94.9,94.87,94.885,0.0595,6.25,0.005
2005-03-31,94.89,94.945,94.88,94.935,0.06025,6.25,0.005
2005-04-01,94.94,95.03,94.92,94.99,0.0635,6.25,0.005
2005-04-04,94.99,94.99,94.955,94.97,0.05975,6.25,0.005
2005-04-05,94.97,94.97,94.955,94.965,0.058,6.25,0.005
2005-04-06,94.96,95.005,94.96,94.995,0.058,6.25,0.005
2005-04-07,94.995,95.025,94.98,94.99,0.0575,6.25,0.005
2005-04-08,94.98,94.985,94.95,94.97,0.0565,6.25,0.005
2005-04-11,94.97,94.985,94.955,94.97,0.0555,6.25,0.005
2005-04-12,94.97,95.005,94.94,94.99,0.05725,6.25,0.005
2005-04-13,95,95.07,94.99,95.055,0.05875,6.25,0.005
2005-04-14,95.06,95.165,95.05,95.12,0.0605,6.25,0.005
2005-04-15,95.155,95.245,95.155,95.21,0.0635,6.25,0.005
2005-04-18,95.235,95.325,95.215,95.235,0.06725,6.25,0.005
2005-04-19,95.22,95.31,95.185,95.285,0.0715,6.25,0.005
2005-04-20,95.285,95.295,95.17,95.265,0.06975,6.25,0.005
2005-04-21,95.285,95.29,95.14,95.155,0.07225,6.25,0.005
2005-04-22,95.15,95.19,95.145,95.17,0.0725,6.25,0.005
2005-04-25,95.16,95.195,95.125,95.15,0.07375,6.25,0.005
2005-04-26,95.15,95.18,95.115,95.135,0.07475,6.25,0.005
2005-04-27,95.14,95.205,95.115,95.17,0.07775,6.25,0.005
2005-04-28,95.18,95.245,95.17,95.215,0.07825,6.25,0.005
2005-04-29,95.245,95.245,95.165,95.165,0.07675,6.25,0.005
2005-05-02,95.16,95.185,95.135,95.175,0.0775,6.25,0.005
2005-05-03,95.175,95.21,95.125,95.14,0.081,6.25,0.005
2005-05-04,95.16,95.195,95.145,95.185,0.0815,6.25,0.005
2005-05-05,95.19,95.26,95.185,95.25,0.083,6.25,0.005
