time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,250.875,250.85,250.2,250.475,1.07875,10,0.025
2005-01-04,250.675,250.725,249.625,250.275,1.07125,10,0.025
2005-01-05,249.725,249.7,249.1,249.525,1.03,10,0.025
2005-01-06,249.375,250.75,248.675,249.575,1.0675,10,0.025
2005-01-07,249.775,250.225,248.675,248.725,1.0575,10,0.025
2005-01-10,248.725,249.175,248.1,248.825,1.05125,10,0.025
2005-01-11,248.975,250.825,248.7,250.825,1.115,10,0.025
2005-01-12,250.775,251.375,249.325,249.575,1.1625,10,0.025
2005-01-13,249.775,250.35,249.1,249.975,1.13875,10,0.025
2005-01-14,249.975,250.3,250.025,249.875,1.05875,10,0.025
2005-01-18,250.225,250.625,249.675,249.875,1.0775,10,0.025
2005-01-19,249.925,249.375,249.175,249.65,1.05,10,0.025
2005-01-20,249.125,249.175,247.675,247.85,1.10125,10,0.025
2005-01-21,248.175,249.125,248.175,248.825,1.15125,10,0.025
2005-01-24,248.575,248.625,247.825,248.525,1.17125,10,0.025
2005-01-25,248.725,248.975,248.125,248.875,1.16625,10,0.025
2005-01-26,249.025,249.225,247.575,247.725,1.18375,10,0.025
2005-01-27,247.325,247.675,246.825,247.55,1.15375,10,0.025
2005-01-28,246.925,247.875,246.525,247.525,1.2025,10,0.025
2005-01-31,247.425,247.975,247.075,247.775,1.2475,10,0.025
2005-02-01,247.475,247.525,246.9,247.35,1.2575,10,0.025
2005-02-02,246.775,246.875,245.35,245.35,1.3025,10,0.025
2005-02-03,245.275,245.675,244.725,245.425,1.29125,10,0.025
2005-02-04,245.925,246.225,244.775,245.225,1.26,10,0.025
2005-02-07,245.075,246.825,245.075,246.575,1.27,10,0.025
2005-02-08,246.275,247.075,245.875,246.225,1.27625,10,0.025
2005-02-09,245.925,246.725,245.925,246,1.21,10,0.025
2005-02-10,245.975,245.975,244.025,244,1.20625,10,0.025
2005-02-11,244.175,244.925,243.975,244.75,1.19125,10,0.025
2005-02-14,244.825,245.4,244.775,244.8,1.2075,10,0.025
2005-02-15,244.675,245.225,244.275,245.225,1.2075,10,0.025
2005-02-16,245.625,246.925,244.65,246.125,1.28625,10,0.025
2005-02-17,245.875,246.5,245.65,246.075,1.23,10,0.025
2005-02-18,246.075,246.2,244.725,245.1,1.24,10,0.025
2005-02-22,245.425,245.95,245.225,245.775,1.2325,10,0.025
2005-02-23,246.175,247.75,246.075,247.65,1.28875,10,0.025
2005-02-24,247.525,247.975,247.1,247.125,1.25,10,0.025
2005-02-25,246.575,246.625,245.725,246.375,1.275,10,0.025
2005-02-28,246.575,246.725,246.175,246.45,1.235,10,0.025
2005-03-01,246.425,247.925,246.425,247.475,1.265,10,0.025
2005-03-02,247.525,248.175,246.675,246.875,1.29625,10,0.025
2005-03-03,247.275,248.7,247.275,248.325,1.2875,10,0.025
2005-03-04,248.625,248.325,247.8,247.875,1.26625,10,0.025
2005-03-07,248.525,248.85,246.525,247.725,1.31,10,0.025
2005-03-08,248.075,248.525,247.625,248.325,1.2675,10,0.025
2005-03-09,248.175,248.225,246.375,246.8,1.305,10,0.025
2005-03-10,245.925,246.025,244.8,244.8,1.365,10,0.025
2005-03-11,244.8,246.225,245.55,247.075,1.3375,10,0.025
2005-03-14,246.575,246.875,245.075,245.075,1.39,10,0.025
2005-03-15,244.825,245.6,244.525,245.375,1.41125,10,0.025
2005-03-16,245.725,247.375,245.725,246.975,1.46375,10,0.025
