time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,177.15,179.25,175.4,178.85,3.1575,12.5,0.05
2005-01-04,178.75,178.75,163.85,165.8,3.7475,12.5,0.05
2005-01-05,166.3,169,165.25,169,3.81,12.5,0.05
2005-01-06,169,170.4,167.6,169,3.68,12.5,0.05
2005-01-07,169,170.3,168.05,168.5,3.4825,12.5,0.05
2005-01-10,168.3,169.3,167.5,168.45,3.4275,12.5,0.05
2005-01-11,168.5,172,168.4,171.2,3.48,12.5,0.05
2005-01-12,171.5,172.9,170.55,171.9,3.415,12.5,0.05
2005-01-13,171.75,171.9,169.1,169.6,3.4275,12.5,0.05
2005-01-14,169.6,171.5,169,171.1,3.4,12.5,0.05
2005-01-18,171.4,172,168.7,171.65,3.42,12.5,0.05
2005-01-19,171.5,173.8,171.5,172.45,3.4375,12.5,0.05
2005-01-20,171.95,173,171.2,173,3.4125,12.5,0.05
2005-01-21,172.85,175.5,172.6,175,3.3475,12.5,0.05
2005-01-24,174.7,176.6,173.9,174.5,3.2175,12.5,0.05
2005-01-25,174.2,175.1,172.5,174.4,3.2025,12.5,0.05
2005-01-26,174.2,175.2,172.7,175.05,3.2375,12.5,0.05
2005-01-27,174.8,175.3,172.8,174.2,3.24,12.5,0.05
2005-01-28,174.2,176,174.1,175.35,3.235,12.5,0.05
2005-01-31,175.3,175.3,173.8,175,3.2375,12.5,0.05
2005-02-01,175,175.2,171.8,173.1,3.215,12.5,0.05
2005-02-02,173.1,173.65,170.1,170.85,2.6425,12.5,0.05
2005-02-03,171.15,171.2,167.1,170.35,2.66,12.5,0.05
2005-02-04,170.35,171.25,168.3,169.05,2.6675,12.5,0.05
2005-02-07,168.45,171.6,168.45,170.35,2.7125,12.5,0.05
2005-02-08,170.45,170.9,168.8,170.3,2.7275,12.5,0.05
2005-02-09,170.3,170.8,168.6,170.2,2.6575,12.5,0.05
2005-02-10,170.2,174.3,169.65,174,2.7725,12.5,0.05
2005-02-11,174,173.75,172.3,173.75,2.7175,12.5,0.05
2005-02-14,173.5,176.3,173.5,175.45,2.7325,12.5,0.05
2005-02-15,175.45,177.45,175.1,177.35,2.685,12.5,0.05
2005-02-16,177.15,177.25,174,176.3,2.7375,12.5,0.05
2005-02-17,176.3,182,175.1,181.1,2.9925,12.5,0.05
2005-02-18,181.5,182,179.1,181.25,2.9925,12.5,0.05
2005-02-22,180.5,182.7,180,181.4,2.9925,12.5,0.05
2005-02-23,181.25,182.1,179.8,182,2.9775,12.5,0.05
2005-02-24,181.95,182,178.1,180.5,3.0475,12.5,0.05
2005-02-25,180.5,181.2,176.9,181.1,3.1375,12.5,0.05
2005-02-28,180.75,183.3,180.6,182.35,3.1775,12.5,0.05
2005-03-01,182.5,182.5,178.3,178.95,3.31,12.5,0.05
2005-03-02,178.9,180.8,176.7,180.2,3.345,12.5,0.05
2005-03-03,180.1,181.1,178.9,180.1,3.2775,12.5,0.05
2005-03-04,179.9,183.2,179,181.9,3.2825,12.5,0.05
2005-03-07,181.9,182.9,180.7,182.15,3.245,12.5,0.05
2005-03-08,181.85,184.6,181.35,182.45,3.25,12.5,0.05
2005-03-09,182.3,183.5,180.2,182.85,3.31,12.5,0.05
2005-03-10,182.85,183.3,180,182.1,3.365,12.5,0.05
2005-03-11,182,182,178.1,180.4,3.3325,12.5,0.05
2005-03-14,180.35,181.1,178,179.55,3.4025,12.5,0.05
2005-03-15,179.5,183,179,181.55,3.4625,12.5,0.05
2005-03-16,181.4,183.9,180.8,183.1,3.5,12.5,0.05
2005-03-17,183.1,183.5,181.75,182.95,3.42,12.5,0.05
2005-03-18,182.95,184.4,181.2,183.2,3.235,12.5,0.05
2005-03-21,183,183.75,179.7,181.4,3.2925,12.5,0.05
2005-03-22,181.5,183.3,180.9,182.25,3.2775,12.5,0.05
2005-03-23,182.1,182.5,176.8,176.95,3.4475,12.5,0.05
2005-03-24,177.6,179.2,176.7,177.85,3.3775,12.5,0.05
2005-03-28,178.5,179.15,177.35,177.95,3.2525,12.5,0.05
2005-03-29,178,180.3,177.6,179.55,3.2525,12.5,0.05
2005-03-30,179.3,181.8,178.5,181.7,3.2075,12.5,0.05
2005-03-31,181.3,184.1,181.3,182.75,3.1425,12.5,0.05
2005-04-01,182.5,183,179.6,180.95,3.2025,12.5,0.05
2005-04-04,180.75,182.1,179.5,182,3.1225,12.5,0.05
2005-04-05,181.9,181.9,178.95,180.95,3.165,12.5,0.05
2005-04-06,180.65,183.7,180.15,183.35,3.18,12.5,0.05
2005-04-07,183.25,183.9,182.5,183.15,3.085,12.5,0.05
2005-04-08,182.6,183.85,181.9,183.25,3.0175,12.5,0.05
2005-04-11,183.15,185.25,182.85,185,2.9375,12.5,0.05
2005-04-12,185,186.1,181.6,182.1,3.0075,12.5,0.05
2005-04-13,182,182.5,176.8,178.45,3.0925,12.5,0.05
2005-04-14,178.1,178.5,173.5,175.35,3.1875,12.5,0.05
2005-04-15,175,178.1,175,177,3.255,12.5,0.05
2005-04-18,176.8,177,175.1,177,3.19,12.5,0.05
2005-04-19,177.5,179.9,176.8,179.65,3.1425,12.5,0.05
2005-04-20,179.6,183.6,179.6,183.45,3.2225,12.5,0.05
2005-04-21,183.45,183.9,179.95,181.55,3.135,12.5,0.05
2005-04-22,181.25,182.75,181.2,181.95,3.0875,12.5,0.05
2005-04-25,181.75,182.05,179,181.95,3.15,12.5,0.05
2005-04-26,181.85,182.45,178.65,179.55,3.205,12.5,0.05
2005-04-27,179.55,179.95,175.25,177.85,3.275,12.5,0.05
2005-04-28,177.55,178.25,176.05,177.95,3.245,12.5,0.05
2005-04-29,177.45,180.4,176.55,179.95,3.2675,12.5,0.05
2005-05-02,179.65,179.8,177.35,179.05,3.2675,12.5,0.05
2005-05-03,178.75,179.05,176.75,177.9,3.23,12.5,0.05
2005-05-04,177.65,179.05,174.45,176.45,3.2825,12.5,0.05
2005-05-05,176.55,177.75,175.15,176.55,3.3425,12.5,0.05
2005-05-06,176.85,178.55,176.15,177.65,3.365,12.5,0.05
2005-05-09,177.05,179.75,177.05,178.2,3.38,12.5,0.05
2005-05-10,178.25,179.55,177.8,179.25,3.2425,12.5,0.05
2005-05-11,179.15,179.35,176.85,177.8,3.0825,12.5,0.05
