time,open,high,low,close,Average True Range,Tick value,Tick Size
2005-01-03,292.64,292.64,287.14,289.34,6.057,4.2,0.01
2005-01-04,289.34,295.84,289.14,294.8,6.142,4.2,0.01
2005-01-05,294.7,294.7,289.34,292.37,6.196,4.2,0.01
2005-01-06,292.39,299.14,291.14,298.47,6.3955,4.2,0.01
2005-01-07,297.94,299.24,295.64,297.86,6.1575,4.2,0.01
2005-01-10,299.14,304.94,297.64,298.23,6.247,4.2,0.01
2005-01-11,297.94,301.14,297.94,300.05,5.942,4.2,0.01
2005-01-12,300.07,301.14,296.64,300.76,5.9055,4.2,0.01
2005-01-13,300.84,305.04,300.5,304.58,5.8425,4.2,0.01
2005-01-14,304.14,306.39,303.54,305.51,5.5375,4.2,0.01
2005-01-18,307.14,309.43,303.64,304.97,5.572,4.2,0.01
2005-01-19,305.11,306.34,304.19,304.67,5.2245,4.2,0.01
2005-01-20,304.64,306.44,302.25,304,5.166,4.2,0.01
2005-01-21,304.14,309.39,304.14,308.09,5.3005,4.2,0.01
2005-01-24,309.09,310.94,307.14,309.74,5.1055,4.2,0.01
2005-01-25,309.64,312.39,308.54,312.02,5.178,4.2,0.01
2005-01-26,311.94,313.14,307.94,310.33,4.9185,4.2,0.01
2005-01-27,310.64,312.24,309.34,309.77,4.8765,4.2,0.01
2005-01-28,309.57,309.64,302.94,303.86,4.823,4.2,0.01
2005-01-31,302.14,306.14,299.49,305.95,4.998,4.2,0.01
2005-02-01,305.84,306.03,302.24,302.53,4.8345,4.2,0.01
2005-02-02,302.89,304.64,300.44,300.84,4.7095,4.2,0.01
2005-02-03,300.64,301.14,297.44,298.79,4.6215,4.2,0.01
2005-02-04,299.24,300.44,298.14,298.56,4.3365,4.2,0.01
2005-02-07,297.14,298.14,293.64,294.2,4.4025,4.2,0.01
2005-02-08,294.24,296.64,293.24,295.74,4.2075,4.2,0.01
2005-02-09,295.74,300.14,294.52,297.56,4.3285,4.2,0.01
2005-02-10,297.59,303.44,297.54,303.27,4.3985,4.2,0.01
2005-02-11,302.64,304.14,301.39,301.72,4.309,4.2,0.01
2005-02-14,300.74,303.39,298.89,300.58,4.3915,4.2,0.01
2005-02-15,300.58,302.14,299.89,300.27,4.2145,4.2,0.01
2005-02-16,300.29,305.54,299.94,305.34,4.387,4.2,0.01
2005-02-17,305.31,305.59,302.14,302.42,4.35,4.2,0.01
2005-02-18,302.64,306.64,302.14,306.07,4.3055,4.2,0.01
2005-02-22,306.25,315.54,306.25,315.16,4.589,4.2,0.01
2005-02-23,314.5,319.89,313.04,319.45,4.739,4.2,0.01
2005-02-24,319.34,323.14,315.44,317.64,4.864,4.2,0.01
2005-02-25,309.25,309.64,307.94,309.2,5.204,4.2,0.01
2005-02-28,310.43,311.64,309.44,311.36,4.9845,4.2,0.01
2005-03-01,311.14,313.24,308.14,313.12,4.907,4.2,0.01
2005-03-02,312.84,317.14,312.64,316.96,4.9425,4.2,0.01
2005-03-03,317.14,319.39,315.44,316.01,4.93,4.2,0.01
2005-03-04,315.79,317.14,314.49,316.03,4.8775,4.2,0.01
2005-03-07,315.78,317.34,314.14,317.13,4.9225,4.2,0.01
2005-03-08,316.64,321.39,315.49,320.65,4.9715,4.2,0.01
2005-03-09,320.64,322.69,319.44,321.04,4.964,4.2,0.01
2005-03-10,320.54,320.54,316.14,318.48,4.928,4.2,0.01
2005-03-11,318.14,321.94,315.94,321.21,4.933,4.2,0.01
2005-03-14,320.29,321.64,317.24,320.96,5.0155,4.2,0.01
2005-03-15,321.28,323.14,320.14,322.62,4.9405,4.2,0.01
2005-03-16,322.33,327.04,320.77,326.51,5.1415,4.2,0.01
2005-03-17,326.94,329.14,325.14,327.02,5.0615,4.2,0.01
2005-03-18,326.09,327.64,325.34,325.88,5.004,4.2,0.01
2005-03-21,325.88,327.34,325.39,326.59,4.8765,4.2,0.01
2005-03-22,326.54,326.99,323.64,324.06,4.5705,4.2,0.01
2005-03-23,323.94,323.94,320.04,322.56,4.429,4.2,0.01
2005-03-24,323.04,325.14,321.84,323.9,4.209,4.2,0.01
2005-03-28,323.38,323.74,321.14,321.54,3.862,4.2,0.01
2005-03-29,321.53,323.64,320.79,322.92,3.8825,4.2,0.01
2005-03-30,322.8,327.74,320.64,327.56,3.9825,4.2,0.01
2005-03-31,327.34,334.64,326.87,332.75,4.146,4.2,0.01
2005-04-01,332.24,338.64,331.64,337.52,4.2985,4.2,0.01
2005-04-04,336.79,340.64,335.14,335.36,4.441,4.2,0.01
2005-04-05,335.36,337.44,332.94,333.25,4.506,4.2,0.01
2005-04-06,333.14,333.14,329.64,329.81,4.3915,4.2,0.01
2005-04-07,329.44,331.89,322.14,323.97,4.7165,4.2,0.01
2005-04-08,324.14,324.14,318.64,320.86,4.7465,4.2,0.01
2005-04-11,320.74,320.74,316.64,319.85,4.6575,4.2,0.01
2005-04-12,320.04,321.1,317.14,317.67,4.6355,4.2,0.01
2005-04-13,317.52,317.52,314.64,315.34,4.637,4.2,0.01
2005-04-14,315.64,319.94,315.44,319.37,4.5535,4.2,0.01
2005-04-15,318.9,319.99,315.54,317.13,4.576,4.2,0.01
2005-04-18,316.74,318.14,314.14,315.37,4.661,4.2,0.01
2005-04-19,315.59,321.04,315.59,320.44,4.847,4.2,0.01
2005-04-20,320.16,322.24,318.89,322.01,4.847,4.2,0.01
2005-04-21,322.01,326.06,321.46,325.41,4.876,4.2,0.01
2005-04-22,325.51,327.16,325.16,326.72,4.811,4.2,0.01
2005-04-25,327.81,327.96,324.06,324.52,4.868,4.2,0.01
2005-04-26,323.41,324.34,321.56,323.55,4.8735,4.2,0.01
2005-04-27,323.76,323.76,319.06,319.32,4.7535,4.2,0.01
2005-04-28,318.91,320.76,314.66,320.59,4.67,4.2,0.01
2005-04-29,320.66,320.96,313.26,314.6,4.705,4.2,0.01
2005-05-02,313.51,318.86,313.11,318.38,4.7175,4.2,0.01
2005-05-03,318.36,318.36,315.16,315.34,4.6535,4.2,0.01
2005-05-04,315.56,318.96,313.96,317.22,4.723,4.2,0.01
2005-05-05,317.35,318.71,314.36,316.31,4.453,4.2,0.01
2005-05-06,316.96,317.76,313.26,315.57,4.403,4.2,0.01
2005-05-09,316.4,316.68,313.96,316.16,4.328,4.2,0.01
2005-05-10,316.46,321.36,316.11,316.95,4.3925,4.2,0.01
2005-05-11,316.46,316.81,312.26,312.52,4.4755,4.2,0.01
2005-05-12,312.46,312.61,308.96,310.14,4.428,4.2,0.01
2005-05-13,309.76,311.06,307.56,308.94,4.3805,4.2,0.01
2005-05-16,308.36,308.36,305.06,306.9,4.3745,4.2,0.01
