time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2005-01-03,95.82,95.825,95.805,95.82,0.02675,12.5,0.005,1.3465
2005-01-04,95.82,95.84,95.815,95.825,0.027,12.5,0.005,1.3279
2005-01-05,95.82,95.845,95.82,95.84,0.02675,12.5,0.005,1.3262
2005-01-06,95.84,95.855,95.83,95.85,0.0265,12.5,0.005,1.3173
2005-01-07,95.85,95.905,95.84,95.855,0.02775,12.5,0.005,1.3054
2005-01-10,95.85,95.86,95.835,95.855,0.0285,12.5,0.005,1.3074
2005-01-11,95.85,95.855,95.84,95.845,0.02825,12.5,0.005,1.3107
2005-01-12,95.845,95.85,95.83,95.845,0.02875,12.5,0.005,1.3255
2005-01-13,95.85,95.87,95.835,95.86,0.029,12.5,0.005,1.3224
2005-01-14,95.855,95.87,95.855,95.86,0.02725,12.5,0.005,1.3112
2005-01-17,95.865,95.87,95.86,95.865,0.02675,12.5,0.005,1.3067
2005-01-18,95.865,95.865,95.855,95.865,0.02575,12.5,0.005,1.3020
2005-01-19,95.865,95.87,95.86,95.865,0.02525,12.5,0.005,1.3010
2005-01-20,95.87,95.87,95.855,95.86,0.02475,12.5,0.005,1.2963
2005-01-21,95.86,95.87,95.86,95.865,0.0245,12.5,0.005,1.3039
2005-01-24,95.865,95.875,95.865,95.87,0.024,12.5,0.005,1.3060
2005-01-25,95.87,95.875,95.865,95.87,0.02125,12.5,0.005,1.2973
2005-01-26,95.87,95.875,95.865,95.87,0.01975,12.5,0.005,1.3073
2005-01-27,95.865,95.875,95.865,95.87,0.01875,12.5,0.005,1.3046
2005-01-28,95.865,95.88,95.865,95.875,0.019,12.5,0.005,1.3038
2005-01-31,95.875,95.875,95.87,95.875,0.01825,12.5,0.005,1.3039
2005-02-01,95.87,95.875,95.87,95.875,0.01725,12.5,0.005,1.3047
2005-02-02,95.875,95.875,95.865,95.87,0.0165,12.5,0.005,1.3027
2005-02-03,95.87,95.875,95.865,95.87,0.01575,12.5,0.005,1.2975
2005-02-04,95.87,95.88,95.865,95.875,0.01325,12.5,0.005,1.2869
2005-02-07,95.875,95.88,95.87,95.88,0.0125,12.5,0.005,1.2757
2005-02-08,95.875,95.88,95.87,95.88,0.01225,12.5,0.005,1.2762
2005-02-09,95.875,95.885,95.875,95.88,0.01175,12.5,0.005,1.2805
2005-02-10,95.885,95.89,95.88,95.885,0.0105,12.5,0.005,1.2874
2005-02-11,95.885,95.89,95.88,95.89,0.01025,12.5,0.005,1.2866
2005-02-14,95.885,95.89,95.885,95.89,0.01,12.5,0.005,1.2976
2005-02-15,95.885,95.89,95.88,95.885,0.01,12.5,0.005,1.3027
2005-02-16,95.885,95.9,95.885,95.89,0.01025,12.5,0.005,1.3029
2005-02-17,95.885,95.89,95.885,95.89,0.00975,12.5,0.005,1.3071
2005-02-18,95.89,95.895,95.855,95.885,0.01125,12.5,0.005,1.3072
2005-02-21,95.885,95.89,95.88,95.885,0.01125,12.5,0.005,1.3069
2005-02-22,95.885,95.89,95.875,95.875,0.0115,12.5,0.005,1.3259
2005-02-23,95.88,95.885,95.875,95.88,0.0115,12.5,0.005,1.3216
2005-02-24,95.88,95.885,95.875,95.88,0.0115,12.5,0.005,1.3198
2005-02-25,95.88,95.885,95.87,95.88,0.0115,12.5,0.005,1.3245
2005-02-28,95.88,95.885,95.875,95.88,0.01175,12.5,0.005,1.3228
2005-03-01,95.88,95.905,95.865,95.89,0.0135,12.5,0.005,1.3188
2005-03-02,95.895,95.91,95.865,95.88,0.01525,12.5,0.005,1.3142
