time,open,high,low,close,MA,MA,ATR,Tick value,Tick size
2005-03-22T09:45:00Z,1725,1748,1723,1731,1630,1749.6,43.5607337780977,10,1
2005-03-23T09:45:00Z,1635,1641,1575,1588,1632.44,1747.65,49.1826970891928,10,1
2005-03-24T09:45:00Z,1570,1588,1560,1584,1634.76,1744.05,48.1235622347331,10,1
2005-03-28T09:45:00Z,1570,1580,1561,1570,1636.44,1739.85,46.8673841229965,10,1
2005-03-29T09:45:00Z,1580,1593,1576,1581,1637.96,1732.4,45.6740149168467,10,1
2005-03-30T09:45:00Z,1576,1587,1571,1579,1639.54,1723.75,44.1903141710043,10,1
2005-03-31T09:45:00Z,1605,1626,1602,1613,1641.88,1718.4,44.3307984624541,10,1
2005-04-01T09:45:00Z,1636,1669,1558,1571,1643.32,1710.5,47.6642585393314,10,1
2005-04-04T08:45:00Z,1560,1595,1560,1588,1645.12,1701.9,47.0310456123648,10,1
2005-04-05T08:45:00Z,1570,1577,1553,1555,1646.5,1690.85,46.4294933317466,10,1
2005-04-06T08:45:00Z,1525,1570,1510,1555,1647.08,1680.15,47.1080186651593,10,1
2005-04-07T08:45:00Z,1580,1598,1558,1577,1648.08,1672.1,46.9026177319013,10,1
2005-04-08T08:45:00Z,1565,1592,1563,1588,1648.34,1663.85,46.0074868453062,10,1
2005-04-11T08:45:00Z,1592,1592,1558,1563,1648.06,1651.8,45.4071125030409,10,1
2005-04-12T08:45:00Z,1568,1584,1555,1581,1648.44,1642.25,44.5867568778889,10,1
2005-04-13T08:45:00Z,1580,1589,1573,1581,1649.56,1632.05,43.1574190339944,10,1
2005-04-14T08:45:00Z,1575,1576,1535,1543,1649.2,1617.75,43.2995480822947,10,1
2005-04-15T08:45:00Z,1543,1543,1520,1533,1647.8,1602.9,42.28457067818,10,1
2005-04-18T08:45:00Z,1533,1555,1516,1539,1646.7,1587.65,42.120342144271,10,1
2005-04-19T08:45:00Z,1545,1568,1544,1555,1646.28,1578.75,41.4643250370574,10,1
2005-04-20T08:45:00Z,1551,1578,1551,1563,1645.1,1570.35,40.7411087852046,10,1
2005-04-21T08:45:00Z,1558,1558,1537,1538,1643.78,1567.85,40.0040533459443,10,1
2005-04-22T08:45:00Z,1515,1515,1493,1506,1643.06,1563.95,40.2538506786471,10,1
2005-04-25T08:45:00Z,1495,1495,1483,1486,1641.44,1559.75,39.3911581447148,10,1
2005-04-26T08:45:00Z,1490,1495,1474,1476,1639.76,1554.5,38.471600237479,10,1
2005-04-27T08:45:00Z,1486,1511,1485,1500,1638.54,1550.55,38.2980202256051,10,1
2005-04-28T08:45:00Z,1500,1505,1484,1488,1636.46,1544.3,37.4331192143248,10,1
2005-04-29T08:45:00Z,1503,1525,1489,1492,1634.6,1540.35,37.4114632536086,10,1
2005-05-02T08:45:00Z,1485,1520,1483,1503,1632.34,1536.1,37.3908900909281,10,1
2005-05-03T08:45:00Z,1490,1516,1488,1490,1629.74,1532.85,36.9213455863817,10,1
2005-05-04T08:45:00Z,1490,1505,1486,1496,1627.48,1529.9,36.0252783070627,10,1
2005-05-05T08:45:00Z,1490,1493,1475,1480,1624.54,1525.05,35.2740143917095,10,1
2005-05-06T08:45:00Z,1478,1487,1455,1484,1621.1,1519.85,35.110313672124,10,1
2005-05-09T08:45:00Z,1479,1494,1476,1489,1617.8,1516.15,34.2547979885178,10,1
2005-05-10T08:45:00Z,1495,1503,1492,1497,1613.14,1511.95,33.2420580890919,10,1
2005-05-11T08:45:00Z,1495,1509,1490,1491,1607.92,1507.45,32.5299551846373,10,1
2005-05-12T08:45:00Z,1484,1489,1466,1472,1602.96,1503.9,32.1534574254055,10,1
2005-05-13T08:45:00Z,1457,1463,1428,1430,1596.98,1498.75,32.7457845541352,10,1
2005-05-16T08:45:00Z,1420,1454,1417,1451,1590.8,1494.35,32.9584953264284,10,1
2005-05-17T08:45:00Z,1448,1449,1435,1438,1584.04,1488.5,32.110570560107,10,1
2005-05-18T08:45:00Z,1445,1458,1441,1453,1577.72,1483,31.5050420321017,10,1
2005-05-19T08:45:00Z,1458,1469,1435,1446,1571.88,1478.4,31.6297899304966,10,1
2005-05-20T08:45:00Z,1440,1450,1432,1440,1565.62,1475.1,30.9483004339717,10,1
2005-05-23T08:45:00Z,1457,1463,1452,1459,1558.72,1473.75,30.5508854122732,10,1
2005-05-24T08:45:00Z,1466,1468,1434,1436,1552,1471.75,30.7233411416595,10,1
2005-05-25T08:45:00Z,1440,1450,1427,1429,1544.88,1468.2,30.3371740845765,10,1
2005-05-26T08:45:00Z,1415,1427,1413,1415,1536.6,1464.55,29.6203153803477,10,1
2005-05-27T08:45:00Z,1417,1431,1412,1412,1528.24,1460.55,29.0892996113303,10,1
2005-05-31T08:45:00Z,1415,1425,1415,1422,1519.8,1456.5,28.2848346307638,10,1
2005-06-01T08:45:00Z,1412,1416,1392,1394,1513.02,1451.7,28.3705928992256,10,1
2005-06-02T08:45:00Z,1408,1423,1403,1420,1506.8,1447.9,28.4020632542643,10,1
2005-06-03T08:45:00Z,1433,1445,1419,1429,1503.62,1445.35,28.2819600915511,10,1
2005-06-06T08:45:00Z,1425,1432,1408,1421,1500.36,1442.2,28.0678620869735,10,1
2005-06-07T08:45:00Z,1427,1438,1417,1435,1497.66,1439.5,27.7144689826249,10,1
2005-06-08T08:45:00Z,1458,1472,1452,1454,1495.12,1437.35,28.1787455334936,10,1
2005-06-09T08:45:00Z,1452,1466,1432,1439,1492.32,1434.75,28.4698082568189,10,1
2005-06-10T08:45:00Z,1444,1444,1428,1429,1488.64,1432.6,27.846317843978,10,1
2005-06-13T08:45:00Z,1425,1436,1420,1427,1485.76,1432.45,27.2540019517791,10,1
2005-06-14T08:45:00Z,1439,1505,1437,1502,1484.04,1435,29.7913018541901,10,1
2005-06-15T08:45:00Z,1544,1562,1526,1560,1484.14,1441.1,31.3017367614806,10,1
2005-06-16T08:45:00Z,1545,1549,1516,1541,1483.86,1445.5,31.9366499234066,10,1
2005-06-17T08:45:00Z,1529,1558,1527,1544,1483.2,1450.4,31.8898174272363,10,1
2005-06-20T08:45:00Z,1550,1555,1530,1531,1482.06,1454.95,31.5453265558745,10,1
2005-06-21T08:45:00Z,1538,1546,1528,1545,1481.7,1459.25,30.8680602280807,10,1
2005-06-22T08:45:00Z,1563,1580,1558,1569,1481.46,1465.9,31.0746572166767,10,1
2005-06-23T08:45:00Z,1567,1589,1555,1579,1481.42,1473.4,31.2209243558429,10,1
2005-06-24T08:45:00Z,1590,1594,1525,1531,1481.18,1479.2,33.1098781380507,10,1
2005-06-27T08:45:00Z,1535,1550,1511,1545,1481.42,1485.85,33.4043842311482,10,1
2005-06-28T08:45:00Z,1537,1538,1506,1509,1480.82,1490.2,33.6841650195908,10,1
2005-06-29T08:45:00Z,1490,1506,1488,1497,1479.66,1495.35,33.0499567686112,10,1
2005-06-30T08:45:00Z,1490,1490,1443,1452,1477.44,1496.95,34.0974589301807,10,1
2005-07-01T08:45:00Z,1445,1465,1445,1451,1475.7,1498.05,33.3925859836716,10,1
2005-07-05T08:45:00Z,1430,1448,1425,1430,1474.18,1498.5,33.0229566844881,10,1
2005-07-06T08:45:00Z,1420,1430,1407,1411,1472.68,1497.3,32.5218088502637,10,1
2005-07-07T08:45:00Z,1402,1424,1395,1397,1471.1,1494.45,32.3457184077505,10,1
2005-07-08T08:45:00Z,1385,1403,1377,1398,1469.06,1492.4,32.0284324873629,10,1
2005-07-11T08:45:00Z,1420,1420,1388,1406,1467.42,1491.25,32.0270108629948,10,1
2005-07-12T08:45:00Z,1419,1428,1411,1412,1465.82,1490.5,31.5256603198451,10,1
2005-07-13T08:45:00Z,1412,1415,1396,1404,1463.84,1485.6,30.8993773038528,10,1
2005-07-14T08:45:00Z,1396,1428,1396,1409,1462.22,1478.05,30.9544084386602,10,1
2005-07-15T08:45:00Z,1408,1417,1401,1405,1460.4,1471.25,30.2066880167272,10,1
2005-07-18T08:45:00Z,1415,1444,1412,1439,1459.58,1466,30.6463536158908,10,1
2005-07-19T08:45:00Z,1435,1442,1419,1425,1458.4,1460.7,30.2640359350963,10,1
2005-07-20T08:45:00Z,1430,1443,1401,1404,1456.7,1453.65,30.8508341383414,10,1
2005-07-21T08:45:00Z,1415,1424,1391,1407,1454.9,1445.55,30.9582924314244,10,1
2005-07-22T08:45:00Z,1417,1419,1398,1407,1453.22,1436.95,30.4603778098532,10,1
2005-07-25T08:45:00Z,1415,1440,1412,1420,1452.18,1431.4,30.5873589193605,10,1
2005-07-26T08:45:00Z,1420,1438,1420,1437,1452.32,1426,29.9579909733925,10,1
2005-07-27T08:45:00Z,1442,1463,1442,1458,1452.46,1423.45,29.7600914247228,10,1
2005-07-28T08:45:00Z,1470,1472,1444,1453,1452.76,1421.25,29.6720868534867,10,1
2005-07-29T08:45:00Z,1455,1480,1451,1479,1453.28,1422.6,29.6384825108124,10,1
2005-08-01T08:45:00Z,1489,1489,1467,1482,1454,1424.15,29.2565583852718,10,1
2005-08-02T08:45:00Z,1480,1500,1475,1498,1455.16,1427.55,29.0437304660082,10,1
2005-08-03T08:45:00Z,1495,1505,1481,1491,1455.8,1431.55,28.7915439427078,10,1
2005-08-04T08:45:00Z,1495,1502,1475,1479,1456.66,1435.65,28.7019667455724,10,1
2005-08-05T08:45:00Z,1450,1469,1445,1455,1457.18,1438.5,28.9668684082938,10,1
2005-08-08T08:45:00Z,1460,1463,1428,1430,1457.48,1439.7,29.2685249878791,10,1
2005-08-09T08:45:00Z,1425,1425,1398,1402,1457.28,1439.2,29.4050987384851,10,1
2005-08-10T08:45:00Z,1445,1448,1430,1432,1457.48,1440.6,30.2348438015609,10,1
2005-08-11T08:45:00Z,1415,1420,1390,1392,1457.44,1439.75,30.8231016114828,10,1
2005-08-12T08:45:00Z,1392,1394,1374,1378,1456.6,1438.4,30.2819465309087,10,1
2005-08-15T08:45:00Z,1380,1388,1370,1375,1455.52,1435.2,29.6678492043632,10,1
2005-08-16T08:45:00Z,1380,1392,1378,1383,1454.76,1433.1,29.0344567441451,10,1
2005-08-17T08:45:00Z,1386,1386,1371,1372,1453.5,1431.5,28.3327339069378,10,1
2005-08-18T08:45:00Z,1390,1404,1383,1398,1452.38,1431.05,28.5160972115909,10,1
2005-08-19T08:45:00Z,1403,1410,1375,1394,1451.48,1430.4,28.8402923510114,10,1
2005-08-22T08:45:00Z,1390,1417,1389,1413,1451.16,1430.05,28.7982777334608,10,1
2005-08-23T08:45:00Z,1420,1426,1405,1410,1450.82,1428.7,28.4083638467878,10,1
2005-08-24T08:45:00Z,1422,1430,1403,1412,1449.02,1426.4,28.3379456544484,10,1
2005-08-25T08:45:00Z,1420,1422,1398,1403,1445.88,1423.9,28.121048371726,10,1
2005-08-26T08:45:00Z,1410,1434,1398,1428,1443.62,1421.35,28.5149959531397,10,1
2005-08-29T08:45:00Z,1430,1442,1420,1428,1441.3,1418.65,28.1892461554827,10,1
2005-08-30T08:45:00Z,1410,1410,1391,1406,1438.8,1414.05,28.6297838477086,10,1
2005-08-31T08:45:00Z,1405,1415,1396,1404,1435.98,1409.7,28.1482946553231,10,1
2005-09-01T08:45:00Z,1414,1500,1410,1496,1434.52,1410.55,31.540879922557,10,1
2005-09-02T08:45:00Z,1540,1555,1518,1550,1433.94,1415.3,32.9138359264291,10,1
2005-09-06T08:45:00Z,1535,1544,1520,1540,1434.12,1420.8,32.7681441301077,10,1
2005-09-07T08:45:00Z,1520,1552,1512,1549,1434.2,1428.15,33.1297369236023,10,1
2005-09-08T08:45:00Z,1543,1570,1543,1569,1435.4,1435,32.8232500774222,10,1
2005-09-09T08:45:00Z,1575,1575,1516,1531,1436.08,1441.95,34.1320875735511,10,1
2005-09-12T08:45:00Z,1500,1507,1480,1483,1436.7,1447.2,34.9754831948735,10,1
2005-09-13T08:45:00Z,1476,1482,1440,1445,1436.58,1450.7,35.3767090351298,10,1
2005-09-14T08:45:00Z,1442,1460,1419,1423,1436.44,1452.7,35.6578735833733,10,1
2005-09-15T08:45:00Z,1412,1417,1399,1405,1436.32,1454.35,35.0749799042047,10,1
2005-09-16T08:45:00Z,1405,1412,1384,1385,1436.08,1453.7,34.7212309089945,10,1
2005-09-19T08:45:00Z,1360,1375,1356,1371,1435.54,1452.55,34.4351693635447,10,1
2005-09-20T08:45:00Z,1375,1388,1367,1375,1434.92,1450.65,33.7634108953675,10,1
2005-09-21T08:45:00Z,1385,1395,1351,1352,1433.72,1447.75,34.2752403505991,10,1
2005-09-22T08:45:00Z,1354,1360,1337,1342,1432.48,1444.25,33.7114783330692,10,1
2005-09-23T08:45:00Z,1340,1359,1338,1350,1431.3,1441.6,33.0759044164157,10,1
2005-09-26T08:45:00Z,1340,1341,1328,1335,1429.9,1436.95,32.5221091955949,10,1
2005-09-27T08:45:00Z,1330,1355,1330,1351,1428.14,1433.1,32.1460037358152,10,1
2005-09-28T08:45:00Z,1353,1377,1353,1373,1427.1,1431.45,31.8387035490244,10,1
2005-09-29T08:45:00Z,1413,1440,1393,1434,1427.7,1432.95,33.5967683715732,10,1
2005-09-30T08:45:00Z,1429,1444,1408,1413,1427.82,1428.8,33.7169299529945,10,1
2005-10-03T08:45:00Z,1393,1411,1388,1401,1427.7,1421.35,33.2810834553448,10,1
2005-10-04T08:45:00Z,1402,1405,1381,1383,1426.96,1413.5,32.8170292825776,10,1
2005-10-05T08:45:00Z,1410,1417,1385,1388,1425.98,1405.45,32.8761778184487,10,1
2005-10-06T08:45:00Z,1380,1408,1378,1392,1424.66,1396.6,32.7323689275263,10,1
2005-10-07T08:45:00Z,1385,1389,1363,1367,1422.94,1388.4,32.5457504811499,10,1
2005-10-10T08:45:00Z,1370,1373,1351,1356,1420.48,1382.05,32.0184629570924,10,1
2005-10-11T08:45:00Z,1370,1372,1351,1356,1417.96,1377.6,31.4675398092378,10,1
2005-10-12T08:45:00Z,1350,1358,1347,1349,1414.98,1373.9,30.4441628187759,10,1
2005-10-13T08:45:00Z,1352,1373,1352,1369,1412.54,1372.1,30.1219546778371,10,1
2005-10-14T08:45:00Z,1390,1416,1385,1408,1411.12,1373.25,30.9658569439453,10,1
2005-10-17T08:45:00Z,1381,1388,1365,1367,1409.36,1373.05,31.567564096748,10,1
2005-10-18T08:45:00Z,1370,1392,1370,1386,1408.48,1373.6,31.2391858919106,10,1
2005-10-19T08:45:00Z,1395,1405,1386,1392,1408.28,1375.6,30.6272265973151,10,1
2005-10-20T08:45:00Z,1385,1399,1364,1367,1406.98,1376.85,30.8458652674493,10,1
2005-10-21T08:45:00Z,1366,1382,1356,1366,1406.46,1377.65,30.6035720040769,10,1
2005-10-24T08:45:00Z,1370,1412,1369,1408,1407.06,1381.3,31.373393403873,10,1
2005-10-25T08:45:00Z,1400,1408,1388,1403,1407.62,1383.9,30.8047237336794,10,1
2005-10-26T08:45:00Z,1400,1423,1395,1418,1408.32,1386.15,30.6644875469954,10,1
2005-10-27T08:45:00Z,1420,1428,1407,1415,1409.18,1385.2,30.1812631696456,10,1
2005-10-28T08:45:00Z,1405,1405,1371,1382,1408.86,1383.65,30.8722000111633,10,1
2005-10-31T09:45:00Z,1367,1372,1349,1351,1408,1381.15,30.9785900106052,10,1
2005-11-01T09:45:00Z,1360,1371,1352,1368,1407.1,1380.4,30.4296605100749,10,1
2005-11-02T09:45:00Z,1365,1378,1357,1369,1406.28,1379.45,29.9581774845712,10,1
2005-11-03T09:45:00Z,1373,1380,1366,1376,1405.56,1378.65,29.1602686103426,10,1
2005-11-04T09:45:00Z,1360,1362,1337,1344,1404.38,1377.5,29.6522551798255,10,1
2005-11-07T09:45:00Z,1339,1340,1320,1322,1402.26,1375.8,29.3696424208342,10,1
2005-11-08T09:45:00Z,1360,1364,1351,1364,1400.98,1376.2,30.0011602997925,10,1
2005-11-09T09:45:00Z,1366,1373,1364,1372,1400.3,1377.35,28.9511022848029,10,1
2005-11-10T09:45:00Z,1374,1385,1371,1377,1399.76,1377.75,28.2035471705627,10,1
2005-11-11T09:45:00Z,1365,1365,1347,1348,1396.8,1374.75,28.2933698120346,10,1
2005-11-14T09:45:00Z,1350,1358,1344,1351,1392.82,1373.95,27.5787013214329,10,1
2005-11-15T09:45:00Z,1360,1377,1346,1351,1389.04,1372.2,27.7497662553612,10,1
2005-11-16T09:45:00Z,1361,1367,1349,1354,1385.14,1370.3,27.2622779425932,10,1
2005-11-17T09:45:00Z,1356,1362,1347,1360,1380.96,1369.95,26.6491640454635,10,1
2005-11-18T09:45:00Z,1390,1430,1388,1425,1378.84,1372.9,28.8167058431903,10,1
2005-11-21T09:45:00Z,1440,1443,1395,1414,1377.46,1373.2,29.7758705510308,10,1
2005-11-22T09:45:00Z,1405,1435,1404,1429,1377.14,1374.5,29.8370770234793,10,1
2005-11-23T09:45:00Z,1446,1446,1406,1413,1376.94,1374.25,30.3452231723053,10,1
2005-11-28T09:45:00Z,1395,1427,1390,1409,1377.02,1373.95,30.67796201369,10,1
2005-11-29T09:45:00Z,1402,1416,1393,1404,1377.4,1375.05,30.2940639130055,10,1
2005-11-30T09:45:00Z,1404,1419,1399,1415,1378.28,1378.25,29.7793607173553,10,1
2005-12-01T09:45:00Z,1430,1474,1425,1465,1380.08,1383.1,31.2403926814875,10,1
2005-12-02T09:45:00Z,1462,1484,1460,1478,1382.6,1388.55,30.8783730474131,10,1
2005-12-05T09:45:00Z,1448,1460,1435,1440,1384.56,1391.75,31.4844543950425,10,1
2005-12-06T09:45:00Z,1433,1439,1426,1429,1386.14,1396,30.6102316752903,10,1
2005-12-07T09:45:00Z,1430,1455,1423,1450,1388.44,1402.4,30.6797200915258,10,1
2005-12-08T09:45:00Z,1455,1468,1442,1463,1390.68,1407.35,30.4457340869495,10,1
2005-12-09T09:45:00Z,1455,1466,1443,1461,1392.44,1411.8,30.0734473826021,10,1
2005-12-12T09:45:00Z,1470,1492,1469,1479,1393.34,1416.9,30.119775013472,10,1
2005-12-13T09:45:00Z,1483,1497,1475,1480,1394.68,1423.5,29.7137862627984,10,1
2005-12-14T09:45:00Z,1480,1482,1448,1460,1395.86,1428.95,29.9280969496584,10,1
2005-12-15T09:45:00Z,1453,1474,1445,1468,1397.56,1434.8,29.8816921021755,10,1
2005-12-16T09:45:00Z,1470,1480,1456,1461,1399.02,1440.15,29.5876074970667,10,1
2005-12-19T09:45:00Z,1450,1451,1436,1439,1399.96,1444.1,29.3582271222134,10,1
2005-12-20T09:45:00Z,1440,1454,1427,1448,1401.58,1445.25,29.2403157661027,10,1
2005-12-21T09:45:00Z,1450,1460,1442,1450,1403.46,1447.05,28.6782999777976,10,1
2005-12-22T09:45:00Z,1462,1482,1455,1478,1405.9,1449.5,28.8443849789077,10,1
2005-12-23T09:45:00Z,1475,1475,1459,1463,1408.18,1452,28.3521657299623,10,1
2005-12-27T09:45:00Z,1464,1465,1442,1445,1409.7,1453.8,28.0845574434642,10,1
2005-12-28T09:45:00Z,1447,1475,1437,1469,1410.92,1457.05,28.580329571291,10,1
2005-12-29T09:45:00Z,1470,1505,1470,1501,1413.6,1461.35,28.9513130927264,10,1
2005-12-30T09:45:00Z,1505,1525,1498,1504,1415.96,1463.3,28.8537474380901,10,1
2006-01-03T09:45:00Z,1515,1548,1513,1546,1419.04,1466.7,29.6110600661856,10,1
2006-01-04T09:45:00Z,1540,1554,1532,1544,1422.58,1471.9,29.2305070628763,10,1
2006-01-05T09:45:00Z,1525,1530,1515,1519,1425.64,1476.4,29.2189817097325,10,1
2006-01-06T09:45:00Z,1503,1554,1499,1551,1428.5,1481.45,30.5080326242459,10,1
2006-01-09T09:45:00Z,1545,1554,1501,1505,1430.54,1483.55,31.6326309930336,10,1
2006-01-10T09:45:00Z,1518,1528,1506,1519,1432.56,1486.45,31.2009994433819,10,1
2006-01-11T09:45:00Z,1523,1528,1506,1518,1434.62,1488.4,30.7409494712128,10,1
2006-01-12T09:45:00Z,1530,1536,1515,1527,1437.52,1490.75,30.2539019976522,10,1
2006-01-13T09:45:00Z,1525,1529,1515,1518,1440.86,1493.65,29.4412068977696,10,1
2006-01-17T09:45:00Z,1548,1580,1544,1571,1444.92,1498.8,31.0691465528811,10,1
2006-01-18T09:45:00Z,1585,1600,1568,1598,1449.5,1505.65,31.115689225237,10,1
2006-01-19T09:45:00Z,1542,1562,1530,1553,1453.04,1511.35,32.9599047639752,10,1
2006-01-20T09:45:00Z,1525,1575,1520,1548,1457.12,1516.35,34.0619095257764,10,1
2006-01-23T09:45:00Z,1560,1566,1530,1531,1461.3,1520.4,34.1588140494876,10,1
2006-01-24T09:45:00Z,1510,1510,1446,1451,1463.04,1519.05,36.7008733470132,10,1
2006-01-25T09:45:00Z,1472,1472,1445,1465,1464.9,1519.15,36.2158296796626,10,1
2006-01-26T09:45:00Z,1472,1486,1456,1485,1467.06,1521.15,35.9050381956794,10,1
2006-01-27T09:45:00Z,1478,1494,1452,1455,1469.2,1520.45,36.2097862858955,10,1
2006-01-30T09:45:00Z,1445,1480,1443,1477,1471.72,1519.25,36.2492969716007,10,1
2006-01-31T09:45:00Z,1475,1497,1470,1484,1474.38,1518.25,35.7868321230207,10,1
2006-02-01T09:45:00Z,1480,1496,1460,1467,1476.64,1514.3,35.7974905168696,10,1
2006-02-02T09:45:00Z,1470,1475,1451,1453,1478.5,1509.75,35.2076159910261,10,1
