time,open,high,low,close,MA,MA,ATR,Tick value,Tick size
2005-03-22T08:30:00Z,8.76,8.85,8.68,8.75,8.95720000000001,8.97399999999993,0.174545648706061,11.2,0.01
2005-03-23T08:30:00Z,8.65,8.73,8.62,8.63,8.95940000000001,8.95999999999993,0.171363816655629,11.2,0.01
2005-03-24T08:30:00Z,8.64,8.76,8.64,8.67,8.96180000000001,8.95599999999993,0.168409258323084,11.2,0.01
2005-03-28T08:30:00Z,8.63,8.73,8.6,8.61,8.96160000000001,8.95449999999993,0.165665739871435,11.2,0.01
2005-03-29T08:30:00Z,8.68,8.68,8.52,8.52,8.95760000000001,8.92199999999993,0.165261044166332,11.2,0.01
2005-03-30T08:30:00Z,8.5,8.59,8.49,8.55,8.95200000000001,8.89649999999993,0.160599541011594,11.2,0.01
2005-03-31T08:30:00Z,8.65,8.72,8.65,8.7,8.94920000000001,8.87949999999993,0.161271002367909,11.2,0.01
2005-04-01T08:30:00Z,8.75,8.78,8.51,8.52,8.94220000000001,8.85649999999993,0.16903735934163,11.2,0.01
2005-04-04T07:30:00Z,8.55,8.57,8.4,8.41,8.93120000000001,8.83349999999993,0.169106119388656,11.2,0.01
2005-04-05T07:30:00Z,8.4,8.59,8.39,8.55,8.92460000000001,8.82199999999993,0.171312825146609,11.2,0.01
2005-04-06T07:30:00Z,8.59,8.64,8.49,8.57,8.91800000000001,8.80249999999993,0.16979048049328,11.2,0.01
2005-04-07T07:30:00Z,8.57,8.67,8.54,8.66,8.91160000000001,8.78549999999993,0.166948303315189,11.2,0.01
2005-04-08T07:30:00Z,8.71,8.72,8.47,8.48,8.89520000000001,8.76099999999993,0.172880567364104,11.2,0.01
2005-04-11T07:30:00Z,8.55,8.56,8.33,8.35,8.87780000000001,8.71999999999993,0.176960526838096,11.2,0.01
2005-04-12T07:30:00Z,8.35,8.49,8.29,8.45,8.86380000000001,8.68099999999993,0.178606203492518,11.2,0.01
2005-04-13T07:30:00Z,8.48,8.48,8.34,8.34,8.84620000000001,8.64099999999993,0.175848617528767,11.2,0.01
2005-04-14T07:30:00Z,8.35,8.37,8.15,8.15,8.83020000000001,8.59099999999993,0.179002287705283,11.2,0.01
2005-04-15T07:30:00Z,8.15,8.16,8.02,8.08,8.81560000000001,8.53899999999993,0.176216410012049,11.2,0.01
2005-04-18T07:30:00Z,8.1,8.21,8.05,8.18,8.80040000000001,8.49649999999993,0.175058095011188,11.2,0.01
2005-04-19T07:30:00Z,8.25,8.35,8.25,8.33,8.78540000000001,8.47499999999993,0.174696802510389,11.2,0.01
2005-04-20T07:30:00Z,8.32,8.4,8.31,8.4,8.77480000000001,8.45749999999993,0.168647030902504,11.2,0.01
2005-04-21T07:30:00Z,8.43,8.47,8.41,8.46,8.76380000000001,8.44899999999993,0.161600814409468,11.2,0.01
2005-04-22T07:30:00Z,8.44,8.45,8.27,8.35,8.75000000000001,8.43299999999993,0.163629327665935,11.2,0.01
2005-04-25T07:30:00Z,8.32,8.38,8.28,8.37,8.73440000000001,8.42099999999993,0.159084375689797,11.2,0.01
2005-04-26T07:30:00Z,8.35,8.52,8.35,8.5,8.72180000000001,8.41999999999993,0.159864063140525,11.2,0.01
2005-04-27T07:30:00Z,8.53,8.65,8.52,8.58,8.71280000000001,8.42149999999993,0.159159487201917,11.2,0.01
2005-04-28T07:30:00Z,8.58,8.58,8.42,8.45,8.69980000000001,8.40899999999993,0.159219523830351,11.2,0.01
2005-04-29T07:30:00Z,8.57,8.67,8.52,8.66,8.69540000000001,8.41599999999993,0.163560986413897,11.2,0.01
2005-05-02T07:30:00Z,8.66,8.7,8.62,8.68,8.69040000000001,8.42949999999993,0.157592344527191,11.2,0.01
2005-05-03T07:30:00Z,8.67,8.68,8.54,8.56,8.68460000000001,8.42999999999993,0.156335748489534,11.2,0.01
2005-05-04T07:30:00Z,8.54,8.57,8.45,8.49,8.67460000000001,8.42599999999993,0.153740337883139,11.2,0.01
2005-05-05T07:30:00Z,8.42,8.43,8.22,8.23,8.66100000000001,8.40449999999993,0.162044599462915,11.2,0.01
2005-05-06T07:30:00Z,8.23,8.43,8.21,8.42,8.65440000000001,8.40149999999993,0.166184270929849,11.2,0.01
2005-05-09T07:30:00Z,8.47,8.48,8.32,8.36,8.64880000000001,8.40199999999993,0.165742537292003,11.2,0.01
2005-05-10T07:30:00Z,8.36,8.47,8.33,8.39,8.63320000000001,8.39899999999993,0.163903784628288,11.2,0.01
2005-05-11T07:30:00Z,8.39,8.49,8.35,8.49,8.62180000000001,8.40649999999993,0.162196371440553,11.2,0.01
