time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,0.009729,0.009768,0.009666,0.009729,0.00009815,0.000001,0.000001
2005-01-04,0.009563,0.00976,0.009544,0.009563,0.00010465,0.000001,0.000001
2005-01-05,0.009601,0.009636,0.009524,0.009601,0.0001003,0.000001,0.000001
2005-01-06,0.009523,0.009624,0.009508,0.009523,0.00010095,0.000001,0.000001
2005-01-07,0.009546,0.009626,0.009512,0.009546,0.0000996,0.000001,0.000001
2005-01-10,0.009585,0.009607,0.009538,0.009585,0.00009835,0.000001,0.000001
2005-01-11,0.009679,0.009697,0.009584,0.009679,0.0000988,0.000001,0.000001
2005-01-12,0.009762,0.009787,0.009658,0.009762,0.00009745,0.000001,0.000001
2005-01-13,0.009766,0.00978,0.009725,0.009766,0.0000934,0.000001,0.000001
2005-01-14,0.009798,0.009822,0.009693,0.009798,0.00009665,0.000001,0.000001
2005-01-17,0.009792,0.009833,0.009713,0.009792,0.0000999,0.000001,0.000001
2005-01-18,0.009778,0.009792,0.009711,0.009778,0.0000996,0.000001,0.000001
2005-01-19,0.00973,0.009799,0.009713,0.00973,0.0001013,0.000001,0.000001
2005-01-20,0.009669,0.009756,0.009653,0.009669,0.00010315,0.000001,0.000001
2005-01-21,0.009739,0.009744,0.009623,0.009739,0.0001077,0.000001,0.000001
2005-01-24,0.009744,0.009752,0.009709,0.009744,0.0001035,0.000001,0.000001
2005-01-25,0.009608,0.009755,0.009586,0.009608,0.00010975,0.000001,0.000001
2005-01-26,0.009702,0.009729,0.009604,0.009702,0.00011025,0.000001,0.000001
2005-01-27,0.00973,0.009732,0.00966,0.00973,0.00010765,0.000001,0.000001
2005-01-28,0.009681,0.009765,0.009643,0.009681,0.00010985,0.000001,0.000001
2005-01-31,0.009644,0.009675,0.009634,0.009644,0.0001071,0.000001,0.000001
2005-02-01,0.009646,0.009661,0.009608,0.009646,0.00009895,0.000001,0.000001
2005-02-02,0.009654,0.009675,0.009608,0.009654,0.0000967,0.000001,0.000001
2005-02-03,0.00957,0.009653,0.00955,0.00957,0.0000961,0.000001,0.000001
2005-02-04,0.009607,0.009658,0.009558,0.009607,0.0000954,0.000001,0.000001
2005-02-07,0.009538,0.009608,0.009522,0.009538,0.00009625,0.000001,0.000001
2005-02-08,0.009448,0.00954,0.009438,0.009448,0.0000957,0.000001,0.000001
2005-02-09,0.009466,0.009493,0.009437,0.009466,0.00009205,0.000001,0.000001
2005-02-10,0.009448,0.00949,0.009361,0.009448,0.00009575,0.000001,0.000001
2005-02-11,0.009459,0.009478,0.009441,0.009459,0.00009115,0.000001,0.000001
2005-02-14,0.009515,0.009554,0.009471,0.009515,0.0000899,0.000001,0.000001
2005-02-15,0.009576,0.009587,0.009491,0.009576,0.00009065,0.000001,0.000001
2005-02-16,0.009485,0.009578,0.009462,0.009485,0.00009215,0.000001,0.000001
2005-02-17,0.009475,0.009506,0.009453,0.009475,0.00008965,0.000001,0.000001
2005-02-18,0.009465,0.009507,0.009446,0.009465,0.00008665,0.000001,0.000001
2005-02-21,0.009472,0.009486,0.009451,0.009472,0.00008625,0.000001,0.000001
2005-02-22,0.009612,0.009631,0.00947,0.009612,0.00008585,0.000001,0.000001
2005-02-23,0.009538,0.009621,0.009516,0.009538,0.00008485,0.000001,0.000001
2005-02-24,0.009489,0.009557,0.009472,0.009489,0.0000855,0.000001,0.000001
2005-02-25,0.009503,0.009518,0.009472,0.009503,0.0000817,0.000001,0.000001
2005-02-28,0.009558,0.009604,0.009495,0.009558,0.0000848,0.000001,0.000001
2005-03-01,0.00958,0.009598,0.009543,0.00958,0.0000849,0.000001,0.000001
2005-03-02,0.009547,0.009585,0.009511,0.009547,0.00008525,0.000001,0.000001
2005-03-03,0.009497,0.009548,0.00949,0.009497,0.00008295,0.000001,0.000001
2005-03-04,0.009543,0.009583,0.009475,0.009543,0.00008335,0.000001,0.000001
2005-03-07,0.009507,0.009566,0.009491,0.009507,0.0000828,0.000001,0.000001
2005-03-08,0.009553,0.009582,0.009508,0.009553,0.00008145,0.000001,0.000001
2005-03-09,0.00962,0.009646,0.009546,0.00962,0.00008365,0.000001,0.000001
2005-03-10,0.009604,0.009641,0.009586,0.009604,0.00007995,0.000001,0.000001
