time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,333.55,335.15,332.55,333.15,3.7575,18.75,0.05
2005-01-04,331.55,332.55,329.85,331.5,3.76,18.75,0.05
2005-01-05,331.05,334.8,328.05,328.55,4.015,18.75,0.05
2005-01-06,328.05,329.05,325.65,326.85,4.1075,18.75,0.05
2005-01-07,327.05,328.7,326.15,326.3,3.9975,18.75,0.05
2005-01-10,325.35,327.05,325.15,325.65,3.915,18.75,0.05
2005-01-11,326.05,327.3,325.55,325.7,3.8775,18.75,0.05
2005-01-12,326.55,330.2,326.3,328.9,3.9125,18.75,0.05
2005-01-13,329.3,332.25,329.3,331.15,3.98,18.75,0.05
2005-01-14,330.55,330.8,329.65,330.15,3.6825,18.75,0.05
2005-01-18,329.8,334.65,328.8,334.45,3.85,18.75,0.05
2005-01-19,334.05,335.3,333.35,334.15,3.6325,18.75,0.05
2005-01-20,335.05,335.75,330.8,332.05,3.7075,18.75,0.05
2005-01-21,332.15,333.45,331.35,333.3,3.6225,18.75,0.05
2005-01-24,333.85,334.85,333.15,334.7,3.405,18.75,0.05
2005-01-25,334.5,335.95,332.35,335.8,3.3125,18.75,0.05
2005-01-26,336.05,336.3,334.05,335.15,3.245,18.75,0.05
2005-01-27,335.05,335.05,333.1,333.25,3.2225,18.75,0.05
2005-01-28,332.55,335.75,331.55,335.35,3.2675,18.75,0.05
2005-01-31,335.05,336.05,334.65,335.4,3.0825,18.75,0.05
2005-02-01,334.3,335.95,333.35,335.85,3.0825,18.75,0.05
2005-02-02,336.05,336.75,334.85,334.95,3.0125,18.75,0.05
2005-02-03,335.35,335.9,334.55,335.35,2.7425,18.75,0.05
2005-02-04,335.85,341.8,334.35,340.55,2.945,18.75,0.05
2005-02-07,340.55,343,340.45,342.8,2.945,18.75,0.05
2005-02-08,341.75,344.05,340.8,341.75,3.0125,18.75,0.05
2005-02-09,341.75,344.05,341.25,342.7,3.065,18.75,0.05
2005-02-10,342.55,344.9,342.15,344.15,2.9775,18.75,0.05
2005-02-11,344.4,345.65,343.45,343.85,2.92,18.75,0.05
2005-02-14,343.85,344.65,342.4,343.05,2.9575,18.75,0.05
