time,open,high,low,close,Average True Range,Tick value,Tick size,GBPUSD FX
2005-01-04,94.92,94.94,94.91,94.93,0.042,6.25,0.005,1.8825
2005-01-05,94.92,94.93,94.91,94.92,0.0395,6.25,0.005,1.8829
2005-01-06,94.92,94.94,94.91,94.93,0.0395,6.25,0.005,1.8754
2005-01-07,94.93,94.94,94.92,94.93,0.039,6.25,0.005,1.8712
2005-01-10,94.93,94.95,94.92,94.94,0.0385,6.25,0.005,1.8753
2005-01-11,94.95,94.96,94.94,94.95,0.0375,6.25,0.005,1.8782
2005-01-12,94.95,94.95,94.94,94.95,0.0365,6.25,0.005,1.8909
2005-01-13,94.94,94.99,94.94,94.97,0.038,6.25,0.005,1.8825
2005-01-14,94.98,94.99,94.96,94.98,0.037,6.25,0.005,1.8705
2005-01-17,94.99,95.02,94.98,94.99,0.037,6.25,0.005,1.8596
2005-01-18,94.99,94.99,94.92,94.92,0.037,6.25,0.005,1.8665
2005-01-19,94.93,94.94,94.91,94.92,0.036,6.25,0.005,1.8711
2005-01-20,94.92,94.93,94.91,94.92,0.0355,6.25,0.005,1.872
2005-01-21,94.93,94.95,94.92,94.94,0.035,6.25,0.005,1.8771
2005-01-24,94.94,94.95,94.93,94.94,0.0325,6.25,0.005,1.8808
2005-01-25,94.93,94.94,94.93,94.93,0.0305,6.25,0.005,1.8642
2005-01-26,94.93,94.95,94.91,94.92,0.031,6.25,0.005,1.8822
2005-01-27,94.91,94.92,94.9,94.91,0.03,6.25,0.005,1.8896
2005-01-28,94.92,94.93,94.91,94.93,0.029,6.25,0.005,1.8881
2005-01-31,94.93,94.93,94.91,94.92,0.028,6.25,0.005,1.8829
2005-02-01,94.91,94.92,94.91,94.92,0.027,6.25,0.005,1.884
2005-02-02,94.92,94.92,94.91,94.91,0.0265,6.25,0.005,1.8859
2005-02-03,94.91,94.92,94.9,94.91,0.026,6.25,0.005,1.8822
2005-02-04,94.91,94.92,94.89,94.91,0.0265,6.25,0.005,1.8758
2005-02-07,94.91,94.91,94.89,94.9,0.026,6.25,0.005,1.8575
2005-02-08,94.89,94.89,94.87,94.89,0.0265,6.25,0.005,1.8548
2005-02-09,94.88,94.9,94.84,94.86,0.029,6.25,0.005,1.8583
2005-02-10,94.86,94.89,94.86,94.87,0.028,6.25,0.005,1.8687
2005-02-11,94.86,94.88,94.86,94.87,0.0275,6.25,0.005,1.8686
2005-02-14,94.87,94.87,94.84,94.85,0.027,6.25,0.005,1.8867
2005-02-15,94.85,94.87,94.84,94.85,0.025,6.25,0.005,1.8972
2005-02-16,94.85,94.89,94.84,94.87,0.026,6.25,0.005,1.8854
2005-02-17,94.87,94.89,94.87,94.88,0.026,6.25,0.005,1.8953
2005-02-18,94.88,94.89,94.87,94.88,0.0255,6.25,0.005,1.8943
2005-02-21,94.88,94.88,94.86,94.87,0.0255,6.25,0.005,1.8974
2005-02-22,94.87,94.88,94.85,94.85,0.0265,6.25,0.005,1.9118
2005-02-23,94.85,94.86,94.81,94.82,0.027,6.25,0.005,1.9086
2005-02-24,94.81,94.84,94.78,94.79,0.029,6.25,0.005,1.9096
2005-02-25,94.78,94.81,94.78,94.8,0.0295,6.25,0.005,1.9194
2005-02-28,94.8,94.81,94.79,94.8,0.0295,6.25,0.005,1.9211
2005-03-01,94.8,94.82,94.78,94.81,0.031,6.25,0.005,1.9213
2005-03-02,94.81,94.82,94.76,94.77,0.0335,6.25,0.005,1.9139
2005-03-03,94.78,94.81,94.77,94.79,0.0345,6.25,0.005,1.9068
2005-03-04,94.77,94.82,94.77,94.81,0.0355,6.25,0.005,1.9227
2005-03-07,94.81,94.83,94.8,94.81,0.036,6.25,0.005,1.9145
2005-03-08,94.81,94.82,94.77,94.78,0.037,6.25,0.005,1.9292
2005-03-09,94.77,94.81,94.77,94.78,0.036,6.25,0.005,1.9254
2005-03-10,94.76,94.82,94.75,94.78,0.038,6.25,0.005,1.9226
2005-03-11,94.78,94.82,94.75,94.79,0.0405,6.25,0.005,1.9265
2005-03-14,94.81,94.83,94.8,94.81,0.041,6.25,0.005,1.9137
2005-03-15,94.81,94.84,94.81,94.83,0.041,6.25,0.005,1.9131
2005-03-16,94.82,94.85,94.8,94.84,0.041,6.25,0.005,1.9263
2005-03-17,94.83,94.87,94.82,94.86,0.0425,6.25,0.005,1.9252
2005-03-18,94.86,94.87,94.84,94.86,0.043,6.25,0.005,1.922
2005-03-21,94.84,94.87,94.83,94.84,0.044,6.25,0.005,1.8966
2005-03-22,94.85,94.9,94.85,94.89,0.0455,6.25,0.005,1.8861
2005-03-23,94.86,94.87,94.83,94.86,0.046,6.25,0.005,1.869
2005-03-24,94.86,94.88,94.84,94.86,0.045,6.25,0.005,1.869
2005-03-28,94.86,94.86,94.86,94.86,0.0435,6.25,0.005,1.8667
2005-03-29,94.85,94.88,94.84,94.87,0.0445,6.25,0.005,1.874
2005-03-30,94.87,94.92,94.86,94.91,0.0455,6.25,0.005,1.8784
2005-03-31,94.92,94.96,94.92,94.94,0.045,6.25,0.005,1.8905
2005-04-01,94.95,94.99,94.93,94.95,0.046,6.25,0.005,1.8823
2005-04-04,94.96,94.99,94.95,94.98,0.0455,6.25,0.005,1.8755
2005-04-05,94.99,94.99,94.94,94.97,0.0465,6.25,0.005,1.8813
2005-04-06,94.97,94.98,94.96,94.97,0.045,6.25,0.005,1.8808
2005-04-07,94.99,95.04,94.99,95.03,0.0465,6.25,0.005,1.8697
2005-04-08,95.03,95.03,94.99,95,0.045,6.25,0.005,1.8856
2005-04-11,95,95.02,94.99,95.01,0.043,6.25,0.005,1.8909
2005-04-12,95,95.01,94.99,95,0.042,6.25,0.005,1.8922
2005-04-13,95.01,95.05,94.99,95.03,0.0435,6.25,0.005,1.8944
2005-04-14,95.04,95.05,95.02,95.03,0.0425,6.25,0.005,1.8815
2005-04-15,95.05,95.09,95.05,95.06,0.043,6.25,0.005,1.8927
2005-04-18,95.09,95.11,95.07,95.08,0.044,6.25,0.005,1.9038
2005-04-19,95.07,95.07,95,95.02,0.046,6.25,0.005,1.9183
2005-04-20,95.02,95.03,94.98,95,0.0455,6.25,0.005,1.9194
2005-04-21,95.01,95.06,94.99,95.03,0.046,6.25,0.005,1.9085
2005-04-22,95.02,95.04,95.01,95.03,0.0455,6.25,0.005,1.9145
2005-04-25,95.04,95.05,95.03,95.04,0.0465,6.25,0.005,1.9111
2005-04-26,95.04,95.07,95.03,95.06,0.0465,6.25,0.005,1.9059
2005-04-27,95.05,95.09,95.04,95.08,0.046,6.25,0.005,1.9058
2005-04-28,95.07,95.11,95.06,95.1,0.046,6.25,0.005,1.9059
2005-04-29,95.11,95.11,95.07,95.09,0.045,6.25,0.005,1.9088
2005-05-03,95.1,95.13,95.08,95.12,0.0455,6.25,0.005,1.8925
2005-05-04,95.13,95.14,95.1,95.13,0.045,6.25,0.005,1.9025
2005-05-05,95.12,95.16,95.12,95.16,0.046,6.25,0.005,1.9068
2005-05-06,95.15,95.18,95.11,95.13,0.046,6.25,0.005,1.8903
2005-05-09,95.11,95.15,95.09,95.13,0.047,6.25,0.005,1.884
2005-05-10,95.15,95.17,95.12,95.15,0.048,6.25,0.005,1.8827
2005-05-11,95.15,95.25,95.15,95.23,0.052,6.25,0.005,1.8729
2005-05-12,95.23,95.26,95.22,95.25,0.051,6.25,0.005,1.8653
2005-05-13,95.26,95.3,95.23,95.29,0.053,6.25,0.005,1.8506
