time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,178.025,178.475,178.05,178.225,1.08375,10,0.025
2005-01-04,179.075,180.275,179.2,180.3,1.13,10,0.025
2005-01-05,180.325,180.375,178.6,179.225,1.16125,10,0.025
2005-01-06,179.575,179.6,177.225,178.175,1.2225,10,0.025
2005-01-07,178.15,179.125,178,178.75,1.20625,10,0.025
2005-01-10,179.325,180.575,179.325,180.375,1.2625,10,0.025
2005-01-11,180.625,182.575,180.475,181.7,1.32,10,0.025
2005-01-12,181.725,182.425,181.025,181.875,1.355,10,0.025
2005-01-13,181.875,181.975,181.075,181.85,1.3025,10,0.025
2005-01-14,181.725,181.85,181.125,181.475,1.305,10,0.025
2005-01-18,181.175,181.775,181.325,181.75,1.23875,10,0.025
2005-01-19,181.475,180.975,180.4,180.275,1.26125,10,0.025
2005-01-20,180.375,180.525,179.85,180.3,1.19875,10,0.025
2005-01-21,180.075,180.475,179.925,180.225,1.205,10,0.025
2005-01-24,179.85,179.85,178.875,179.275,1.23375,10,0.025
2005-01-25,179.325,180,179.425,179.85,1.225,10,0.025
2005-01-26,179.975,180.325,179.5,179.65,1.1975,10,0.025
2005-01-27,179.425,180.125,179.225,179.975,1.14125,10,0.025
2005-01-28,180.175,180.625,179.6,180,1.1525,10,0.025
2005-01-31,179.925,180.725,179.575,180.65,1.21,10,0.025
2005-02-01,180.775,180.975,180.4,180.825,1.1975,10,0.025
2005-02-02,180.975,181.05,180.525,180.575,1.12125,10,0.025
2005-02-03,180.075,180.8,179.875,180.575,1.07875,10,0.025
2005-02-04,180.775,180.975,180.15,180.5,1.00125,10,0.025
2005-02-07,180.575,181.125,180.425,180.975,0.98,10,0.025
2005-02-08,181.15,181.95,180.9,181.125,0.94125,10,0.025
2005-02-09,181.125,181.175,180.425,180.45,0.86875,10,0.025
2005-02-10,180.475,181.075,179.025,179.05,0.90125,10,0.025
2005-02-11,179.325,179.625,179.075,179.15,0.885,10,0.025
2005-02-14,179.275,179.5,178.875,179.275,0.88,10,0.025
2005-02-15,179.275,179.45,179.05,179.35,0.8775,10,0.025
2005-02-16,179.525,180.025,179.45,180,0.84375,10,0.025
2005-02-17,180.025,180.35,179.525,179.625,0.85125,10,0.025
2005-02-18,179.1,179.125,177.675,177.775,0.92125,10,0.025
2005-02-22,177.825,178.3,177.625,177.875,0.8875,10,0.025
2005-02-23,177.925,179.225,177.725,178.425,0.92625,10,0.025
2005-02-24,178.575,179,178.575,178.6,0.91375,10,0.025
2005-02-25,178.225,178.475,177.625,178.425,0.9175,10,0.025
2005-02-28,178.525,180.325,178.275,178.375,0.96875,10,0.025
2005-03-01,178.525,179.25,178.525,178.825,0.955,10,0.025
2005-03-02,179.075,179.475,177.675,179.125,1.01625,10,0.025
2005-03-03,180.125,181.225,180.125,181.025,1.095,10,0.025
2005-03-04,181.375,182.025,180.9,181.35,1.105,10,0.025
2005-03-07,181.625,181.85,181.075,181.225,1.1025,10,0.025
2005-03-08,181.425,181.725,181.225,181.575,1.0925,10,0.025
2005-03-09,181.575,183.975,181.375,183.775,1.17,10,0.025
2005-03-10,183.175,183.325,182.175,183,1.2125,10,0.025
2005-03-11,182.5,183.125,180.875,182.125,1.2225,10,0.025
2005-03-14,182.275,182.325,181.45,181.85,1.2375,10,0.025
2005-03-15,182.025,182.5,181.95,182.15,1.23875,10,0.025
2005-03-16,182.475,182.775,181.525,182.475,1.28125,10,0.025
2005-03-17,182.575,182.125,181.525,181.6,1.295,10,0.025
2005-03-18,181.525,181.575,180.075,180.375,1.33,10,0.025
2005-03-21,180.325,180.875,180.15,180.85,1.26875,10,0.025
2005-03-22,180.8,180.975,180.275,180.925,1.27,10,0.025
2005-03-23,180.575,180.975,180.175,180.525,1.235,10,0.025
2005-03-24,180.575,181.375,180.525,181.15,1.24875,10,0.025
2005-03-28,181.525,182.325,181.525,182.05,1.25875,10,0.025
2005-03-29,182.475,182.5,181.925,182.1,1.185,10,0.025
2005-03-30,182.375,182.975,180.825,181.45,1.24875,10,0.025
2005-03-31,181.825,182.025,181.325,181.525,1.19375,10,0.025
2005-04-01,182.075,182.175,180.825,181.7,1.15625,10,0.025
2005-04-04,181.875,182.225,180.275,180.4,1.1975,10,0.025
2005-04-05,180.425,180.775,179.925,180.75,1.20125,10,0.025
2005-04-06,180.475,180.625,179.775,179.8,1.225,10,0.025
2005-04-07,179.475,180.325,179.475,179.7,1.1375,10,0.025
2005-04-08,179.975,180.95,179.325,180,1.13875,10,0.025
2005-04-11,180.175,180.375,179.725,179.95,1.05875,10,0.025
2005-04-12,180,181.15,180,180.95,1.075,10,0.025
2005-04-13,181.025,181.175,180.375,180.55,1.0825,10,0.025
2005-04-14,181.025,181.475,180.925,181.125,1.06625,10,0.025
2005-04-15,181.125,181.275,180.175,180.7,1.07375,10,0.025
2005-04-18,180.775,181.1,180.45,180.825,1.03,10,0.025
2005-04-19,181.125,181.725,180.8,181.675,1.04,10,0.025
2005-04-20,182.025,182.35,181.525,181.8,1.04625,10,0.025
2005-04-21,181.725,182.275,181.525,181.725,1.04375,10,0.025
2005-04-22,181.775,182.525,181.775,182,1.04125,10,0.025
2005-04-25,182.675,184,182.3,183.4,1.0825,10,0.025
2005-04-26,183.325,183.575,182.95,183.4,1.085,10,0.025
2005-04-27,183.575,183.625,181.625,181.9,1.0775,10,0.025
2005-04-28,181.875,182.1,181.725,181.875,1.06125,10,0.025
2005-04-29,181.825,182.275,181.7,181.9,1.0225,10,0.025
2005-05-02,182.325,182.325,181.175,181.225,0.9825,10,0.025
2005-05-03,181.425,181.875,181.175,181.675,0.975,10,0.025
2005-05-04,181.475,181.675,181.125,181.2,0.95375,10,0.025
2005-05-05,181.075,181.875,180.925,181.7,0.95875,10,0.025
2005-05-06,181.675,181.875,181.125,181.325,0.915,10,0.025
2005-05-09,181.275,181.825,181.225,181.675,0.9125,10,0.025
2005-05-10,181.925,182.475,181.625,182.375,0.895,10,0.025
2005-05-11,182.375,182.775,182.075,182.7,0.89,10,0.025
2005-05-12,182.875,183.05,182.375,182.925,0.8775,10,0.025
2005-05-13,182.725,183.075,182.475,182.95,0.8525,10,0.025
2005-05-16,183.025,183.175,182.625,183.15,0.8475,10,0.025
2005-05-17,183.125,183.225,182.975,183.2,0.81375,10,0.025
2005-05-18,183.025,183.075,181.775,182.175,0.84375,10,0.025
2005-05-19,181.925,182.025,181.65,181.85,0.8325,10,0.025
2005-05-20,181.625,181.8,181.15,181.4,0.8275,10,0.025
2005-05-23,180.775,180.975,180.075,180.1,0.79375,10,0.025
2005-05-24,179.975,180.5,179.925,180.3,0.79125,10,0.025
2005-05-25,180.125,180.475,179.925,180.45,0.71875,10,0.025
2005-05-26,180.525,180.925,180.1,180.45,0.74125,10,0.025
2005-05-27,180.375,181.075,180.375,180.45,0.7475,10,0.025
2005-05-31,180.175,181.125,180.175,181.075,0.7375,10,0.025
2005-06-01,180.925,180.925,179.675,179.925,0.7725,10,0.025
2005-06-02,180.025,180.025,179.15,179.525,0.78875,10,0.025
2005-06-03,179.45,180.275,179.45,179.8,0.7825,10,0.025
2005-06-06,179.625,180.375,179.575,179.95,0.785,10,0.025
2005-06-07,179.975,180.15,179.55,179.8,0.785,10,0.025
2005-06-08,179.675,179.725,179.175,179.6,0.77375,10,0.025
2005-06-09,179.525,179.775,177.9,178.5,0.8325,10,0.025
2005-06-10,178.475,179.7,178.375,178.5,0.865,10,0.025
2005-06-13,177.375,177.575,176.625,176.725,0.92875,10,0.025
2005-06-14,176.875,177.525,176.875,177.05,0.94125,10,0.025
2005-06-15,176.475,176.775,176.3,176.575,0.96625,10,0.025
2005-06-16,176.575,177.15,175.775,175.8,0.96375,10,0.025
2005-06-17,175.675,176.475,175.575,176.275,0.9825,10,0.025
2005-06-20,175.975,176.925,175.975,176.625,0.995,10,0.025
2005-06-21,176.475,176.7,175.975,176.1,0.965,10,0.025
2005-06-22,176.1,176.775,175.9,176.375,0.98,10,0.025
2005-06-23,176.175,176.875,176.175,176.35,0.9875,10,0.025
