time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,26.314,26.314,26.075,26.155,0.32925,10,0.001
2005-01-04,26.145,26.355,26.135,26.267,0.33025,10,0.001
2005-01-05,26.295,26.343,26.125,26.198,0.33165,10,0.001
2005-01-06,26.2,26.435,26.125,26.414,0.32865,10,0.001
2005-01-07,26.385,26.465,26.275,26.366,0.3254,10,0.001
2005-01-10,26.476,26.915,26.476,26.524,0.33425,10,0.001
2005-01-11,26.514,26.625,26.295,26.46,0.3325,10,0.001
2005-01-12,26.466,26.513,26.195,26.308,0.33065,10,0.001
2005-01-13,26.288,26.885,26.265,26.81,0.34765,10,0.001
2005-01-14,26.81,26.975,26.665,26.76,0.35315,10,0.001
2005-01-18,26.76,27.005,26.445,26.483,0.36365,10,0.001
2005-01-19,26.485,26.645,26.472,26.617,0.3463,10,0.001
2005-01-20,26.615,26.685,26.495,26.633,0.3259,10,0.001
2005-01-21,26.623,26.875,26.545,26.573,0.3312,10,0.001
2005-01-24,26.625,26.795,26.625,26.781,0.32965,10,0.001
2005-01-25,26.795,26.844,26.625,26.749,0.32865,10,0.001
2005-01-26,26.735,26.845,26.7,26.761,0.30865,10,0.001
2005-01-27,26.795,26.915,26.705,26.717,0.3064,10,0.001
2005-01-28,26.695,26.714,26.555,26.654,0.30375,10,0.001
2005-01-31,26.6,26.75,26.536,26.741,0.29645,10,0.001
2005-02-01,26.735,26.795,26.649,26.741,0.2818,10,0.001
2005-02-02,26.745,26.875,26.698,26.789,0.27965,10,0.001
2005-02-03,26.83,26.865,26.515,26.579,0.28625,10,0.001
2005-02-04,26.6,26.625,26.485,26.525,0.27775,10,0.001
2005-02-07,26.475,26.555,26.405,26.419,0.27575,10,0.001
2005-02-08,26.408,26.635,26.407,26.616,0.2597,10,0.001
2005-02-09,26.62,26.695,26.565,26.613,0.2497,10,0.001
2005-02-10,26.625,26.705,26.595,26.618,0.2393,10,0.001
2005-02-11,26.655,26.655,26.485,26.566,0.2168,10,0.001
2005-02-14,26.525,26.575,26.435,26.557,0.2083,10,0.001
2005-02-15,26.555,26.655,26.532,26.64,0.18645,10,0.001
2005-02-16,26.645,26.693,26.505,26.579,0.1872,10,0.001
2005-02-17,26.585,26.608,26.345,26.405,0.19085,10,0.001
2005-02-18,26.405,26.445,26.375,26.382,0.17785,10,0.001
2005-02-22,26.482,26.635,26.431,26.616,0.1794,10,0.001
2005-02-23,26.6,26.845,26.535,26.815,0.18395,10,0.001
2005-02-24,26.802,27.015,26.799,26.849,0.1875,10,0.001
2005-02-25,26.88,27.115,26.795,27.11,0.193,10,0.001
2005-02-28,27.145,27.195,27.005,27.125,0.1944,10,0.001
2005-03-01,27.116,27.125,26.945,27.075,0.1927,10,0.001
2005-03-02,27.07,27.135,26.96,27.112,0.19415,10,0.001
2005-03-03,27.105,27.21,27.035,27.052,0.19405,10,0.001
2005-03-04,27.05,27.175,26.975,27.139,0.18655,10,0.001
2005-03-07,27.095,27.154,27.025,27.109,0.186,10,0.001
2005-03-08,27.115,27.335,27.07,27.242,0.19175,10,0.001
2005-03-09,27.235,27.368,27.225,27.275,0.1875,10,0.001
2005-03-10,27.265,27.375,27.085,27.163,0.1955,10,0.001
2005-03-11,27.193,27.215,27.073,27.167,0.1971,10,0.001
2005-03-14,27.115,27.595,27.115,27.533,0.2126,10,0.001
2005-03-15,27.52,27.655,27.465,27.574,0.2151,10,0.001
2005-03-17,27.574,27.753,27.574,27.632,0.2179,10,0.001
2005-03-18,27.543,27.653,27.528,27.651,0.21475,10,0.001
2005-03-21,27.623,27.723,27.488,27.723,0.21335,10,0.001
2005-03-22,27.724,27.753,27.613,27.643,0.21685,10,0.001
2005-03-23,27.628,27.628,27.483,27.533,0.2122,10,0.001
2005-03-24,27.563,27.567,27.383,27.465,0.2059,10,0.001
