time,open,high,low,close,Average True Range,Tick value,Tick size,JPYUSD FX
2005-01-04,8500,8590,8460,8570,121.5,10000,10,0.009563
2005-01-05,8470,8500,8450,8460,121,10000,10,0.009601
2005-01-06,8420,8520,8410,8510,121,10000,10,0.009523
2005-01-07,8550,8560,8460,8500,118.5,10000,10,0.009546
2005-01-11,8540,8620,8540,8580,116,10000,10,0.009679
2005-01-12,8570,8600,8480,8500,111.5,10000,10,0.009762
2005-01-13,8440,8470,8380,8400,112.5,10000,10,0.009766
2005-01-14,8390,8530,8350,8480,116.5,10000,10,0.009798
2005-01-17,8520,8570,8490,8520,113.5,10000,10,0.009792
2005-01-18,8550,8550,8420,8450,116,10000,10,0.009778
2005-01-19,8510,8530,8420,8420,115.5,10000,10,0.00973
2005-01-20,8360,8370,8290,8320,111,10000,10,0.009669
2005-01-21,8260,8340,8240,8290,111,10000,10,0.009739
2005-01-24,8250,8350,8240,8330,112.5,10000,10,0.009744
2005-01-25,8280,8320,8240,8300,111,10000,10,0.009608
2005-01-26,8370,8410,8360,8400,109.5,10000,10,0.009702
2005-01-27,8420,8430,8340,8380,110.5,10000,10,0.00973
2005-01-28,8370,8380,8250,8310,112,10000,10,0.009681
2005-01-31,8330,8510,8300,8400,117,10000,10,0.009644
2005-02-01,8450,8460,8360,8390,120,10000,10,0.009646
2005-02-02,8460,8490,8430,8450,118.5,10000,10,0.009654
2005-02-03,8480,8480,8380,8420,117.5,10000,10,0.00957
2005-02-04,8420,8430,8300,8340,118.5,10000,10,0.009607
2005-02-07,8440,8570,8410,8510,125,10000,10,0.009538
2005-02-08,8540,8550,8490,8510,122,10000,10,0.009448
2005-02-09,8560,8570,8480,8510,120.5,10000,10,0.009466
2005-02-10,8490,8590,8450,8560,121.5,10000,10,0.009448
2005-02-14,8680,8710,8650,8670,120,10000,10,0.009515
2005-02-15,8670,8720,8650,8670,119,10000,10,0.009576
2005-02-16,8660,8720,8610,8650,118,10000,10,0.009485
2005-02-17,8620,8680,8610,8620,116,10000,10,0.009475
2005-02-18,8590,8700,8580,8680,115.5,10000,10,0.009465
2005-02-21,8710,8730,8680,8690,113,10000,10,0.009472
2005-02-22,8680,8690,8620,8620,111,10000,10,0.009612
2005-02-23,8520,8540,8480,8530,113.5,10000,10,0.009538
2005-02-24,8550,8590,8530,8580,111,10000,10,0.009489
2005-02-25,8610,8710,8610,8690,113,10000,10,0.009503
2005-02-28,8760,8800,8740,8800,112,10000,10,0.009558
2005-03-01,8780,8820,8750,8810,105,10000,10,0.00958
2005-03-02,8830,8870,8810,8830,103,10000,10,0.009547
2005-03-03,8830,8890,8820,8870,101.5,10000,10,0.009497
2005-03-04,8840,8920,8790,8920,103,10000,10,0.009543
2005-03-07,8980,9020,8940,8950,101.5,10000,10,0.009507
2005-03-08,8970,8970,8910,8940,93,10000,10,0.009553
2005-03-09,8940,9020,8930,9000,94.5,10000,10,0.00962
2005-03-10,8930,9020,8910,8910,95.5,10000,10,0.009604
2005-03-11,8970,9030,8940,8990,94.5,10000,10,0.009616
2005-03-14,9020,9020,8900,8920,93,10000,10,0.009538
2005-03-15,8940,8970,8830,8880,96.5,10000,10,0.009563
2005-03-16,8870,8920,8840,8920,95,10000,10,0.009601
2005-03-17,8810,8860,8790,8840,98,10000,10,0.009567
2005-03-18,8830,8970,8820,8920,99.5,10000,10,0.009547
2005-03-22,8890,8940,8870,8910,100.5,10000,10,0.009467
2005-03-23,8850,8860,8720,8770,106.5,10000,10,0.009438
2005-03-24,8780,8860,8740,8770,105.5,10000,10,0.009404
2005-03-25,8840,8850,8770,8800,106.5,10000,10,0.0094
2005-03-28,8800,8920,8800,8910,106,10000,10,0.009331
2005-03-29,8890,8910,8660,8680,113,10000,10,0.009297
2005-03-30,8660,8720,8610,8620,115,10000,10,0.009298
2005-03-31,8720,8760,8690,8740,119,10000,10,0.009333
2005-04-01,8670,8820,8650,8820,124,10000,10,0.009298
2005-04-04,8740,8800,8740,8790,121.5,10000,10,0.009234
2005-04-05,8780,8890,8780,8870,122,10000,10,0.009245
2005-04-06,8880,8940,8850,8930,123.5,10000,10,0.009201
2005-04-07,8950,8950,8850,8920,124,10000,10,0.009206
2005-04-08,8960,9010,8930,8980,123,10000,10,0.009239
2005-04-11,8940,8950,8840,8840,124,10000,10,0.009271
2005-04-12,8840,8860,8750,8770,123.5,10000,10,0.009279
2005-04-13,8800,8830,8690,8770,123.5,10000,10,0.009314
