time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,1925.75,1941.75,1902.75,1913.25,21.225,5,0.25
2005-01-04,1911.75,1917.75,1869.25,1880.25,22.6,5,0.25
2005-01-05,1880.25,1885.75,1862.25,1863.25,21.875,5,0.25
2005-01-06,1864.25,1875.25,1859.25,1860.75,21.65,5,0.25
2005-01-07,1860.25,1882.25,1855.25,1865.25,21.05,5,0.25
2005-01-10,1868.25,1882.25,1861.75,1865.75,21.475,5,0.25
2005-01-11,1866.25,1869.75,1848.75,1856.75,21.775,5,0.25
2005-01-12,1863.25,1870.75,1845.25,1865.75,22.225,5,0.25
2005-01-13,1867.75,1874.25,1845.25,1847.75,22.575,5,0.25
2005-01-14,1846.75,1867.25,1845.75,1860.25,22.35,5,0.25
2005-01-17,1862.25,1867.25,1860.75,1864.75,21.975,5,0.25
2005-01-18,1864.75,1878.25,1853.75,1873.75,21.775,5,0.25
2005-01-19,1874.25,1878.25,1839.25,1840.25,22.8,5,0.25
2005-01-20,1832.25,1837.75,1816.75,1820.25,23.075,5,0.25
2005-01-21,1822.25,1828.75,1803.75,1807.25,23.6,5,0.25
2005-01-24,1807.75,1812.25,1782.25,1788.75,23.85,5,0.25
2005-01-25,1788.75,1807.75,1788.75,1792.75,23.925,5,0.25
2005-01-26,1793.25,1815.75,1792.75,1804.25,24.525,5,0.25
2005-01-27,1805.75,1815.25,1798.25,1806.75,24.775,5,0.25
2005-01-28,1808.75,1815.75,1787.25,1807.25,25.4,5,0.25
2005-01-31,1810.75,1825.75,1810.25,1821.75,24.375,5,0.25
2005-02-01,1821.75,1830.25,1818.25,1827.25,22.55,5,0.25
2005-02-02,1826.75,1833.25,1815.75,1822.25,22.25,5,0.25
2005-02-03,1819.25,1822.75,1802.25,1809.25,22.475,5,0.25
2005-02-04,1809.25,1836.75,1804.25,1831.75,22.75,5,0.25
2005-02-07,1835.25,1839.75,1823.25,1828.25,22.55,5,0.25
2005-02-08,1829.75,1844.25,1824.75,1827.25,22.475,5,0.25
2005-02-09,1825.25,1835.25,1804.75,1806.75,22.725,5,0.25
2005-02-10,1806.25,1815.25,1797.25,1804.25,22.175,5,0.25
2005-02-11,1803.75,1837.25,1798.75,1831.75,23.025,5,0.25
2005-02-14,1834.25,1840.75,1829.75,1835.25,23.225,5,0.25
2005-02-15,1835.75,1862.75,1834.25,1846.25,23.425,5,0.25
2005-02-16,1845.75,1850.75,1834.75,1843.25,22.275,5,0.25
2005-02-17,1844.25,1847.75,1818.75,1821.75,22.55,5,0.25
2005-02-18,1821.25,1827.25,1811.75,1814.75,22.075,5,0.25
2005-02-21,1816.25,1816.75,1808.75,1811.25,20.975,5,0.25
2005-02-22,1811.75,1823.75,1792.25,1799.75,21.6,5,0.25
2005-02-23,1798.75,1806.75,1788.25,1799.25,21.375,5,0.25
2005-02-24,1799.25,1818.75,1791.25,1816.25,21.9,5,0.25
2005-02-25,1816.75,1829.75,1812.25,1828.75,21.35,5,0.25
2005-02-28,1828.25,1833.75,1797.25,1810.75,22.25,5,0.25
2005-03-01,1811.75,1829.75,1808.75,1826.75,22.7,5,0.25
2005-03-02,1826.25,1841.25,1814.75,1822.75,23.15,5,0.25
2005-03-03,1822.75,1830.25,1800.25,1811.75,23.625,5,0.25
2005-03-04,1811.25,1830.75,1809.25,1822.75,23.075,5,0.25
2005-03-07,1825.75,1852.75,1821.75,1842.25,23.8,5,0.25
2005-03-08,1841.75,1849.25,1826.25,1829.75,23.975,5,0.25
2005-03-09,1830.75,1837.75,1818.25,1821.75,23.425,5,0.25
2005-03-10,1821.25,1826.25,1802.25,1822.25,23.725,5,0.25
2005-03-11,1829.25,1832.75,1799.75,1806.75,23.45,5,0.25
2005-03-14,1806.75,1814.25,1800.75,1813.25,23.575,5,0.25
2005-03-15,1813.25,1819.75,1798.25,1801.75,23.225,5,0.25
2005-03-16,1801.25,1807.75,1778.75,1783.25,23.875,5,0.25
2005-03-17,1783.25,1794.25,1779.25,1785.75,23.175,5,0.25
2005-03-18,1786.25,1791.25,1770.75,1778.75,23.425,5,0.25
2005-03-21,1780.25,1787.75,1766.75,1776.25,24.075,5,0.25
2005-03-22,1774.75,1787.25,1760.75,1762.25,23.825,5,0.25
2005-03-23,1761.25,1776.75,1751.25,1766.75,24.175,5,0.25
2005-03-24,1766.75,1782.75,1765.75,1767.75,23.65,5,0.25
2005-03-28,1769.75,1781.75,1767.25,1768.75,23.5,5,0.25
2005-03-29,1768.75,1780.25,1753.25,1764.75,23.025,5,0.25
2005-03-30,1764.75,1788.25,1762.75,1786.75,23.25,5,0.25
2005-03-31,1786.75,1792.25,1773.25,1778.75,22.875,5,0.25
2005-04-01,1778.75,1795.75,1760.75,1767.75,23.125,5,0.25
2005-04-04,1765.75,1777.75,1756.25,1772.75,23.125,5,0.25
2005-04-05,1774.25,1782.75,1776.25,1779.25,22.075,5,0.25
2005-04-06,1779.25,1792.75,1772.25,1780.75,21.95,5,0.25
2005-04-07,1781.25,1797.75,1773.75,1796.75,22.175,5,0.25
2005-04-08,1797.75,1799.25,1779.25,1781.25,21.975,5,0.25
2005-04-11,1779.75,1786.75,1770.75,1773.75,21.125,5,0.25
2005-04-12,1773.25,1785.25,1753.75,1781.25,22.025,5,0.25
2005-04-13,1781.75,1782.75,1753.25,1757.75,22.425,5,0.25
2005-04-14,1757.75,1762.25,1726.75,1728.75,22.75,5,0.25
2005-04-15,1728.25,1728.75,1700.25,1702.25,23.425,5,0.25
2005-04-18,1702.25,1712.25,1688.25,1702.25,23.6,5,0.25
2005-04-19,1702.75,1717.25,1701.75,1713.75,23.325,5,0.25
2005-04-20,1719.75,1727.25,1696.25,1702.25,23.55,5,0.25
2005-04-21,1699.25,1742.25,1697.25,1736.75,24.525,5,0.25
2005-04-22,1736.25,1738.75,1704.75,1719.25,25.375,5,0.25
2005-04-25,1718.25,1731.75,1717.75,1729.25,25.35,5,0.25
2005-04-26,1729.75,1739.75,1712.75,1716.75,25.35,5,0.25
2005-04-27,1715.25,1722.25,1701.25,1714.75,25.125,5,0.25
2005-04-28,1715.75,1718.25,1699.25,1700.25,25.125,5,0.25
2005-04-29,1703.75,1715.25,1685.25,1713.25,24.875,5,0.25
2005-05-02,1713.75,1726.75,1706.75,1715.25,24.8,5,0.25
2005-05-03,1715.75,1728.75,1711.75,1725.75,25.15,5,0.25
2005-05-04,1725.75,1745.75,1721.25,1739.75,25.35,5,0.25
