time,open,high,low,close,MA,MA,ATR,Tick value,Tick size
2005-03-22T23:00:00Z,55.93,55.93,53.1,53.81,50.3585999999999,54.292,1.66668148347695,10,0.01
2005-03-23T23:00:00Z,54.12,54.9,53.48,54.84,50.5417999999999,54.4645,1.6543474093031,10,0.01
2005-03-27T23:00:00Z,54.44,54.65,53.6,54.05,50.6953999999999,54.5925,1.63363003883795,10,0.01
2005-03-28T23:00:00Z,54.06,54.5,53.45,54.23,50.8191999999999,54.7165,1.60444853689605,10,0.01
2005-03-29T23:00:00Z,54.28,54.46,52.5,53.99,50.9313999999999,54.832,1.62222611005125,10,0.01
2005-03-30T23:00:00Z,54.03,56.1,53.93,55.4,51.0697999999999,54.9495,1.64961480454869,10,0.01
2005-03-31T23:00:00Z,55.2,57.7,54.96,57.27,51.2579999999999,55.1345,1.70413406432125,10,0.01
2005-04-03T22:00:00Z,57.15,58.28,56.6,57.01,51.4519999999999,55.296,1.70292736110519,10,0.01
2005-04-04T22:00:00Z,56.96,57.2,56,56.04,51.6021999999999,55.4035,1.67778099304993,10,0.01
2005-04-05T22:00:00Z,55.99,56.9,55.3,55.85,51.7429999999999,55.4665,1.67389194339743,10,0.01
2005-04-06T22:00:00Z,55.78,56.84,53.77,54.11,51.8323999999999,55.4335,1.74369734622756,10,0.01
2005-04-07T22:00:00Z,54.12,54.2,52.7,53.32,51.9231999999999,55.4225,1.73151247891618,10,0.01
2005-04-10T22:00:00Z,53.26,53.85,52.1,53.71,52.0205999999999,55.3865,1.73243685497037,10,0.01
2005-04-11T22:00:00Z,53.8,54.05,51.75,51.86,52.1141999999999,55.232,1.76081501222186,10,0.01
2005-04-12T22:00:00Z,51.75,51.77,50.06,50.22,52.1545999999999,54.9905,1.76277426161076,10,0.01
2005-04-13T22:00:00Z,50.3,51.4,49.75,51.13,52.2347999999999,54.724,1.75713554853023,10,0.01
2005-04-14T22:00:00Z,51.05,51.28,50,50.49,52.3107999999999,54.403,1.73327877110371,10,0.01
2005-04-17T22:00:00Z,52,52.45,51,51.47,52.4111999999999,54.1145,1.74461483254853,10,0.01
2005-04-18T22:00:00Z,51.5,53.75,51.5,53.57,52.5529999999999,53.92,1.7713840909211,10,0.01
2005-04-19T22:00:00Z,53.56,54.5,53.25,54.03,52.7279999999999,53.82,1.74531488637505,10,0.01
2005-04-20T22:00:00Z,53.87,54.3,53,54.2,52.9039999999999,53.8395,1.72304914205629,10,0.01
2005-04-21T22:00:00Z,54.23,55.9,54.2,55.39,53.1025999999999,53.867,1.72189668495348,10,0.01
2005-04-24T22:00:00Z,55.15,56,54.5,54.57,53.2519999999999,53.893,1.7108018507058,10,0.01
2005-04-25T22:00:00Z,54.34,54.45,53.35,54.2,53.3927999999999,53.8915,1.68626175817051,10,0.01
2005-04-26T22:00:00Z,54.3,54.4,51.55,51.61,53.4761999999999,53.7725,1.74444867026199,10,0.01
2005-04-27T22:00:00Z,51.56,51.89,49.8,51.77,53.5663999999999,53.591,1.76172623674889,10,0.01
2005-04-28T22:00:00Z,51.81,52.28,49.5,49.72,53.5941999999999,53.2135,1.81263992491145,10,0.01
2005-05-01T22:00:00Z,49.28,51.1,49.03,50.92,53.6481999999999,52.909,1.82550792866587,10,0.01
2005-05-02T22:00:00Z,51,51.01,49.3,49.5,53.6579999999999,52.582,1.81973253223258,10,0.01
2005-05-03T22:00:00Z,49.52,50.95,48.8,50.13,53.6321999999999,52.296,1.83624590562095,10,0.01
2005-05-04T22:00:00Z,50.17,50.95,49.5,50.83,53.6253999999999,52.132,1.8169336103399,10,0.01
2005-05-05T22:00:00Z,50.97,52.23,50.25,50.96,53.6167999999999,52.014,1.82508692982291,10,0.01
2005-05-08T22:00:00Z,51.28,52.25,50.65,52.03,53.6275999999999,51.93,1.81383258333176,10,0.01
2005-05-09T22:00:00Z,52,53.1,51.65,52.07,53.6339999999999,51.9405,1.79564095416518,10,0.01
2005-05-10T22:00:00Z,51.77,51.95,50.25,50.45,53.6093999999999,51.952,1.79685890645692,10,0.01
2005-05-11T22:00:00Z,50.36,50.42,48.3,48.54,53.5191999999999,51.8225,1.81451596113407,10,0.01
2005-05-12T22:00:00Z,48.7,49.11,47.75,48.67,53.4211999999999,51.7315,1.79179016307737,10,0.01
2005-05-15T22:00:00Z,48.67,48.7,47.6,48.61,53.3177999999999,51.5885,1.7572006549235,10,0.01
2005-05-16T22:00:00Z,48.64,49.1,48.05,48.97,53.2193999999999,51.3585,1.72184062217732,10,0.01
2005-05-17T22:00:00Z,50.64,50.99,49,49.13,53.1101999999999,51.1135,1.73674859106846,10,0.01
2005-05-18T22:00:00Z,48.92,49.85,48.6,48.74,52.9895999999999,50.8405,1.71241116151504,10,0.01
2005-05-19T22:00:00Z,48.85,49.4,48.2,48.65,52.8917999999999,50.5035,1.68679060343928,10,0.01
2005-05-22T22:00:00Z,48.25,49.5,48.05,49.16,52.7863999999999,50.233,1.67495107326732,10,0.01
2005-05-23T22:00:00Z,49.15,49.94,48.92,49.67,52.6807999999999,50.0065,1.64220351960395,10,0.01
2005-05-24T22:00:00Z,49.63,51.6,49.58,50.98,52.5993999999999,49.975,1.66109334362376,10,0.01
