time,open,high,low,close,MA,MA,ATR,Tick value,Tick size
2005-03-22T23:00:00Z,7.24,7.241,7.09,7.138,6.48705999999999,6.9126,0.229628097550415,10,0.001
2005-03-23T23:00:00Z,7.16,7.18,6.97,7.062,6.50639999999999,6.9505,0.228646692672894,10,0.001
2005-03-27T23:00:00Z,7.02,7.105,6.945,6.999,6.52751999999999,6.9647,0.22521435803925,10,0.001
2005-03-28T23:00:00Z,6.999,7.4,6.96,7.323,6.54508,6.99435,0.235953640137287,10,0.001
2005-03-29T23:00:00Z,7.412,7.48,7.33,7.46,6.56637999999999,7.03335,0.232005958130423,10,0.001
2005-03-30T23:00:00Z,7.48,7.74,7.435,7.653,6.5967,7.08015,0.235655660223902,10,0.001
2005-03-31T23:00:00Z,7.65,7.85,7.618,7.749,6.62582,7.13475,0.235472877212707,10,0.001
2005-04-03T22:00:00Z,7.75,7.904,7.57,7.594,6.65154,7.17725,0.240399233352071,10,0.001
2005-04-04T22:00:00Z,7.568,7.592,7.48,7.572,6.67818,7.22015,0.234079271684468,10,0.001
2005-04-05T22:00:00Z,7.572,7.7,7.508,7.558,6.69982,7.2557,0.231975308100244,10,0.001
2005-04-06T22:00:00Z,7.55,7.607,7.33,7.366,6.71907999999999,7.28,0.234226542695232,10,0.001
2005-04-07T22:00:00Z,7.362,7.38,7.2,7.242,6.73616,7.3037,0.23151521556047,10,0.001
2005-04-10T22:00:00Z,7.2,7.32,7.14,7.309,6.75658,7.33055,0.228939454782447,10,0.001
2005-04-11T22:00:00Z,7.281,7.39,7.085,7.094,6.77328,7.32835,0.232742482043325,10,0.001
2005-04-12T22:00:00Z,7.09,7.14,6.97,6.978,6.78642,7.3183,0.229605357941158,10,0.001
2005-04-13T22:00:00Z,6.98,7.115,6.89,7.069,6.80148,7.31215,0.2293750900441,10,0.001
2005-04-14T22:00:00Z,7.07,7.08,6.93,6.997,6.8139,7.3001,0.225406335541895,10,0.001
2005-04-17T22:00:00Z,6.98,7.09,6.875,6.95,6.82992,7.28395,0.224886018764801,10,0.001
2005-04-18T22:00:00Z,6.95,7.09,6.915,7.045,6.8489,7.2703,0.222391717826561,10,0.001
2005-04-19T22:00:00Z,7.045,7.19,7.04,7.057,6.87066,7.26075,0.218772131935233,10,0.001
2005-04-20T22:00:00Z,7.052,7.06,6.88,7.032,6.88802,7.25545,0.216833525338471,10,0.001
2005-04-21T22:00:00Z,7.04,7.245,7.03,7.195,6.90862,7.2621,0.216741849071547,10,0.001
2005-04-24T22:00:00Z,7.195,7.369,7.14,7.153,6.92848,7.2698,0.21735475661797,10,0.001
2005-04-25T22:00:00Z,7.14,7.145,7.02,7.12,6.94902,7.25965,0.213137018787072,10,0.001
2005-04-26T22:00:00Z,7.13,7.175,6.68,6.748,6.96212,7.22405,0.227230167847718,10,0.001
2005-04-27T22:00:00Z,6.779,6.795,6.61,6.748,6.97358,7.1788,0.225118659455332,10,0.001
2005-04-28T22:00:00Z,6.78,6.809,6.55,6.585,6.9831,7.1206,0.226812726482566,10,0.001
2005-05-01T22:00:00Z,6.52,6.73,6.471,6.697,6.99858,7.07575,0.228422090158437,10,0.001
2005-05-02T22:00:00Z,6.7,6.71,6.5,6.515,7.01072,7.0229,0.227500985650515,10,0.001
2005-05-03T22:00:00Z,6.516,6.7,6.45,6.63,7.02125999999999,6.9765,0.22862593636799,10,0.001
2005-05-04T22:00:00Z,6.64,6.72,6.57,6.691,7.02885999999999,6.94275,0.22469463954959,10,0.001
2005-05-05T22:00:00Z,6.7,6.78,6.55,6.621,7.03519999999999,6.9117,0.224959907572111,10,0.001
2005-05-08T22:00:00Z,6.585,6.69,6.585,6.674,7.03437999999999,6.87995,0.218961912193505,10,0.001
2005-05-09T22:00:00Z,6.68,6.84,6.648,6.694,7.03365999999999,6.85995,0.21761381658383,10,0.001
2005-05-10T22:00:00Z,6.691,6.75,6.6,6.683,7.03371999999999,6.8452,0.214233125754638,10,0.001
2005-05-11T22:00:00Z,6.674,6.68,6.45,6.511,7.0296,6.8173,0.215171469466906,10,0.001
2005-05-12T22:00:00Z,6.51,6.545,6.43,6.536,7.02718,6.79425,0.210162895993561,10,0.001
2005-05-15T22:00:00Z,6.48,6.515,6.405,6.446,7.02122,6.76905,0.206204751193883,10,0.001
2005-05-16T22:00:00Z,6.46,6.56,6.405,6.476,7.01646,6.7406,0.203644513634189,10,0.001
2005-05-17T22:00:00Z,6.486,6.57,6.37,6.392,7.00736,6.70735,0.203462287952479,10,0.001
2005-05-18T22:00:00Z,6.398,6.42,6.31,6.357,6.9969,6.6736,0.198789173554856,10,0.001
2005-05-19T22:00:00Z,6.36,6.386,6.32,6.343,6.9884,6.631,0.192149714877113,10,0.001
2005-05-22T22:00:00Z,6.33,6.47,6.225,6.407,6.9811,6.5937,0.194792229133257,10,0.001
2005-05-23T22:00:00Z,6.425,6.47,6.31,6.349,6.96532,6.55515,0.193052617676594,10,0.001
2005-05-24T22:00:00Z,6.335,6.39,6.27,6.315,6.94804,6.5335,0.189399986792765,10,0.001
2005-05-25T22:00:00Z,6.3,6.325,6.03,6.123,6.92666,6.50225,0.194679987453126,10,0.001
2005-05-26T22:00:00Z,6.365,6.39,6.13,6.37,6.9093,6.4915,0.19829598808047,10,0.001
2005-05-30T22:00:00Z,6.4,6.4,6.26,6.379,6.89142,6.4756,0.195381188676446,10,0.001
2005-05-31T22:00:00Z,6.38,6.8,6.371,6.789,6.88084,6.4893,0.207062129242624,10,0.001
2005-06-01T22:00:00Z,6.75,7.02,6.66,6.819,6.87226,6.49875,0.214709022780493,10,0.001
2005-06-02T22:00:00Z,6.821,6.925,6.76,6.88,6.8671,6.5082,0.212223571641468,10,0.001
2005-06-05T22:00:00Z,6.955,7.24,6.9,7.122,6.8683,6.53325,0.219612393059395,10,0.001
2005-06-06T22:00:00Z,7.13,7.18,7.06,7.127,6.87086,6.5559,0.214631773406425,10,0.001
2005-06-07T22:00:00Z,7.135,7.43,6.97,7,6.8644,6.5712,0.226900184736104,10,0.001
2005-06-08T22:00:00Z,7,7.1,6.88,7.045,6.8561,6.5893,0.226555175499299,10,0.001
2005-06-09T22:00:00Z,7.08,7.1,6.905,6.932,6.84168,6.61035,0.224977416724334,10,0.001
2005-06-12T22:00:00Z,6.905,7.28,6.9,7.26,6.8319,6.64655,0.232728545888117,10,0.001
2005-06-13T22:00:00Z,7.27,7.34,7.19,7.228,6.82458,6.68565,0.228592118593711,10,0.001
2005-06-14T22:00:00Z,7.265,7.5,7.25,7.441,6.82196,6.7339,0.230762512664026,10,0.001
2005-06-15T22:00:00Z,7.435,7.7,7.387,7.613,6.82306,6.79495,0.234874387030824,10,0.001
2005-06-16T22:00:00Z,7.611,7.73,7.552,7.69,6.82954,6.8616,0.232030667679283,10,0.001
2005-06-19T22:00:00Z,7.77,7.915,7.5,7.67,6.8381,6.92795,0.241179134295319,10,0.001
2005-06-20T22:00:00Z,7.665,7.665,7.435,7.474,6.8414,6.9813,0.240870177580553,10,0.001
2005-06-21T22:00:00Z,7.48,7.568,7.39,7.442,6.84836,7.03595,0.237726668701525,10,0.001
2005-06-22T22:00:00Z,7.47,7.64,7.39,7.473,6.85826,7.09385,0.238340335266449,10,0.001
2005-06-23T22:00:00Z,7.539,7.57,7.28,7.36,6.86408,7.1557,0.240923318503127,10,0.001
2005-06-26T22:00:00Z,7.29,7.36,7.12,7.138,6.8669,7.1941,0.24087715257797,10,0.001
2005-06-27T22:00:00Z,7.145,7.152,6.89,6.976,6.86742,7.22395,0.241933294949072,10,0.001
2005-06-28T22:00:00Z,7.09,7.165,7.04,7.087,6.86826,7.23885,0.239286630201618,10,0.001
2005-06-29T22:00:00Z,7.09,7.14,6.91,6.981,6.86674,7.24695,0.238822298691537,10,0.001
2005-06-30T22:00:00Z,6.98,7.2,6.949,7.171,6.86952,7.2615,0.239431183756961,10,0.001
2005-07-04T22:00:00Z,7.36,7.51,7.27,7.475,6.87512,7.27915,0.244409624569112,10,0.001
2005-07-05T22:00:00Z,7.5,7.735,7.5,7.688,6.88582,7.3072,0.245189143340657,10,0.001
2005-07-06T22:00:00Z,7.689,7.771,7.25,7.398,6.89138,7.3271,0.258979686173624,10,0.001
2005-07-07T22:00:00Z,7.426,7.77,7.36,7.472,6.90586,7.34845,0.266530701864943,10,0.001
2005-07-10T22:00:00Z,7.33,7.5,7.26,7.495,6.9208,7.3766,0.265204166771696,10,0.001
2005-07-11T22:00:00Z,7.56,8.1,7.535,7.885,6.9468,7.40785,0.282193958433111,10,0.001
2005-07-12T22:00:00Z,7.84,8.035,7.72,7.9,6.97086,7.44145,0.283834260511455,10,0.001
2005-07-13T22:00:00Z,7.96,8.045,7.66,7.844,6.99744,7.4616,0.288892547485883,10,0.001
2005-07-14T22:00:00Z,7.872,8.29,7.825,7.849,7.02182,7.4734,0.297697920111588,10,0.001
2005-07-17T22:00:00Z,7.75,7.879,7.56,7.652,7.04104,7.4715,0.298763024106009,10,0.001
2005-07-18T22:00:00Z,7.655,7.66,7.509,7.586,7.06034,7.4673,0.291374872900709,10,0.001
2005-07-19T22:00:00Z,7.6,7.709,7.48,7.55,7.07786,7.4711,0.288256129255673,10,0.001
2005-07-20T22:00:00Z,7.565,7.6,7.25,7.3,7.08998,7.464,0.291343322792889,10,0.001
2005-07-21T22:00:00Z,7.299,7.39,7.285,7.384,7.104,7.45955,0.282026156653245,10,0.001
2005-07-24T22:00:00Z,7.3,7.35,7.14,7.284,7.11946,7.45575,0.280124848820583,10,0.001
2005-07-25T22:00:00Z,7.298,7.47,7.235,7.425,7.13724,7.4701,0.277868606379554,10,0.001
2005-07-26T22:00:00Z,7.425,7.67,7.39,7.647,7.16126,7.50365,0.277975176060576,10,0.001
2005-07-27T22:00:00Z,7.469,7.7,7.469,7.694,7.18562,7.534,0.275626417257547,10,0.001
2005-07-28T22:00:00Z,7.725,7.9,7.701,7.885,7.21548,7.5792,0.27214509639467,10,0.001
2005-07-31T22:00:00Z,7.9,8.22,7.9,8.154,7.25142,7.62835,0.275287841574936,10,0.001
2005-08-01T22:00:00Z,8.152,8.41,8.122,8.378,7.29212,7.6735,0.27592344949619,10,0.001
2005-08-02T22:00:00Z,8.36,8.64,8.275,8.351,7.331,7.70665,0.28037727702138,10,0.001
2005-08-03T22:00:00Z,8.331,8.685,8.3,8.471,7.37344,7.7603,0.285608413170311,10,0.001
2005-08-04T22:00:00Z,8.52,8.73,8.475,8.7,7.42114,7.8217,0.284277992511796,10,0.001
2005-08-07T22:00:00Z,8.765,8.87,8.5,8.684,7.47236,7.88115,0.288564092886206,10,0.001
2005-08-08T22:00:00Z,8.715,8.795,8.53,8.649,7.51794,7.91935,0.287385888241895,10,0.001
2005-08-09T22:00:00Z,8.675,9.09,8.625,9.071,7.57178,7.9779,0.296266593829801,10,0.001
2005-08-10T22:00:00Z,9.115,9.35,8.99,9.301,7.62202,8.05075,0.299453264138311,10,0.001
2005-08-11T22:00:00Z,9.34,9.91,9.325,9.588,7.6774,8.1377,0.314930600931395,10,0.001
2005-08-14T22:00:00Z,9.458,9.62,9.35,9.54,7.7306,8.2321,0.312684070884825,10,0.001
2005-08-15T22:00:00Z,9.55,9.88,9.44,9.752,7.7832,8.3404,0.319049867340584,10,0.001
2005-08-16T22:00:00Z,9.76,9.91,9.38,9.391,7.82848,8.43245,0.329597373973555,10,0.001
2005-08-17T22:00:00Z,9.38,9.429,8.85,8.928,7.86704,8.51385,0.342067505274877,10,0.001
2005-08-18T22:00:00Z,8.965,9.2,8.912,9.111,7.90836,8.6002,0.339364130011133,10,0.001
2005-08-21T22:00:00Z,9.19,9.85,9.032,9.564,7.961,8.7142,0.363295923510577,10,0.001
2005-08-22T22:00:00Z,9.555,9.989,9.47,9.683,8.00946,8.8271,0.371081127335048,10,0.001
2005-08-23T22:00:00Z,9.74,10.128,9.68,9.984,8.06458,8.94395,0.374927070968295,10,0.001
2005-08-24T22:00:00Z,9.99,10.06,9.4,9.77,8.11116,9.04775,0.389180717419881,10,0.001
2005-08-25T22:00:00Z,9.77,10.075,9.66,9.792,8.15474,9.1431,0.390471681548887,10,0.001
2005-08-28T22:00:00Z,11.95,12.07,10.65,10.847,8.21788,9.27775,0.484848097471442,10,0.001
2005-08-29T22:00:00Z,11.3,12,11.16,11.659,8.29766,9.4418,0.51825569259787,10,0.001
2005-08-30T22:00:00Z,11.73,12.3,11.2,11.472,8.37762,9.59785,0.547342907967977,10,0.001
2005-08-31T22:00:00Z,11.419,11.9,11.145,11.757,8.46392,9.76215,0.557725762569578,10,0.001
2005-09-01T22:00:00Z,11.81,11.995,11.55,11.691,8.54828,9.9117,0.552089474441099,10,0.001
2005-09-05T22:00:00Z,11.824,11.9,11.46,11.657,8.63422,10.06035,0.546485000719044,10,0.001
2005-09-06T22:00:00Z,11.65,11.7,11.05,11.201,8.71548,10.18795,0.551660750683092,10,0.001
2005-09-07T22:00:00Z,11.23,11.38,10.9,11.347,8.8029,10.30175,0.548077713148937,10,0.001
2005-09-08T22:00:00Z,11.424,11.48,11.23,11.263,8.88642,10.39985,0.53317382749149,10,0.001
2005-09-11T22:00:00Z,11.156,11.2,10.78,11.031,8.96742,10.472,0.530665136116916,10,0.001
