time,open,high,low,close,Average True Range,Tick value,Tick size,GBPUSD FX
2005-01-04,63.77,63.88,63.62,63.78,0.583,10,0.01,1.8825
2005-01-05,63.61,63.72,63.29,63.62,0.574,10,0.01,1.8829
2005-01-06,63.56,63.93,63.39,63.87,0.579,10,0.01,1.8754
2005-01-07,63.86,64.14,63.4,63.92,0.589,10,0.01,1.8712
2005-01-10,63.8,64.03,63.75,63.98,0.572,10,0.01,1.8753
2005-01-11,63.96,64.07,63.75,63.9,0.5655,10,0.01,1.8782
2005-01-12,63.82,63.89,63.62,63.84,0.5555,10,0.01,1.8909
2005-01-13,63.66,64.18,63.58,64.13,0.571,10,0.01,1.8825
2005-01-14,64.07,64.25,63.89,64.05,0.5715,10,0.01,1.8705
2005-01-17,64.14,64.21,64.02,64.14,0.553,10,0.01,1.8596
2005-01-18,63.98,64.06,63.52,63.63,0.564,10,0.01,1.8665
2005-01-19,63.78,63.84,63.36,63.44,0.5565,10,0.01,1.8711
2005-01-20,63.45,63.56,63.03,63.1,0.565,10,0.01,1.872
2005-01-21,63.31,63.34,62.85,63.17,0.5595,10,0.01,1.8771
2005-01-24,63.39,63.44,63.17,63.23,0.5535,10,0.01,1.8808
2005-01-25,63.34,63.52,63.2,63.29,0.544,10,0.01,1.8642
2005-01-26,63.23,63.39,63.08,63.17,0.5455,10,0.01,1.8822
2005-01-27,63.06,63.07,62.66,62.89,0.443,10,0.01,1.8896
2005-01-28,62.92,63.28,62.85,63.13,0.4235,10,0.01,1.8881
2005-01-31,63.14,63.22,62.88,63.13,0.418,10,0.01,1.8829
2005-02-01,63.24,63.44,63.13,63.27,0.4205,10,0.01,1.884
2005-02-02,63.28,63.35,63.18,63.25,0.4045,10,0.01,1.8859
2005-02-03,63.2,63.2,62.93,63.13,0.3935,10,0.01,1.8822
2005-02-04,63.11,63.94,63.09,63.81,0.399,10,0.01,1.8758
2005-02-07,63.72,64.12,63.71,64.01,0.4055,10,0.01,1.8575
2005-02-08,63.93,64.4,63.8,64.11,0.4195,10,0.01,1.8548
2005-02-09,64.33,64.63,63.97,64.23,0.4385,10,0.01,1.8583
2005-02-10,64.33,64.42,63.99,64.09,0.43,10,0.01,1.8687
2005-02-11,64,64.05,63.79,63.85,0.427,10,0.01,1.8686
2005-02-14,63.73,63.74,63.36,63.46,0.442,10,0.01,1.8867
2005-02-15,63.42,63.54,63.17,63.41,0.4295,10,0.01,1.8972
2005-02-16,63.3,63.77,63.23,63.26,0.4325,10,0.01,1.8854
2005-02-17,63.16,63.31,62.82,62.99,0.4305,10,0.01,1.8953
2005-02-18,62.9,62.99,62.3,62.46,0.4405,10,0.01,1.8943
2005-02-21,62.39,62.44,62.02,62.12,0.449,10,0.01,1.8974
2005-02-22,62.31,62.39,61.93,62.1,0.456,10,0.01,1.9118
2005-02-23,62.03,62.27,61.69,61.91,0.4695,10,0.01,1.9086
2005-02-24,61.91,62.25,61.69,61.88,0.472,10,0.01,1.9096
2005-02-25,61.91,62.24,61.81,62.12,0.472,10,0.01,1.9194
2005-02-28,62.19,62.42,61.9,62.38,0.481,10,0.01,1.9211
2005-03-01,61.94,62.09,61.83,61.93,0.493,10,0.01,1.9213
2005-03-02,61.92,61.94,61.35,61.46,0.514,10,0.01,1.9139
2005-03-03,61.54,61.73,61.52,61.62,0.5115,10,0.01,1.9068
2005-03-04,61.55,62.08,61.37,61.91,0.5045,10,0.01,1.9227
2005-03-07,61.96,62.23,61.82,61.89,0.5045,10,0.01,1.9145
2005-03-08,62.01,62.07,61.4,61.48,0.508,10,0.01,1.9292
2005-03-09,61.57,61.65,61.18,61.29,0.4985,10,0.01,1.9254
2005-03-10,61.02,61.36,60.99,61.22,0.4955,10,0.01,1.9226
2005-03-11,61.24,61.47,61.12,61.37,0.498,10,0.01,1.9265
2005-03-14,61.17,61.5,61.11,61.37,0.493,10,0.01,1.9137
2005-03-15,61.47,61.93,61.47,61.9,0.5025,10,0.01,1.9131
2005-03-16,61.74,62.1,61.56,62.04,0.5025,10,0.01,1.9263
2005-03-17,62.05,62.07,61.6,61.81,0.5015,10,0.01,1.9252
2005-03-18,61.77,61.85,61.54,61.63,0.4825,10,0.01,1.922
2005-03-21,61.4,61.61,61.31,61.53,0.4765,10,0.01,1.8966
2005-03-22,61.59,62.09,61.56,62,0.4815,10,0.01,1.8861
2005-03-23,61.57,61.79,61.47,61.51,0.479,10,0.01,1.869
2005-03-24,61.71,61.85,61.45,61.75,0.471,10,0.01,1.869
