time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,23.36,23.48,23.35,23.45,0.143,11.2,0.01
2005-01-04,23.47,23.51,23.3,23.31,0.1505,11.2,0.01
2005-01-05,23.2,23.26,23.14,23.26,0.155,11.2,0.01
2005-01-06,23.26,23.28,23.16,23.27,0.151,11.2,0.01
2005-01-07,23.27,23.29,22.97,22.99,0.158,11.2,0.01
2005-01-10,22.98,23.01,22.79,22.8,0.162,11.2,0.01
2005-01-11,22.86,22.93,22.8,22.83,0.159,11.2,0.01
2005-01-12,22.88,22.98,22.86,22.9,0.1595,11.2,0.01
2005-01-13,22.96,23.09,22.96,23,0.161,11.2,0.01
2005-01-14,23.05,23.12,23.03,23.11,0.1595,11.2,0.01
2005-01-18,23.11,23.14,23.04,23.12,0.159,11.2,0.01
2005-01-19,23.13,23.16,23.09,23.15,0.154,11.2,0.01
2005-01-20,23.14,23.25,23.12,23.24,0.1415,11.2,0.01
2005-01-21,23.25,23.27,23.1,23.16,0.1455,11.2,0.01
2005-01-24,23.21,23.21,23.13,23.18,0.143,11.2,0.01
2005-01-25,23.18,23.27,23.15,23.26,0.1435,11.2,0.01
2005-01-26,23.28,23.61,23.28,23.58,0.154,11.2,0.01
2005-01-27,23.58,23.58,23.4,23.5,0.1595,11.2,0.01
2005-01-28,23.43,23.46,23.3,23.43,0.164,11.2,0.01
2005-01-31,23.48,23.52,23.41,23.5,0.165,11.2,0.01
2005-02-01,23.28,23.33,23.19,23.23,0.1725,11.2,0.01
2005-02-02,23.2,23.2,23.08,23.09,0.1695,11.2,0.01
2005-02-03,23.08,23.26,22.99,23.22,0.1745,11.2,0.01
2005-02-04,23.23,23.37,23.22,23.36,0.176,11.2,0.01
2005-02-07,23.18,23.27,23.13,23.21,0.1715,11.2,0.01
2005-02-08,23.21,23.32,23.17,23.27,0.168,11.2,0.01
2005-02-09,23.28,23.32,23.18,23.29,0.1685,11.2,0.01
2005-02-10,23.32,23.39,23.23,23.39,0.169,11.2,0.01
2005-02-11,23.36,23.39,23.24,23.3,0.167,11.2,0.01
2005-02-14,23.26,23.3,23.18,23.25,0.167,11.2,0.01
2005-02-15,23.23,23.33,23.2,23.32,0.1685,11.2,0.01
2005-02-16,23.26,23.26,23.01,23.1,0.1805,11.2,0.01
2005-02-17,23.07,23.2,23.06,23.16,0.181,11.2,0.01
2005-02-18,23.16,23.16,23.05,23.07,0.178,11.2,0.01
2005-02-22,22.91,23.25,22.91,23.23,0.191,11.2,0.01
2005-02-23,23.2,23.26,23.04,23.16,0.196,11.2,0.01
2005-02-24,23.01,23.09,22.99,23.02,0.187,11.2,0.01
2005-02-25,22.98,23.02,22.82,22.89,0.188,11.2,0.01
2005-02-28,22.88,23.09,22.85,23.03,0.19,11.2,0.01
2005-03-01,23.11,23.11,22.91,22.92,0.1945,11.2,0.01
2005-03-02,22.86,22.95,22.83,22.9,0.185,11.2,0.01
2005-03-03,22.86,22.89,22.79,22.84,0.183,11.2,0.01
2005-03-04,22.8,22.9,22.68,22.73,0.1805,11.2,0.01
2005-03-07,22.74,22.79,22.62,22.64,0.1815,11.2,0.01
2005-03-08,22.7,22.84,22.7,22.82,0.18,11.2,0.01
2005-03-09,22.82,22.91,22.79,22.86,0.1785,11.2,0.01
2005-03-10,22.87,22.91,22.8,22.83,0.177,11.2,0.01
2005-03-11,22.87,23.05,22.87,23.03,0.18,11.2,0.01
2005-03-14,23.03,23.15,23,23.09,0.18,11.2,0.01
2005-03-15,23.06,23.09,22.98,23,0.1795,11.2,0.01
2005-03-16,22.97,23.06,22.97,23.01,0.1775,11.2,0.01
2005-03-17,23.03,23.08,22.96,22.98,0.168,11.2,0.01
2005-03-18,22.92,22.96,22.86,22.89,0.167,11.2,0.01
2005-03-21,22.79,22.79,22.61,22.62,0.1755,11.2,0.01
2005-03-22,22.62,22.71,22.54,22.61,0.167,11.2,0.01
2005-03-23,22.51,22.59,22.48,22.49,0.1625,11.2,0.01
2005-03-24,22.5,22.62,22.5,22.53,0.1605,11.2,0.01
2005-03-28,22.49,22.59,22.46,22.47,0.157,11.2,0.01
2005-03-29,22.54,22.54,22.38,22.38,0.153,11.2,0.01
2005-03-30,22.36,22.45,22.35,22.41,0.148,11.2,0.01
2005-03-31,22.53,22.58,22.51,22.56,0.1505,11.2,0.01
2005-04-01,22.61,22.64,22.37,22.38,0.1585,11.2,0.01
2005-04-04,22.41,22.43,22.26,22.27,0.156,11.2,0.01
2005-04-05,22.26,22.45,22.25,22.41,0.1575,11.2,0.01
2005-04-06,22.45,22.5,22.35,22.43,0.155,11.2,0.01
2005-04-07,22.43,22.53,22.4,22.52,0.1555,11.2,0.01
2005-04-08,22.52,22.52,22.27,22.29,0.1625,11.2,0.01
2005-04-11,22.32,22.33,22.11,22.13,0.1625,11.2,0.01
2005-04-12,22.1,22.25,22.05,22.24,0.165,11.2,0.01
2005-04-13,22.22,22.27,22.12,22.14,0.167,11.2,0.01
2005-04-14,22.15,22.17,21.91,21.93,0.1755,11.2,0.01
2005-04-15,21.89,21.94,21.78,21.87,0.1775,11.2,0.01
2005-04-18,21.9,21.99,21.82,21.95,0.18,11.2,0.01
2005-04-19,22.03,22.1,22,22.08,0.1735,11.2,0.01
2005-04-20,22.07,22.12,22.03,22.09,0.1695,11.2,0.01
2005-04-21,22.08,22.13,22.07,22.08,0.166,11.2,0.01
2005-04-22,22.07,22.08,21.96,22.02,0.1655,11.2,0.01
2005-04-25,21.99,22.02,21.92,22.01,0.164,11.2,0.01
2005-04-26,22.02,22.18,21.99,22.17,0.1655,11.2,0.01
2005-04-27,22.23,22.32,22.2,22.25,0.168,11.2,0.01
2005-04-28,22.22,22.23,22.14,22.19,0.165,11.2,0.01
2005-04-29,22.22,22.32,22.17,22.31,0.159,11.2,0.01
2005-05-02,22.31,22.35,22.27,22.33,0.1545,11.2,0.01
2005-05-03,22.32,22.33,22.19,22.21,0.1515,11.2,0.01
2005-05-04,22.19,22.22,22.1,22.14,0.15,11.2,0.01
2005-05-05,22.07,22.08,21.87,21.88,0.157,11.2,0.01
2005-05-06,21.88,22.08,21.86,22.07,0.1555,11.2,0.01
2005-05-09,22.12,22.13,21.97,22.01,0.1525,11.2,0.01
2005-05-10,22.01,22.12,21.98,22.04,0.1495,11.2,0.01
2005-05-11,22.04,22.14,22,22.14,0.149,11.2,0.01
2005-05-12,22.14,22.15,21.9,21.91,0.1485,11.2,0.01
2005-05-13,21.94,22.02,21.87,22,0.148,11.2,0.01
2005-05-16,22,22.07,21.93,22,0.1465,11.2,0.01
2005-05-17,21.95,22,21.9,21.95,0.144,11.2,0.01
2005-05-18,22,22.17,21.98,22.05,0.1505,11.2,0.01
2005-05-19,22.11,22.19,22,22.18,0.157,11.2,0.01
2005-05-20,22.2,22.27,22.15,22.24,0.157,11.2,0.01
2005-05-23,22.27,22.34,22.26,22.33,0.157,11.2,0.01
2005-05-24,22.3,22.31,22.22,22.27,0.153,11.2,0.01
2005-05-25,22.24,22.39,22.22,22.38,0.154,11.2,0.01
2005-05-26,22.35,22.46,22.35,22.45,0.154,11.2,0.01
2005-05-27,22.43,22.45,22.35,22.4,0.1515,11.2,0.01
2005-05-31,22.4,22.44,22.36,22.41,0.1515,11.2,0.01
2005-06-01,22.35,22.35,22.27,22.33,0.1515,11.2,0.01
2005-06-02,22.29,22.33,22.24,22.32,0.15,11.2,0.01
2005-06-03,22.37,22.57,22.35,22.53,0.149,11.2,0.01
2005-06-06,22.57,22.61,22.46,22.48,0.1455,11.2,0.01
