time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,13.903,13.903,13.553,13.57,0.23885,25,0.005
2005-01-04,13.583,13.608,13.413,13.515,0.2361,25,0.005
2005-01-05,13.523,13.653,13.473,13.598,0.23785,25,0.005
2005-01-06,13.603,13.628,13.473,13.518,0.2396,25,0.005
2005-01-07,13.523,13.658,13.453,13.513,0.20685,25,0.005
2005-01-10,13.513,13.563,13.483,13.513,0.18085,25,0.005
2005-01-11,13.523,13.733,13.513,13.701,0.1806,25,0.005
2005-01-12,13.713,13.813,13.663,13.806,0.17875,25,0.005
2005-01-13,13.793,13.838,13.743,13.808,0.1725,25,0.005
2005-01-14,13.813,13.838,13.643,13.663,0.17125,25,0.005
2005-01-18,13.658,13.743,13.628,13.718,0.1635,25,0.005
2005-01-19,13.713,13.808,13.668,13.688,0.16275,25,0.005
2005-01-20,13.683,13.703,13.533,13.621,0.16375,25,0.005
2005-01-21,13.628,13.893,13.613,13.873,0.1725,25,0.005
2005-01-24,13.868,13.953,13.853,13.923,0.17025,25,0.005
2005-01-25,13.918,13.933,13.743,13.748,0.17275,25,0.005
2005-01-26,13.763,13.913,13.758,13.868,0.17225,25,0.005
2005-01-27,13.868,13.898,13.788,13.883,0.172,25,0.005
2005-01-28,13.883,13.943,13.813,13.858,0.1655,25,0.005
2005-01-31,13.848,13.853,13.683,13.81,0.17,25,0.005
2005-02-01,13.818,13.843,13.743,13.793,0.1575,25,0.005
2005-02-02,13.798,13.883,13.783,13.813,0.15275,25,0.005
2005-02-03,13.813,13.843,13.653,13.74,0.15325,25,0.005
2005-02-04,13.738,13.773,13.668,13.703,0.15075,25,0.005
2005-02-07,13.693,13.763,13.603,13.618,0.1485,25,0.005
2005-02-08,13.623,13.663,13.553,13.62,0.15,25,0.005
2005-02-09,13.618,13.673,13.558,13.653,0.14475,25,0.005
2005-02-10,13.663,14.043,13.633,14.028,0.15775,25,0.005
2005-02-11,14.023,14.303,14.008,14.273,0.16775,25,0.005
2005-02-14,14.258,14.413,14.258,14.403,0.16575,25,0.005
2005-02-15,14.403,14.468,14.273,14.423,0.16975,25,0.005
2005-02-16,14.398,14.423,14.178,14.318,0.175,25,0.005
2005-02-17,14.333,14.493,14.238,14.433,0.17925,25,0.005
2005-02-18,14.433,14.518,14.383,14.453,0.172,25,0.005
2005-02-22,14.453,14.633,14.428,14.583,0.17725,25,0.005
2005-02-23,14.593,14.623,14.338,14.506,0.182,25,0.005
2005-02-24,14.506,14.566,14.356,14.455,0.18425,25,0.005
2005-02-25,14.446,14.446,14.256,14.363,0.1887,25,0.005
