time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2005-01-03,1973,2017,1970,1993,29.75,10,1,1.3465
2005-01-04,1991,2007,1984,1984,28.45,10,1,1.3279
2005-01-05,1975,1990,1966,1986,28.65,10,1,1.3262
2005-01-06,1974,2002,1972,2001,28.55,10,1,1.3173
2005-01-07,1988,2015,1988,2004,28.5,10,1,1.3054
2005-01-10,2004,2012,1991,2007,27.4,10,1,1.3074
2005-01-11,2002,2006,1954,1963,28.9,10,1,1.3107
2005-01-12,1972,1977,1937,1947,29.45,10,1,1.3255
2005-01-13,1964,1967,1946,1961,29.4,10,1,1.3224
2005-01-14,1946,1975,1946,1965,29.6,10,1,1.3112
2005-01-17,1975,1990,1974,1983,30.2,10,1,1.3067
2005-01-18,1982,1998,1963,1992,28.45,10,1,1.302
2005-01-19,1992,2001,1978,1983,27.4,10,1,1.301
2005-01-20,1962,1966,1940,1946,28.2,10,1,1.2963
2005-01-21,1952,1968,1942,1957,28.45,10,1,1.3039
2005-01-24,1951,1964,1937,1960,28.65,10,1,1.306
2005-01-25,1953,1984,1953,1981,29.15,10,1,1.2973
2005-01-26,1983,1989,1972,1980,29.2,10,1,1.3073
2005-01-27,1985,1998,1969,1991,29.75,10,1,1.3046
2005-01-28,1994,2003,1973,1979,30.15,10,1,1.3038
2005-01-31,1997,2018,1994,2014,29.65,10,1,1.3039
2005-02-01,2010,2040,2005,2037,30.25,10,1,1.3047
2005-02-02,2039,2048,2032,2040,29.85,10,1,1.3027
2005-02-03,2045,2048,2025,2040,29.5,10,1,1.2975
2005-02-04,2044,2070,2039,2070,29.7,10,1,1.2869
2005-02-07,2072,2084,2071,2074,29.35,10,1,1.2757
2005-02-08,2081,2087,2071,2085,27.5,10,1,1.2762
2005-02-09,2084,2092,2062,2074,27,10,1,1.2805
2005-02-10,2077,2084,2058,2080,27.25,10,1,1.2874
2005-02-11,2079,2112,2078,2108,27.5,10,1,1.2866
2005-02-14,2108,2111,2090,2101,27.3,10,1,1.2976
2005-02-15,2102,2118,2096,2104,26.65,10,1,1.3027
2005-02-16,2110,2110,2082,2089,26.9,10,1,1.3029
2005-02-17,2096,2108,2090,2094,25.7,10,1,1.3071
2005-02-18,2090,2107,2086,2096,25.45,10,1,1.3072
2005-02-21,2097,2105,2079,2098,25.4,10,1,1.3069
2005-02-22,2086,2088,2052,2053,26.15,10,1,1.3259
2005-02-23,2048,2057,2030,2048,26.65,10,1,1.3216
2005-02-24,2055,2057,2041,2051,26,10,1,1.3198
2005-02-25,2068,2095,2066,2091,26.7,10,1,1.3245
2005-02-28,2091,2106,2067,2067,26.7,10,1,1.3228
2005-03-01,2078,2107,2076,2103,26.95,10,1,1.3188
2005-03-02,2098,2106,2082,2094,27.35,10,1,1.3142
2005-03-03,2093,2114,2087,2101,27.55,10,1,1.311
2005-03-04,2106,2135,2101,2135,27.7,10,1,1.3237
2005-03-07,2132,2140,2128,2135,27.6,10,1,1.3214
2005-03-08,2132,2133,2114,2118,27.85,10,1,1.3344
2005-03-09,2121,2137,2085,2096,28.95,10,1,1.3392
2005-03-10,2084,2092,2069,2089,29,10,1,1.3418
2005-03-11,2095,2098,2072,2074,28.6,10,1,1.3458
2005-03-14,2077,2089,2070,2081,28.5,10,1,1.3369
2005-03-15,2089,2108,2087,2093,28.75,10,1,1.3307
2005-03-16,2093,2097,2046,2046,29.9,10,1,1.3417
2005-03-17,2046,2064,2042,2054,30.05,10,1,1.3377
2005-03-18,2062,2082,2047,2054,30.75,10,1,1.3326
2005-03-21,2060,2077,2054,2061,30.6,10,1,1.3157
2005-03-22,2058,2078,2037,2078,30.35,10,1,1.3087
2005-03-23,2038,2060,2035,2060,31.15,10,1,1.2986
2005-03-24,2056,2093,2052,2088,32.4,10,1,1.2939
2005-03-29,2066,2089,2053,2079,32,10,1,1.2922
2005-03-30,2066,2091,2060,2089,31.6,10,1,1.2915
2005-03-31,2092,2098,2058,2065,31.6,10,1,1.2964
2005-04-01,2070,2094,2057,2057,32.25,10,1,1.2914
2005-04-04,2062,2068,2040,2064,32.3,10,1,1.2847
2005-04-05,2075,2087,2066,2086,31.75,10,1,1.2869
2005-04-06,2086,2097,2078,2089,32.1,10,1,1.2871
2005-04-07,2089,2115,2086,2107,32.5,10,1,1.2857
2005-04-08,2116,2121,2101,2105,30.9,10,1,1.2932
2005-04-11,2097,2109,2091,2105,30.45,10,1,1.2972
2005-04-12,2102,2102,2078,2084,30.5,10,1,1.2922
2005-04-13,2106,2109,2091,2093,30.8,10,1,1.2915
2005-04-14,2086,2105,2076,2085,30.9,10,1,1.2812
2005-04-15,2062,2067,2014,2016,31.9,10,1,1.2924
2005-04-18,1982,1988,1952,1968,34,10,1,1.3025
2005-04-19,1982,1989,1967,1979,33.35,10,1,1.3064
2005-04-20,1990,1995,1940,1944,34.95,10,1,1.3087
2005-04-21,1956,1995,1952,1994,35.45,10,1,1.3047
2005-04-22,1995,2004,1984,1995,34.3,10,1,1.3065
2005-04-25,1991,2016,1988,2009,33.65,10,1,1.3007
2005-04-26,2012,2014,1990,2004,33.05,10,1,1.2985
2005-04-27,1993,1997,1955,1983,33.95,10,1,1.293
2005-04-28,1987,1990,1946,1961,34.15,10,1,1.2893
2005-04-29,1947,1980,1944,1970,34.1,10,1,1.2873
2005-05-02,1980,1997,1975,1987,34.05,10,1,1.2864
2005-05-03,1994,2003,1983,2003,33.9,10,1,1.2873
