time,open,high,low,close,Average True Range,Tick value,Tick size,JPYUSD FX
2005-01-04,808.5,818,807.5,817.5,10.175,5000,0.5,0.009563
2005-01-05,810,811.5,805,806,10.375,5000,0.5,0.009601
2005-01-06,800,811.5,799.5,809,10.55,5000,0.5,0.009523
2005-01-07,814.5,815,806.5,811.5,10.325,5000,0.5,0.009546
2005-01-11,816,821.5,814,819,10.2,5000,0.5,0.009679
2005-01-12,819,819,808.5,811,9.75,5000,0.5,0.009762
2005-01-13,806,808,800,801,9.8,5000,0.5,0.009766
2005-01-14,798,811.5,795.5,809,10.25,5000,0.5,0.009798
2005-01-17,812.5,815.5,809.5,810.5,9.9,5000,0.5,0.009792
2005-01-18,812.5,814.5,804.5,806,10.05,5000,0.5,0.009778
2005-01-19,811,813,805,805.5,9.9,5000,0.5,0.00973
2005-01-20,801,801,793.5,795.5,9.775,5000,0.5,0.009669
2005-01-21,791,797,790,795,9.75,5000,0.5,0.009739
2005-01-24,791.5,802.5,791,802,9.95,5000,0.5,0.009744
2005-01-25,798.5,802,794.5,798.5,9.8,5000,0.5,0.009608
2005-01-26,805.5,808,804,807.5,9.7,5000,0.5,0.009702
2005-01-27,811,811,801.5,804,9.875,5000,0.5,0.00973
2005-01-28,804.5,805,794.5,800.5,9.8,5000,0.5,0.009681
2005-01-31,802,813,798,804.5,10.1,5000,0.5,0.009644
2005-02-01,812,812,804,807.5,10.3,5000,0.5,0.009646
2005-02-02,814,815,810,812.5,10.15,5000,0.5,0.009654
2005-02-03,816.5,817.5,807.5,812,10.025,5000,0.5,0.00957
2005-02-04,810,810,799,804.5,10.075,5000,0.5,0.009607
2005-02-07,811.5,820,808,816.5,10.425,5000,0.5,0.009538
2005-02-08,819.5,819.5,815,817,10.15,5000,0.5,0.009448
2005-02-09,821,822.5,816,819,9.95,5000,0.5,0.009466
2005-02-10,817.5,824,815,821.5,9.85,5000,0.5,0.009448
2005-02-14,834,835,830.5,832,9.725,5000,0.5,0.009515
2005-02-15,832,834.5,828.5,829,9.7,5000,0.5,0.009576
2005-02-16,830,832.5,825,828,9.575,5000,0.5,0.009485
2005-02-17,825,828,823,825.5,9.425,5000,0.5,0.009475
2005-02-18,823,830,822.5,829.5,9.2,5000,0.5,0.009465
2005-02-21,832,833,828,830,9.1,5000,0.5,0.009472
2005-02-22,829,829.5,823.5,824.5,8.85,5000,0.5,0.009612
2005-02-23,816,818,811.5,816,9.125,5000,0.5,0.009538
2005-02-24,818.5,822,816.5,821,8.95,5000,0.5,0.009489
2005-02-25,825.5,832,824,829.5,9.025,5000,0.5,0.009503
2005-02-28,837,842,835.5,841,9.125,5000,0.5,0.009558
2005-03-01,840,844,837.5,844,8.7,5000,0.5,0.00958
2005-03-02,845.5,849.5,844.5,846.5,8.575,5000,0.5,0.009547
2005-03-03,848.5,854,847.5,851.5,8.575,5000,0.5,0.009497
2005-03-04,850,857,847,856.5,8.575,5000,0.5,0.009543
2005-03-07,860.5,864,860,860,8.3,5000,0.5,0.009507
2005-03-08,860,860,854.5,858,7.8,5000,0.5,0.009553
2005-03-09,855.5,863,855,862,7.975,5000,0.5,0.00962
2005-03-10,856.5,863.5,855.5,855.5,8.05,5000,0.5,0.009604
2005-03-11,861.5,865.5,858,861,8.1,5000,0.5,0.009616
2005-03-14,865,865.5,855.5,857,7.925,5000,0.5,0.009538
2005-03-15,860.5,862.5,851.5,855,8.175,5000,0.5,0.009563
2005-03-16,854,858.5,850.5,857.5,8.2,5000,0.5,0.009601
2005-03-17,850,855.5,849,854.5,8.375,5000,0.5,0.009567
2005-03-18,854.5,865.5,854,863,8.575,5000,0.5,0.009547
2005-03-22,862.5,868,861.5,863.5,8.65,5000,0.5,0.009467
2005-03-23,860,861.5,848,854,9.1,5000,0.5,0.009438
2005-03-24,853,858,848,849.5,8.95,5000,0.5,0.009404
2005-03-25,856.5,856.5,850,854,9,5000,0.5,0.0094
2005-03-28,852.5,863.5,852.5,860.5,9,5000,0.5,0.009331
2005-03-29,861,862,839,839,9.525,5000,0.5,0.009297
2005-03-30,840,843,832,832.5,9.75,5000,0.5,0.009298
2005-03-31,840.5,849,839.5,848.5,10.3,5000,0.5,0.009333
