time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,8956,9051,8886,8925,88.85,5,1
2005-01-04,8923,8952,8783,8823,94.5,5,1
2005-01-05,8825,8864,8753,8762,93.35,5,1
2005-01-06,8765,8852,8765,8796,94.35,5,1
2005-01-07,8794,8839,8748,8774,91.5,5,1
2005-01-10,8788,8848,8760,8803,92.8,5,1
2005-01-11,8797,8809,8708,8733,91.6,5,1
2005-01-12,8759,8802,8676,8780,94.1,5,1
2005-01-13,8791,8795,8656,8677,97.45,5,1
2005-01-14,8681,8742,8672,8722,97.55,5,1
2005-01-18,8735,8810,8679,8795,99.35,5,1
2005-01-19,8798,8803,8664,8704,102.05,5,1
2005-01-20,8671,8723,8631,8648,102,5,1
2005-01-21,8656,8687,8558,8568,104.1,5,1
2005-01-24,8582,8616,8542,8558,104.2,5,1
2005-01-25,8567,8685,8566,8641,106.15,5,1
2005-01-26,8654,8706,8648,8663,105.9,5,1
2005-01-27,8655,8674,8599,8643,105.95,5,1
2005-01-28,8649,8657,8553,8622,108.05,5,1
2005-01-31,8656,8682,8627,8660,107.3,5,1
2005-02-01,8656,8742,8642,8717,104.05,5,1
2005-02-02,8728,8792,8712,8760,99.6,5,1
2005-02-03,8752,8772,8719,8761,96.7,5,1
2005-02-04,8760,8895,8746,8870,99.65,5,1
2005-02-07,8886,8901,8865,8875,96.9,5,1
2005-02-08,8873,8917,8867,8897,95,5,1
2005-02-09,8895,8931,8833,8848,94.85,5,1
2005-02-10,8843,8942,8843,8921,93.5,5,1
2005-02-11,8930,9009,8881,8981,92.95,5,1
2005-02-14,8988,8994,8952,8968,91.55,5,1
2005-02-15,8965,9029,8958,9013,88.55,5,1
2005-02-16,9016,9035,8960,9012,85.35,5,1
2005-02-17,9013,9020,8930,8934,85.25,5,1
2005-02-18,8936,8973,8906,8972,82.15,5,1
2005-02-22,8962,8964,8785,8793,87.8,5,1
2005-02-23,8793,8880,8785,8861,86.2,5,1
2005-02-24,8863,8938,8822,8926,88.75,5,1
2005-02-25,8926,9025,8911,9017,90.7,5,1
2005-02-28,9020,9039,8906,8953,92.15,5,1
2005-03-01,8950,9032,8938,9002,93.85,5,1
2005-03-02,8984,9051,8954,8987,93.7,5,1
2005-03-03,8984,9047,8942,9001,94.95,5,1
2005-03-04,9000,9146,8999,9131,99.65,5,1
2005-03-07,9145,9158,9101,9113,95.05,5,1
2005-03-08,9100,9131,9075,9092,96.05,5,1
2005-03-09,9091,9121,8969,8977,101.15,5,1
2005-03-10,8984,9047,8949,9019,101.15,5,1
2005-03-11,9029,9052,8938,8960,101.9,5,1
2005-03-14,8965,8992,8929,8987,98.65,5,1
2005-03-15,8987,9014,8916,8923,101.45,5,1
2005-03-16,8919,8953,8781,8803,106.5,5,1
2005-03-17,8813,8831,8768,8794,105.9,5,1
2005-03-18,8804,8823,8723,8779,106.4,5,1
2005-03-21,8779,8794,8701,8725,107.7,5,1
2005-03-22,8721,8778,8608,8632,106.85,5,1
2005-03-23,8623,8663,8595,8614,105.5,5,1
2005-03-24,8622,8686,8605,8612,103.75,5,1
2005-03-28,8635,8694,8625,8648,102.15,5,1
2005-03-29,8649,8686,8556,8581,102,5,1
2005-03-30,8584,8715,8582,8702,104,5,1
2005-03-31,8704,8717,8648,8664,102.6,5,1
2005-04-01,8671,8730,8539,8575,106.9,5,1
2005-04-04,8565,8604,8514,8584,104.05,5,1
2005-04-05,8589,8636,8580,8624,104,5,1
2005-04-06,8630,8688,8630,8666,104.4,5,1
2005-04-07,8666,8722,8635,8714,101.15,5,1
2005-04-08,8715,8719,8596,8619,102.4,5,1
2005-04-11,8607,8641,8598,8607,98.85,5,1
2005-04-12,8604,8688,8507,8660,104.75,5,1
2005-04-13,8661,8677,8531,8553,107.15,5,1
2005-04-14,8555,8573,8359,8397,109.25,5,1
2005-04-15,8378,8417,8212,8227,116.35,5,1
2005-04-18,8207,8259,8164,8217,116.1,5,1
2005-04-19,8237,8316,8218,8281,116.4,5,1
2005-04-20,8314,8333,8143,8164,117.4,5,1
2005-04-21,8169,8386,8157,8370,125.45,5,1
2005-04-22,8353,8369,8214,8332,129.2,5,1
2005-04-25,8330,8415,8322,8400,129.75,5,1
2005-04-26,8395,8413,8293,8305,129.25,5,1
2005-04-27,8299,8367,8223,8338,129.75,5,1
2005-04-28,8338,8350,8185,8208,134.55,5,1
2005-04-29,8206,8346,8191,8341,132.75,5,1
2005-05-02,8337,8408,8328,8399,132.25,5,1
2005-05-03,8397,8453,8350,8427,134.6,5,1
2005-05-04,8430,8537,8410,8516,137.75,5,1
2005-05-05,8511,8549,8439,8490,138.9,5,1
2005-05-06,8488,8556,8468,8481,137.15,5,1
2005-05-09,8487,8529,8459,8518,138.5,5,1
2005-05-10,8511,8515,8386,8418,136.05,5,1
2005-05-11,8410,8467,8325,8445,135.85,5,1
2005-05-12,8445,8467,8324,8332,132.3,5,1
2005-05-13,8344,8382,8218,8302,130.25,5,1
2005-05-16,8294,8403,8288,8396,131.25,5,1
2005-05-17,8395,8487,8357,8481,132.8,5,1
