time,open,high,low,close,Average True Range,Tick value,Tick size,AUDUSD FX
2005-01-04,94.067,94.077,93.927,93.937,0.0745,15,0.005,0.7649
2005-01-05,93.937,93.997,93.867,93.917,0.078,15,0.005,0.7645
2005-01-06,93.907,93.967,93.907,93.947,0.0745,15,0.005,0.7608
2005-01-07,93.947,93.997,93.947,93.997,0.0745,15,0.005,0.7575
2005-01-10,93.987,94.047,93.957,93.987,0.077,15,0.005,0.7575
2005-01-11,93.977,94.067,93.967,94.057,0.0765,15,0.005,0.7617
2005-01-12,94.057,94.117,94.047,94.107,0.0755,15,0.005,0.7669
2005-01-13,94.107,94.127,94.057,94.107,0.077,15,0.005,0.7655
2005-01-14,94.097,94.207,94.097,94.137,0.081,15,0.005,0.7591
2005-01-17,94.137,94.147,94.087,94.117,0.0795,15,0.005,0.758
2005-01-18,94.117,94.117,94.047,94.067,0.08,15,0.005,0.7553
2005-01-19,94.057,94.077,93.997,94.017,0.0805,15,0.005,0.7606
2005-01-20,94.017,94.067,93.997,94.057,0.078,15,0.005,0.7587
2005-01-21,94.047,94.077,94.017,94.037,0.0745,15,0.005,0.7694
2005-01-24,94.037,94.077,94.017,94.047,0.0755,15,0.005,0.7702
2005-01-25,94.037,94.057,93.937,93.957,0.08,15,0.005,0.7652
2005-01-26,93.967,93.987,93.947,93.957,0.0805,15,0.005,0.7751
2005-01-27,93.957,93.957,93.877,93.937,0.0785,15,0.005,0.7774
2005-01-28,93.937,93.957,93.877,93.907,0.08,15,0.005,0.775
2005-01-31,93.897,93.967,93.857,93.887,0.083,15,0.005,0.7757
2005-02-01,93.887,93.927,93.867,93.927,0.0785,15,0.005,0.774
2005-02-02,93.917,93.967,93.907,93.957,0.075,15,0.005,0.7782
2005-02-03,93.957,93.957,93.887,93.927,0.0755,15,0.005,0.7711
2005-02-04,93.927,93.947,93.897,93.937,0.0755,15,0.005,0.7704
2005-02-07,93.927,94.007,93.807,93.837,0.081,15,0.005,0.7675
2005-02-08,93.837,93.857,93.767,93.837,0.0805,15,0.005,0.7664
2005-02-09,93.827,93.857,93.767,93.857,0.0815,15,0.005,0.7707
2005-02-10,93.847,93.907,93.737,93.797,0.0865,15,0.005,0.7832
2005-02-11,93.787,93.797,93.737,93.767,0.084,15,0.005,0.7861
