time,open,high,low,close,Average True Range,Tick value,Tick size,GBPUSD FX
2005-01-04,3073.5,3100.5,3067,3088,34.975,5,0.5,1.8825
2005-01-05,3066,3072.5,3054,3060.5,34.775,5,0.5,1.8829
2005-01-06,3056.5,3081,3056.5,3068.5,34.3,5,0.5,1.8754
2005-01-07,3068.5,3108.5,3065,3098,35.225,5,0.5,1.8712
2005-01-10,3086,3107,3079.5,3083.5,34.85,5,0.5,1.8753
2005-01-11,3081,3089,3050.5,3064,34.575,5,0.5,1.8782
2005-01-12,3059.5,3067.5,3008,3026,35.825,5,0.5,1.8909
2005-01-13,3050.5,3052,3025,3042,34.725,5,0.5,1.8825
2005-01-14,3024.5,3075,3022.5,3061.5,35.4,5,0.5,1.8705
2005-01-17,3069,3089.5,3068,3080,35.3,5,0.5,1.8596
2005-01-18,3075.5,3079,3040.5,3064.5,36.025,5,0.5,1.8665
2005-01-19,3076,3086.5,3051.5,3059,34.75,5,0.5,1.8711
2005-01-20,3035.5,3045,3021,3040,34.325,5,0.5,1.872
2005-01-21,3037,3051.5,3020,3041,34.9,5,0.5,1.8771
2005-01-24,3019.5,3050,3003.5,3042,34.825,5,0.5,1.8808
2005-01-25,3037.5,3087,3036.5,3076.5,36.4,5,0.5,1.8642
2005-01-26,3074.5,3091.5,3071.5,3076.5,35.75,5,0.5,1.8822
2005-01-27,3079,3095,3066,3083,35.775,5,0.5,1.8896
2005-01-28,3091.5,3093,3057,3067.5,36.8,5,0.5,1.8881
2005-01-31,3097.5,3113.5,3078.5,3079.5,37.825,5,0.5,1.8829
2005-02-01,3085.5,3137.5,3080.5,3126,38.25,5,0.5,1.884
2005-02-02,3135,3147,3126,3142,37.6,5,0.5,1.8859
2005-02-03,3143.5,3153.5,3125.5,3133.5,37.775,5,0.5,1.8822
2005-02-04,3153.5,3176,3145.5,3173.5,37.725,5,0.5,1.8758
2005-02-07,3182.5,3208.5,3181,3207,38.1,5,0.5,1.8575
2005-02-08,3205.5,3222.5,3193.5,3218,37.625,5,0.5,1.8548
2005-02-09,3218.5,3233.5,3204.5,3219.5,36.1,5,0.5,1.8583
2005-02-10,3214.5,3246,3210,3230,36.55,5,0.5,1.8687
2005-02-11,3237.5,3275.5,3233.5,3273,36.2,5,0.5,1.8686
2005-02-14,3270.5,3281,3259,3268.5,35.9,5,0.5,1.8867
2005-02-15,3276,3295,3265,3287,35.425,5,0.5,1.8972
2005-02-16,3285.5,3292.5,3269,3283.5,34.85,5,0.5,1.8854
2005-02-17,3287.5,3311.5,3285.5,3293.5,34.35,5,0.5,1.8953
2005-02-18,3288.5,3298.5,3278.5,3291.5,33.775,5,0.5,1.8943
2005-02-21,3297.5,3308.5,3278.5,3290.5,32.95,5,0.5,1.8974
2005-02-22,3293.5,3300,3243.5,3261.5,33.25,5,0.5,1.9118
2005-02-23,3239.5,3248,3205.5,3227,35.05,5,0.5,1.9086
2005-02-24,3240,3240,3204,3207.5,35.4,5,0.5,1.9096
2005-02-25,3233.5,3248,3220,3239.5,35.625,5,0.5,1.9194
2005-02-28,3249,3266.5,3193.5,3200.5,36.975,5,0.5,1.9211
2005-03-01,3207,3240.5,3200.5,3233.5,36.075,5,0.5,1.9213
2005-03-02,3226.5,3230,3201.5,3228.5,36.625,5,0.5,1.9139
2005-03-03,3217.5,3257.5,3216.5,3245.5,37.275,5,0.5,1.9068
2005-03-04,3245.5,3277,3240,3264.5,37,5,0.5,1.9227
2005-03-07,3272,3276,3247,3255,36.7,5,0.5,1.9145
2005-03-08,3245,3256.5,3232.5,3241.5,36.45,5,0.5,1.9292
2005-03-09,3250.5,3279,3221,3234,37.9,5,0.5,1.9254
2005-03-10,3213.5,3223.5,3197.5,3206.5,37.925,5,0.5,1.9226
2005-03-11,3221.5,3231,3210.5,3220,36.875,5,0.5,1.9265
2005-03-14,3213,3232,3183.5,3210.5,38.2,5,0.5,1.9137
2005-03-15,3210.5,3238,3210.5,3233,38.075,5,0.5,1.9131
2005-03-16,3215,3223.5,3176.5,3184,39.725,5,0.5,1.9263
2005-03-17,3187,3196,3166.5,3180,39.8,5,0.5,1.9252
2005-03-18,3185,3197,3158.5,3168,40.725,5,0.5,1.922
2005-03-21,3165.5,3201.5,3164,3183,41.1,5,0.5,1.8966
2005-03-22,3174,3185.5,3150,3182.5,40.05,5,0.5,1.8861
2005-03-23,3143,3160.5,3128.5,3159,39.95,5,0.5,1.869
2005-03-24,3155.5,3178,3146.5,3168,39.725,5,0.5,1.869
2005-03-29,3143,3166,3134.5,3159.5,39.375,5,0.5,1.874
2005-03-30,3137,3156.5,3131.5,3142,37.125,5,0.5,1.8784
2005-03-31,3166,3175.5,3125.5,3139.5,37.625,5,0.5,1.8905
2005-04-01,3137,3181,3134.5,3157,38.35,5,0.5,1.8823
2005-04-04,3136.5,3149,3116,3143.5,38.35,5,0.5,1.8755
2005-04-05,3162,3189.5,3149.5,3183,38.8,5,0.5,1.8813
2005-04-06,3187,3193,3175.5,3186,38.225,5,0.5,1.8808
2005-04-07,3210,3225,3192,3219,38.975,5,0.5,1.8697
2005-04-08,3231,3233.5,3212.5,3222,37.125,5,0.5,1.8856
2005-04-11,3207.5,3216.5,3201.5,3214,36.325,5,0.5,1.8909
2005-04-12,3214.5,3214.5,3179.5,3186,36.85,5,0.5,1.8922
2005-04-13,3212.5,3215,3186.5,3191.5,35.875,5,0.5,1.8944
2005-04-14,3177,3195.5,3171,3184,35.725,5,0.5,1.8815
2005-04-15,3147,3158.5,3116,3133.5,36.3,5,0.5,1.8927
2005-04-18,3057,3073.5,3023.5,3063.5,40.325,5,0.5,1.9038
