time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,59.359375,59.609375,58.734375,59.390625,0.8703125,31.25,0.03125
2005-01-04,59.390625,59.734375,58.234375,58.640625,0.9140625,31.25,0.03125
2005-01-05,58.515625,59.203125,58.421875,58.921875,0.9265625,31.25,0.03125
2005-01-06,58.890625,59.234375,58.671875,58.953125,0.865625,31.25,0.03125
2005-01-07,59.046875,60.734375,57.859375,58.953125,0.9625,31.25,0.03125
2005-01-10,59.140625,59.328125,58.859375,59.203125,0.95625,31.25,0.03125
2005-01-11,59.296875,59.859375,59.046875,59.734375,0.9625,31.25,0.03125
2005-01-12,59.734375,60.046875,59.296875,59.859375,0.95625,31.25,0.03125
2005-01-13,59.921875,60.859375,59.765625,60.515625,0.9640625,31.25,0.03125
2005-01-14,60.765625,61.015625,60.046875,60.296875,0.9328125,31.25,0.03125
2005-01-18,60.390625,60.859375,60.046875,60.765625,0.9171875,31.25,0.03125
2005-01-19,60.796875,61.390625,60.421875,60.828125,0.934375,31.25,0.03125
2005-01-20,60.953125,61.203125,60.359375,61.015625,0.9515625,31.25,0.03125
2005-01-21,60.984375,61.265625,60.671875,61.234375,0.9515625,31.25,0.03125
2005-01-24,61.140625,61.671875,61.140625,61.578125,0.95,31.25,0.03125
2005-01-25,61.609375,61.734375,60.484375,60.796875,0.94375,31.25,0.03125
2005-01-26,60.734375,61.078125,60.421875,60.796875,0.9453125,31.25,0.03125
2005-01-27,60.765625,60.828125,60.234375,60.734375,0.9453125,31.25,0.03125
2005-01-28,60.515625,61.703125,60.453125,61.515625,0.953125,31.25,0.03125
2005-01-31,61.390625,61.796875,61.265625,61.703125,0.9359375,31.25,0.03125
2005-02-01,61.703125,61.984375,61.421875,61.671875,0.9203125,31.25,0.03125
2005-02-02,61.578125,61.890625,61.421875,61.734375,0.86875,31.25,0.03125
2005-02-03,61.703125,61.765625,61.203125,61.671875,0.8578125,31.25,0.03125
2005-02-04,61.609375,63.078125,61.578125,62.765625,0.9046875,31.25,0.03125
2005-02-07,62.703125,63.421875,62.609375,63.328125,0.8015625,31.25,0.03125
2005-02-08,63.328125,64.046875,63.078125,63.609375,0.8265625,31.25,0.03125
2005-02-09,63.796875,64.234375,63.171875,64.078125,0.8390625,31.25,0.03125
2005-02-10,64.015625,64.078125,62.703125,62.890625,0.8703125,31.25,0.03125
2005-02-11,62.796875,63.015625,62.359375,62.671875,0.8484375,31.25,0.03125
2005-02-14,62.734375,63.234375,62.515625,63.078125,0.8359375,31.25,0.03125
2005-02-15,63.078125,63.109375,62.515625,62.703125,0.825,31.25,0.03125
2005-02-16,62.640625,62.703125,61.734375,62.109375,0.825,31.25,0.03125
2005-02-17,62.109375,62.203125,61.453125,61.640625,0.8203125,31.25,0.03125
2005-02-18,61.640625,61.640625,60.453125,60.796875,0.85,31.25,0.03125
2005-02-22,60.734375,60.859375,60.359375,60.515625,0.8484375,31.25,0.03125
2005-02-23,60.515625,61.296875,60.359375,60.703125,0.8328125,31.25,0.03125
2005-02-24,60.734375,61.296875,60.484375,60.609375,0.840625,31.25,0.03125
2005-02-25,60.484375,61.046875,60.484375,60.828125,0.8390625,31.25,0.03125
2005-02-28,60.828125,61.109375,59.640625,59.984375,0.85,31.25,0.03125
2005-03-01,59.859375,60.046875,59.546875,59.828125,0.8484375,31.25,0.03125
2005-03-02,59.859375,59.921875,59.390625,59.671875,0.846875,31.25,0.03125
2005-03-03,59.671875,59.890625,59.515625,59.609375,0.8421875,31.25,0.03125
2005-03-04,59.609375,60.765625,58.765625,60.609375,0.9140625,31.25,0.03125
2005-03-07,60.578125,61.078125,60.390625,60.953125,0.8734375,31.25,0.03125
2005-03-08,60.796875,60.953125,59.828125,60.078125,0.8890625,31.25,0.03125
2005-03-09,59.984375,60.078125,58.328125,58.484375,0.928125,31.25,0.03125
2005-03-10,58.390625,59.171875,57.828125,59.015625,0.9421875,31.25,0.03125
2005-03-11,58.890625,58.984375,58.140625,58.265625,0.9171875,31.25,0.03125
2005-03-14,58.234375,58.578125,57.828125,58.453125,0.921875,31.25,0.03125
2005-03-15,58.515625,58.984375,57.984375,58.171875,0.9359375,31.25,0.03125
2005-03-16,58.046875,59.078125,57.890625,58.421875,0.965625,31.25,0.03125
2005-03-17,58.453125,59.234375,58.453125,58.796875,0.9578125,31.25,0.03125
2005-03-18,58.765625,58.828125,58.296875,58.390625,0.946875,31.25,0.03125
2005-03-21,58.390625,58.421875,58.109375,58.203125,0.903125,31.25,0.03125
2005-03-22,58.203125,58.984375,57.078125,57.390625,0.9734375,31.25,0.03125
2005-03-23,57.140625,57.796875,56.640625,57.578125,0.984375,31.25,0.03125
2005-03-24,57.734375,58.078125,57.609375,57.796875,0.96875,31.25,0.03125
2005-03-28,57.765625,57.796875,57.328125,57.484375,0.9640625,31.25,0.03125
2005-03-29,57.390625,57.984375,57.296875,57.828125,0.925,31.25,0.03125
2005-03-30,57.890625,58.453125,57.734375,58.328125,0.9359375,31.25,0.03125
2005-03-31,58.390625,59.140625,58.265625,59.015625,0.953125,31.25,0.03125
2005-04-01,59.046875,60.234375,58.421875,59.421875,1.025,31.25,0.03125
2005-04-04,59.390625,59.859375,59.140625,59.421875,0.9609375,31.25,0.03125
2005-04-05,59.390625,59.546875,59.046875,59.234375,0.9515625,31.25,0.03125
2005-04-06,59.234375,59.640625,59.171875,59.421875,0.91875,31.25,0.03125
2005-04-07,59.515625,59.859375,58.765625,58.984375,0.8859375,31.25,0.03125
