time,open,high,low,close,Average True Range,Tick value,Tick size
2004-11-15,698.25,703.25,698.25,701.50,,12.5,0.25
2004-11-16,701.25,702.75,700.75,702.25,,12.5,0.25
2004-11-17,702.75,705.75,702.25,704.75,,12.5,0.25
2004-11-18,704.50,704.75,702.00,703.00,,12.5,0.25
2004-11-19,702.25,702.75,698.75,699.00,,12.5,0.25
2004-11-22,698.75,699.50,696.75,697.00,,12.5,0.25
2004-11-23,696.50,697.50,696.25,697.00,,12.5,0.25
2004-11-24,696.75,697.50,696.50,696.75,,12.5,0.25
2004-11-26,697.00,697.75,695.50,695.75,,12.5,0.25
2004-11-29,695.50,695.75,693.00,694.00,,12.5,0.25
2004-11-30,693.75,694.50,692.75,693.00,,12.5,0.25
2004-12-01,692.50,694.50,692.00,692.25,,12.5,0.25
2004-12-02,692.00,693.25,691.75,692.75,,12.5,0.25
2004-12-03,693.00,696.25,693.00,695.75,,12.5,0.25
2004-12-06,696.00,698.00,696.00,697.50,,12.5,0.25
2004-12-07,697.50,697.50,691.75,692.25,,12.5,0.25
2004-12-08,692.75,693.50,691.00,692.75,,12.5,0.25
2004-12-09,692.75,693.25,690.75,692.00,,12.5,0.25
2004-12-10,691.25,693.25,690.00,690.25,,12.5,0.25
2004-12-13,689.25,694.00,689.25,693.50,,12.5,0.25
2004-12-14,693.00,695.00,692.50,694.75,2.7625,12.5,0.25
2004-12-15,694.50,696.25,693.50,694.00,2.8,12.5,0.25
2004-12-16,693.75,694.25,691.75,692.75,2.75,12.5,0.25
2004-12-17,692.50,693.50,691.00,693.25,2.7375,12.5,0.25
2004-12-20,693.00,696.50,693.00,695.00,2.7,12.5,0.25
2004-12-21,694.25,694.75,693.25,694.25,2.65,12.5,0.25
2004-12-22,693.50,694.50,692.75,694.00,2.675,12.5,0.25
2004-12-23,693.75,695.75,693.75,695.50,2.725,12.5,0.25
2004-12-27,695.50,697.00,694.50,696.25,2.7375,12.5,0.25
2004-12-28,696.00,696.00,694.50,695.75,2.6875,12.5,0.25
2004-12-29,695.75,695.75,692.25,692.50,2.775,12.5,0.25
2004-12-30,692.25,694.75,690.75,694.25,2.85,12.5,0.25
2005-01-03,692.25,692.25,690.25,691.00,2.947368421,12.5,0.25
2005-01-04,691.00,691.00,689.50,690.00,2.907894737,12.5,0.25
2005-01-05,690.00,691.50,689.50,690.25,2.710526316,12.5,0.25
2005-01-06,690.75,696.50,690.75,696.00,2.907894737,12.5,0.25
2005-01-07,695.00,698.00,694.25,695.25,2.973684211,12.5,0.25
2005-01-10,694.75,695.75,693.00,695.25,2.947368421,12.5,0.25
2005-01-11,695.25,696.00,694.50,695.25,2.776315789,12.5,0.25
2005-01-12,694.75,695.00,688.75,689.25,2.986842105,12.5,0.25
2005-01-13,689.00,689.75,687.00,688.50,2.986842105,12.5,0.25
2005-01-14,688.50,688.50,685.50,685.75,3.013157895,12.5,0.25
2005-01-18,685.50,685.75,683.75,684.25,2.986842105,12.5,0.25
2005-01-19,684.25,685.50,684.25,684.75,2.868421053,12.5,0.25
2005-01-20,684.75,686.00,683.75,685.25,2.894736842,12.5,0.25
2005-01-21,685.00,685.75,684.50,685.00,2.868421053,12.5,0.25
2005-01-24,684.75,687.25,684.75,685.75,2.894736842,12.5,0.25
2005-01-25,685.50,687.75,685.00,687.50,2.907894737,12.5,0.25
2005-01-26,687.25,689.00,687.25,687.50,2.907894737,12.5,0.25
2005-01-27,687.00,687.00,684.25,684.50,2.894736842,12.5,0.25
2005-01-28,684.25,685.25,684.00,684.50,2.75,12.5,0.25
2005-01-31,684.00,686.00,684.00,685.50,2.7125,12.5,0.25
2005-02-01,685.50,687.00,685.50,685.75,2.5875,12.5,0.25
2005-02-02,685.50,685.50,683.75,684.25,2.6125,12.5,0.25
2005-02-03,684.00,684.50,683.50,684.25,2.5625,12.5,0.25
2005-02-04,684.25,684.50,683.50,684.00,2.3,12.5,0.25
2005-02-07,684.00,685.75,683.75,685.00,2.2125,12.5,0.25
2005-02-08,684.50,685.50,683.25,683.50,2.1875,12.5,0.25
2005-02-09,683.25,684.00,682.75,683.50,2.175,12.5,0.25
2005-02-10,683.50,687.50,683.50,686.25,2.05,12.5,0.25
2005-02-11,685.75,686.75,684.25,686.25,2.0375,12.5,0.25
2005-02-14,686.00,689.50,686.00,689.00,2.0625,12.5,0.25
2005-02-15,688.75,689.00,687.00,688.25,2.0625,12.5,0.25
2005-02-16,688.00,688.25,685.00,685.25,2.1625,12.5,0.25
2005-02-17,685.25,688.25,685.25,687.75,2.2,12.5,0.25
2005-02-18,687.25,689.75,686.75,688.50,2.2875,12.5,0.25
2005-02-22,689.25,697.50,689.25,696.00,2.6125,12.5,0.25
2005-02-23,694.25,695.25,693.00,694.50,2.625,12.5,0.25
2005-02-24,694.25,695.50,693.00,694.50,2.6625,12.5,0.25
2005-02-25,693.75,704.25,693.75,701.25,3.025,12.5,0.25
2005-02-28,700.75,705.75,699.75,703.50,3.2625,12.5,0.25
2005-03-01,701.50,702.75,699.50,700.50,3.3625,12.5,0.25
2005-03-02,699.50,704.75,698.75,700.00,3.5875,12.5,0.25
2005-03-03,698.25,699.25,697.00,698.75,3.6375,12.5,0.25
2005-03-04,698.50,700.00,697.50,698.00,3.7125,12.5,0.25
2005-03-07,698.00,698.25,693.50,694.00,3.9,12.5,0.25
2005-03-08,693.75,696.00,692.50,695.00,3.975,12.5,0.25
2005-03-09,694.75,697.25,694.00,697.00,4.025,12.5,0.25
2005-03-10,696.25,701.25,695.25,700.75,4.2625,12.5,0.25
2005-03-11,700.25,706.00,700.25,705.25,4.35,12.5,0.25
2005-03-14,702.75,704.75,701.00,701.75,4.4375,12.5,0.25
2005-03-15,701.50,711.75,701.50,709.00,4.775,12.5,0.25
2005-03-16,708.25,710.75,705.25,706.75,4.95,12.5,0.25
2005-03-17,705.75,707.25,702.00,705.00,5.05,12.5,0.25
2005-03-18,705.75,706.75,700.75,701.25,5.2,12.5,0.25
2005-03-21,700.25,701.00,686.25,696.25,5.8,12.5,0.25
2005-03-22,696.00,698.00,695.25,695.75,5.4875,12.5,0.25
2005-03-23,695.50,695.50,690.75,692.50,5.5875,12.5,0.25
2005-03-24,692.25,692.50,690.75,692.25,5.55,12.5,0.25
2005-03-28,692.00,694.75,690.75,694.25,5.225,12.5,0.25
2005-03-29,693.75,696.00,693.25,694.75,5.0625,12.5,0.25
2005-03-30,694.25,696.00,689.75,694.00,5.175,12.5,0.25
2005-03-31,693.75,699.75,692.25,694.75,5.25,12.5,0.25
2005-04-01,695.25,695.75,690.75,694.75,5.35,12.5,0.25
2005-04-04,693.25,694.75,691.50,691.75,5.3875,12.5,0.25
2005-04-05,691.75,691.75,687.25,687.50,5.375,12.5,0.25
2005-04-06,687.75,690.00,687.50,689.25,5.325,12.5,0.25
2005-04-07,688.75,690.00,687.25,687.75,5.3,12.5,0.25
2005-04-08,688.00,688.50,685.00,686.25,5.175,12.5,0.25
2005-04-11,686.75,688.25,685.00,687.75,5.05,12.5,0.25
2005-04-12,687.75,689.75,687.00,689.00,4.975,12.5,0.25
2005-04-13,688.50,688.50,685.50,688.00,4.6375,12.5,0.25
2005-04-14,688.00,691.00,687.75,689.50,4.525,12.5,0.25
2005-04-15,689.25,690.25,687.00,688.00,4.425,12.5,0.25
2005-04-18,687.50,688.25,685.50,686.25,4.2625,12.5,0.25
2005-04-19,686.50,692.00,686.25,691.50,3.8,12.5,0.25
2005-04-20,691.25,693.25,691.00,692.75,3.775,12.5,0.25
2005-04-21,692.50,693.75,691.00,693.25,3.6625,12.5,0.25
2005-04-22,692.75,693.25,690.75,691.25,3.7,12.5,0.25
2005-04-25,692.00,697.50,692.00,696.00,3.8125,12.5,0.25
2005-04-26,695.25,696.25,694.00,695.50,3.7875,12.5,0.25
2005-04-27,695.75,696.25,690.00,690.75,3.7875,12.5,0.25
2005-04-28,690.75,692.75,686.25,686.75,3.7375,12.5,0.25
2005-04-29,686.75,688.75,686.25,687.25,3.6125,12.5,0.25
2005-05-02,688.00,688.00,682.25,682.75,3.7375,12.5,0.25
2005-05-03,682.75,683.25,678.25,678.75,3.7625,12.5,0.25
2005-05-04,679.00,681.50,678.75,679.75,3.775,12.5,0.25
2005-05-05,680.50,682.25,678.75,681.75,3.8125,12.5,0.25
2005-05-06,682.25,682.75,679.75,682.00,3.7875,12.5,0.25
2005-05-09,682.75,684.00,679.75,681.50,3.8375,12.5,0.25
2005-05-10,681.75,683.50,681.25,682.00,3.8125,12.5,0.25
2005-05-11,682.25,682.75,678.25,680.25,3.8625,12.5,0.25
2005-05-12,680.00,680.25,675.75,678.00,3.925,12.5,0.25
2005-05-13,678.00,678.25,676.75,677.25,3.8375,12.5,0.25
2005-05-16,677.75,681.75,677.75,680.75,3.925,12.5,0.25
2005-05-17,681.00,682.25,679.25,681.25,3.7875,12.5,0.25
2005-05-18,681.25,686.25,680.50,684.50,3.9625,12.5,0.25
2005-05-19,684.50,686.25,683.00,683.25,3.9875,12.5,0.25
2005-05-20,682.50,689.75,682.50,687.00,4.225,12.5,0.25
2005-05-23,687.75,698.75,687.75,698.25,4.5,12.5,0.25
2005-05-24,696.75,698.25,694.00,695.00,4.6,12.5,0.25
2005-05-25,694.50,701.25,692.25,696.50,4.7375,12.5,0.25
2005-05-26,695.75,699.25,694.25,698.75,4.6625,12.5,0.25
2005-05-27,698.75,700.75,694.25,695.00,4.8625,12.5,0.25
2005-05-31,699.75,701.75,693.50,695.75,4.9875,12.5,0.25
2005-06-01,695.75,700.25,695.25,699.75,4.9875,12.5,0.25
2005-06-02,698.50,698.75,691.50,692.25,5.2625,12.5,0.25
2005-06-03,692.00,694.25,691.00,693.75,5.25,12.5,0.25
2005-06-06,695.50,701.00,695.50,696.25,5.4625,12.5,0.25
2005-06-07,695.00,699.00,694.25,696.25,5.4875,12.5,0.25
2005-06-08,695.75,695.75,690.75,692.00,5.65,12.5,0.25
2005-06-09,689.25,692.25,688.00,691.50,5.6375,12.5,0.25
2005-06-10,691.25,694.00,686.00,686.75,5.8125,12.5,0.25
2005-06-13,687.50,693.00,687.00,691.25,6.05,12.5,0.25
2005-06-14,690.25,695.25,688.25,694.75,6.175,12.5,0.25
2005-06-15,695.00,702.50,694.25,700.25,6.4375,12.5,0.25
2005-06-16,699.75,702.75,698.75,701.25,6.35,12.5,0.25
2005-06-17,700.75,705.25,700.50,705.00,6.425,12.5,0.25
2005-06-20,706.00,712.50,706.00,711.75,6.4375,12.5,0.25
2005-06-21,710.50,711.25,707.00,708.50,6.0875,12.5,0.25
2005-06-22,708.75,713.50,704.50,705.25,6.325,12.5,0.25
2005-06-23,705.00,706.75,701.75,702.25,6.125,12.5,0.25
2005-06-24,702.00,709.25,701.50,708.50,6.2625,12.5,0.25
2005-06-27,709.50,709.75,691.50,697.75,6.85,12.5,0.25
2005-06-28,698.00,698.50,692.50,694.25,6.7375,12.5,0.25
2005-06-29,694.25,697.50,691.25,692.50,6.8,12.5,0.25
2005-06-30,692.25,692.25,685.50,688.75,6.7375,12.5,0.25
2005-07-01,688.50,693.00,688.50,692.00,6.8,12.5,0.25
2005-07-05,694.25,710.50,693.50,706.50,7.3625,12.5,0.25
