time,open,high,low,close,Average True Range,Tick value,Tick size
2005-01-03,82.7265625,82.7265625,82.4296875,82.6171875,0.30234375,7.8125,0.0078125
2005-01-04,82.5859375,82.6953125,82.0859375,82.2421875,0.3203125,7.8125,0.0078125
2005-01-05,82.1796875,82.3203125,82.0859375,82.2109375,0.32109375,7.8125,0.0078125
2005-01-06,82.1640625,82.3515625,82.1328125,82.2890625,0.3015625,7.8125,0.0078125
2005-01-07,82.3046875,83.1796875,81.7421875,82.1640625,0.3546875,7.8125,0.0078125
2005-01-10,82.2109375,82.2109375,82.0234375,82.1328125,0.35234375,7.8125,0.0078125
2005-01-11,82.1328125,82.2265625,81.9921875,82.1953125,0.34921875,7.8125,0.0078125
2005-01-12,82.1953125,82.3046875,82.1328125,82.2421875,0.33984375,7.8125,0.0078125
2005-01-13,82.2578125,82.5390625,82.1953125,82.4453125,0.34296875,7.8125,0.0078125
2005-01-14,82.5078125,82.5703125,82.1796875,82.2578125,0.3359375,7.8125,0.0078125
2005-01-18,82.2578125,82.2734375,82.0859375,82.2421875,0.32578125,7.8125,0.0078125
2005-01-19,82.2421875,82.3515625,82.1171875,82.2578125,0.328125,7.8125,0.0078125
2005-01-20,82.3046875,82.4921875,82.2109375,82.4609375,0.33203125,7.8125,0.0078125
2005-01-21,82.4453125,82.7421875,82.4296875,82.6953125,0.33828125,7.8125,0.0078125
2005-01-24,82.6796875,82.7421875,82.5390625,82.6484375,0.3421875,7.8125,0.0078125
2005-01-25,82.6484375,82.6484375,82.3203125,82.4296875,0.3375,7.8125,0.0078125
2005-01-26,82.4140625,82.4921875,82.3046875,82.3359375,0.33125,7.8125,0.0078125
2005-01-27,82.3046875,82.3203125,82.0703125,82.2421875,0.3328125,7.8125,0.0078125
2005-01-28,82.1796875,82.5703125,82.1796875,82.5078125,0.33671875,7.8125,0.0078125
2005-01-31,82.4296875,82.4609375,82.2734375,82.4296875,0.3375,7.8125,0.0078125
2005-02-01,82.4296875,82.5546875,82.3359375,82.4453125,0.33359375,7.8125,0.0078125
