time,open,high,low,close,Average True Range,Tick value,Tick size
2004-11-18,309.5,314,286.5,312.25,,12.5,0.25
2004-11-19,311.5,314.5,302.25,306.25,,12.5,0.25
2004-11-22,308.75,311.5,303.5,310.75,,12.5,0.25
2004-11-23,311.5,317.5,310.5,316.75,,12.5,0.25
2004-11-24,311.75,317,309.5,309.5,,12.5,0.25
2004-11-26,311,314.5,303,304.75,,12.5,0.25
2004-11-29,303.5,303.5,291.5,293,,12.5,0.25
2004-11-30,292.5,294,287.5,290.25,,12.5,0.25
2004-12-01,290.75,294,284.5,285.5,,12.5,0.25
2004-12-02,285.5,286.75,279,279.5,,12.5,0.25
2004-12-03,280.25,285,278.75,284,,12.5,0.25
2004-12-06,285,290.5,284.5,287.25,,12.5,0.25
2004-12-07,286.5,289.5,277,277.75,,12.5,0.25
2004-12-08,277.25,284,271.5,279.5,,12.5,0.25
2004-12-09,278.75,280,274.25,276.25,,12.5,0.25
2004-12-10,274.25,286.5,273,281.75,,12.5,0.25
2004-12-13,284,299.5,283.75,295,,12.5,0.25
2004-12-14,294.5,299.5,291,299,,12.5,0.25
2004-12-15,298.75,300,294,294.75,,12.5,0.25
2004-12-16,294.5,299,290,290.75,,12.5,0.25
2004-12-17,289.75,292.5,283.5,292,9.525,12.5,0.25
2004-12-20,292.75,304.5,292.75,297.75,9.5375,12.5,0.25
2004-12-21,296.5,300.5,296,297.5,9.3625,12.5,0.25
2004-12-22,294.5,298,293.25,295.75,9.25,12.5,0.25
2004-12-23,298.5,302,298.5,299.5,9.1875,12.5,0.25
2004-12-27,300.5,305.5,298,304,8.9875,12.5,0.25
2004-12-28,304,304,296.5,298,8.7,12.5,0.25
2004-12-29,299,302.5,295.5,296.25,8.725,12.5,0.25
2004-12-30,296,299.5,289,298.25,8.775,12.5,0.25
2005-01-03,292.75,293.75,287.5,287.75,8.925,12.5,0.25
2005-01-04,286.5,286.5,276,276.75,9.2,12.5,0.25
2005-01-05,276.5,282,276.5,276.75,9.15,12.5,0.25
2005-01-06,277,283,276,282,8.684210526,12.5,0.25
2005-01-07,281.5,293,281.5,291.25,8.986842105,12.5,0.25
2005-01-10,287,298.5,285.25,297.75,8.973684211,12.5,0.25
2005-01-11,297.25,299.5,289.5,292.5,8.565789474,12.5,0.25
2005-01-12,290.5,290.5,280.5,281,8.75,12.5,0.25
2005-01-13,281.5,285.5,275.75,284.25,8.947368421,12.5,0.25
2005-01-14,283.75,283.75,268,268.25,9.328947368,12.5,0.25
2005-01-18,266.25,268,261.75,262.25,9.197368421,12.5,0.25
